sid,time,pm25,pm10,no2,co,o3,so2
159001,2014-05-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
159001,2014-05-01 01:00:00,134,162,72,1.649,49,94
159001,2014-05-01 02:00:00,136,184,61,1.678,41,95
159001,2014-05-01 03:00:00,151,177,75,1.662,35,95
159001,2014-05-01 04:00:00,162,186,90,2.517,20,139
159001,2014-05-01 05:00:00,189,209,87,2.701,23,146
159001,2014-05-01 06:00:00,202,209,105,2.804,12,145
159001,2014-05-01 07:00:00,206,225,106,3.081,21,199
159001,2014-05-01 08:00:00,225,233,87,2.998,35,172
159001,2014-05-01 09:00:00,182,210,65,2.124,49,139
159001,2014-05-01 10:00:00,153,171,67,1.801,56,238
159001,2014-05-01 11:00:00,135,154,38,1.427,87,176
159001,2014-05-01 12:00:00,97,121,39,1.173,97,203
159001,2014-05-01 13:00:00,87,121,22,0.994,124,118
159001,2014-05-01 14:00:00,84,113,14,1.272,141,55
159001,2014-05-01 15:00:00,87,110,11,1.055,135,32
159001,2014-05-01 16:00:00,59,88,10,0.821,132,28
159001,2014-05-01 17:00:00,56,75,25,1.252,134,98
159001,2014-05-01 18:00:00,83,110,37,1.394,125,173
159001,2014-05-01 19:00:00,99,132,52,1.513,109,174
159001,2014-05-01 20:00:00,118,154,65,1.736,89,171
159001,2014-05-01 21:00:00,129,159,96,1.971,60,152
159001,2014-05-01 22:00:00,158,191,108,2.049,38,131
159001,2014-05-01 23:00:00,167,200,84,1.626,48,107
159001,2014-05-02 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
159001,2014-05-02 01:00:00,NULL,NULL,NULL,NULL,NULL,NULL
159001,2014-05-02 02:00:00,NULL,NULL,NULL,NULL,NULL,NULL
159001,2014-05-02 03:00:00,NULL,NULL,NULL,NULL,NULL,NULL
159001,2014-05-02 04:00:00,NULL,NULL,NULL,NULL,NULL,NULL
159001,2014-05-02 05:00:00,NULL,NULL,NULL,NULL,NULL,NULL
