sid,time,pm25,pm10,no2,co,o3,so2
024001,2014-05-01 00:00:00,89,148,11,0.957,65,7
024001,2014-05-01 01:00:00,75,,6,0.9,56,6
024001,2014-05-01 02:00:00,72,,6,0.874,58,7
024001,2014-05-01 03:00:00,70,,7,0.839,60,8
024001,2014-05-01 04:00:00,77,,9,0.84,50,8
024001,2014-05-01 05:00:00,66,,11,0.891,43,10
024001,2014-05-01 06:00:00,45,,8,0.827,44,8
024001,2014-05-01 07:00:00,31,,9,0.835,38,7
024001,2014-05-01 08:00:00,26,,8,0.861,39,8
024001,2014-05-01 09:00:00,20,28,14,0.927,33,8
024001,2014-05-01 10:00:00,11,,6,0.913,35,7
024001,2014-05-01 11:00:00,13,,9,0.978,31,6
024001,2014-05-01 12:00:00,14,,9,1.153,28,6
024001,2014-05-01 13:00:00,17,18,9,1.131,36,6
024001,2014-05-01 14:00:00,16,16,8,1.125,37,7
024001,2014-05-01 15:00:00,12,27,5,0.964,45,8
024001,2014-05-01 16:00:00,17,24,6,1.029,45,7
024001,2014-05-01 17:00:00,21,,6,0.996,53,8
024001,2014-05-01 18:00:00,22,23,7,0.858,52,8
024001,2014-05-01 19:00:00,27,,8,0.85,45,8
024001,2014-05-01 20:00:00,25,,10,0.903,35,8
024001,2014-05-01 21:00:00,29,32,17,1.225,22,9
024001,2014-05-01 22:00:00,33,41,15,1.598,25,9
024001,2014-05-01 23:00:00,50,,14,1.372,19,7
024001,2014-05-02 00:00:00,57,,13,1.226,16,7
024001,2014-05-02 01:00:00,49,,9,0.957,17,7
024001,2014-05-02 02:00:00,48,,12,1.115,11,8
024001,2014-05-02 03:00:00,49,51,18,1.187,5,11
024001,2014-05-02 04:00:00,48,52,16,1.128,4,11
024001,2014-05-02 05:00:00,48,52,16,1.128,4,11
024001,2014-05-02 06:00:00,NULL,NULL,NULL,NULL,NULL,NULL
024001,2014-05-02 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL
024001,2014-05-02 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL
024001,2014-05-02 09:00:00,NULL,NULL,NULL,NULL,NULL,NULL
024001,2014-05-02 10:00:00,NULL,NULL,NULL,NULL,NULL,NULL
024001,2014-05-02 11:00:00,NULL,NULL,NULL,NULL,NULL,NULL
024001,2014-05-02 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
024001,2014-05-02 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
024001,2014-05-02 14:00:00,NULL,NULL,NULL,NULL,NULL,NULL
024001,2014-05-02 15:00:00,NULL,NULL,NULL,NULL,NULL,NULL
024001,2014-05-02 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
024001,2014-05-02 17:00:00,28,46,7,1.093,94,10
024001,2014-05-02 18:00:00,37,58,10,1.183,89,10
024001,2014-05-02 19:00:00,48,61,13,1.263,88,9
024001,2014-05-02 20:00:00,57,67,13,1.156,88,9
024001,2014-05-02 21:00:00,60,63,11,1.258,84,9
024001,2014-05-02 22:00:00,74,74,15,1.589,66,9
024001,2014-05-02 23:00:00,70,,17,1.327,53,10
024001,2014-05-03 00:00:00,74,,17,1.25,36,7
024001,2014-05-03 01:00:00,82,,10,0.994,35,7
024001,2014-05-03 02:00:00,86,,14,1.123,22,8
024001,2014-05-03 03:00:00,94,,12,1.126,19,9
024001,2014-05-03 04:00:00,92,,8,1.086,20,9
024001,2014-05-03 05:00:00,73,,8,0.996,21,9
024001,2014-05-03 06:00:00,65,,13,1.015,15,9
024001,2014-05-03 07:00:00,45,47,17,0.953,14,10
024001,2014-05-03 08:00:00,44,,14,1.046,25,11
024001,2014-05-03 09:00:00,43,72,14,1.115,37,13
024001,2014-05-03 10:00:00,39,72,14,1.132,65,17
024001,2014-05-03 11:00:00,44,84,10,1.036,85,14
024001,2014-05-03 12:00:00,32,67,6,0.909,104,14
024001,2014-05-03 13:00:00,32,67,6,0.909,104,14
024001,2014-05-03 14:00:00,26,46,3,0.799,104,11
024001,2014-05-03 15:00:00,29,59,3,0.799,125,9
024001,2014-05-03 16:00:00,29,59,3,0.799,125,9
024001,2014-05-03 17:00:00,35,51,5,0.853,117,9
024001,2014-05-03 18:00:00,31,54,8,0.806,106,10
