sid,time,pm25,pm10,no2,co,o3,so2
128001,2014-05-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
128001,2014-05-01 01:00:00,71,260,88,3.094,20,69
128001,2014-05-01 02:00:00,74,260,78,3.01,20,55
128001,2014-05-01 03:00:00,70,263,81,3.255,20,56
128001,2014-05-01 04:00:00,75,253,70,2.988,19,48
128001,2014-05-01 05:00:00,70,236,80,5.093,19,95
128001,2014-05-01 06:00:00,73,225,80,4.434,20,102
128001,2014-05-01 07:00:00,78,239,79,3.635,23,103
128001,2014-05-01 08:00:00,91,271,93,4.275,25,139
128001,2014-05-01 09:00:00,108,283,96,4.218,33,104
128001,2014-05-01 10:00:00,106,290,81,2.548,71,80
128001,2014-05-01 11:00:00,97,262,82,2.135,86,72
128001,2014-05-01 12:00:00,75,237,45,1.76,113,60
128001,2014-05-01 13:00:00,70,267,24,1.37,94,28
128001,2014-05-01 14:00:00,53,300,11,1.226,91,19
128001,2014-05-01 15:00:00,44,321,11,1.221,88,16
128001,2014-05-01 16:00:00,30,309,9,1.241,81,13
128001,2014-05-01 17:00:00,31,228,13,1.26,72,13
128001,2014-05-01 18:00:00,24,153,17,1.393,66,15
128001,2014-05-01 19:00:00,23,72,22,1.528,60,14
128001,2014-05-01 20:00:00,33,124,17,1.654,69,14
128001,2014-05-01 21:00:00,40,139,14,1.86,72,17
128001,2014-05-01 22:00:00,44,164,13,1.349,70,14
128001,2014-05-01 23:00:00,32,116,11,1.329,74,21
128001,2014-05-02 00:00:00,30,100,10,1.301,74,19
128001,2014-05-02 01:00:00,23,67,10,1.346,75,15
128001,2014-05-02 02:00:00,25,56,10,1.259,84,14
128001,2014-05-02 03:00:00,21,53,12,1.171,91,13
128001,2014-05-02 04:00:00,21,43,6,1.206,95,12
128001,2014-05-02 05:00:00,10,34,7,1.227,88,11
128001,2014-05-02 06:00:00,11,38,11,1.633,83,16
128001,2014-05-02 07:00:00,11,39,18,1.696,71,31
128001,2014-05-02 08:00:00,23,55,17,1.396,80,21
128001,2014-05-02 09:00:00,22,54,12,1.28,88,21
128001,2014-05-02 10:00:00,29,57,9,1.228,96,18
128001,2014-05-02 11:00:00,17,55,21,1.336,88,29
128001,2014-05-02 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
128001,2014-05-02 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
128001,2014-05-02 14:00:00,11,58,7,1.22,117,11
128001,2014-05-02 15:00:00,NULL,NULL,NULL,NULL,NULL,NULL
128001,2014-05-02 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
128001,2014-05-02 17:00:00,12,48,15,1.267,102,19
128001,2014-05-02 18:00:00,12,72,21,1.444,98,21
128001,2014-05-02 19:00:00,18,75,27,1.374,93,20
128001,2014-05-02 20:00:00,13,76,38,1.531,81,21
128001,2014-05-02 21:00:00,17,60,30,1.495,87,22
128001,2014-05-02 22:00:00,21,68,42,1.614,65,22
128001,2014-05-02 23:00:00,25,71,58,1.766,41,22
128001,2014-05-03 00:00:00,28,76,63,2.002,34,30
128001,2014-05-03 01:00:00,33,113,69,1.941,19,23
128001,2014-05-03 02:00:00,40,141,68,1.875,19,21
128001,2014-05-03 03:00:00,41,165,55,1.696,24,31
128001,2014-05-03 04:00:00,37,133,39,1.56,35,41
128001,2014-05-03 05:00:00,32,115,49,1.895,23,27
128001,2014-05-03 06:00:00,36,126,54,2.335,20,23
128001,2014-05-03 07:00:00,46,155,50,2.309,23,38
128001,2014-05-03 08:00:00,54,181,55,2.268,28,54
128001,2014-05-03 09:00:00,60,162,49,1.917,51,55
128001,2014-05-03 10:00:00,53,152,36,1.888,69,55
128001,2014-05-03 11:00:00,38,202,14,1.76,113,19
128001,2014-05-03 12:00:00,,203,17,1.839,101,21
128001,2014-05-03 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
128001,2014-05-03 14:00:00,NULL,NULL,NULL,NULL,NULL,NULL
128001,2014-05-03 15:00:00,44,382,8,0.322,90,12
