sid,time,pm25,pm10,no2,co,o3,so2
152001,2014-05-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
152001,2014-05-01 01:00:00,146,291,109,,19,40
152001,2014-05-01 02:00:00,162,267,68,2.434,76,43
152001,2014-05-01 03:00:00,152,250,54,2.324,87,51
152001,2014-05-01 04:00:00,144,239,56,2.079,79,72
152001,2014-05-01 05:00:00,151,237,53,2.401,60,85
152001,2014-05-01 06:00:00,159,231,53,2.483,47,79
152001,2014-05-01 07:00:00,160,255,53,,45,81
152001,2014-05-01 08:00:00,152,231,49,,58,93
152001,2014-05-01 09:00:00,147,213,46,,81,105
152001,2014-05-01 10:00:00,137,190,42,,112,94
152001,2014-05-01 11:00:00,126,170,38,,148,70
152001,2014-05-01 12:00:00,103,184,35,,170,69
152001,2014-05-01 13:00:00,111,206,39,,177,99
152001,2014-05-01 14:00:00,119,195,37,,198,123
152001,2014-05-01 15:00:00,109,180,38,,204,128
152001,2014-05-01 16:00:00,111,194,49,,192,159
152001,2014-05-01 17:00:00,130,208,42,,211,121
152001,2014-05-01 18:00:00,111,193,38,0.976,200,85
152001,2014-05-01 19:00:00,99,180,42,1.132,190,50
152001,2014-05-01 20:00:00,107,207,35,1.118,211,39
152001,2014-05-01 21:00:00,113,207,40,0.928,157,32
152001,2014-05-01 22:00:00,118,512,38,0.622,110,30
152001,2014-05-01 23:00:00,68,206,33,0.408,91,21
152001,2014-05-02 00:00:00,45,138,34,0.669,75,41
152001,2014-05-02 01:00:00,45,128,38,1.665,66,52
152001,2014-05-02 02:00:00,35,112,38,0.984,55,45
152001,2014-05-02 03:00:00,38,127,36,0.644,36,34
152001,2014-05-02 04:00:00,54,124,30,0.525,61,21
152001,2014-05-02 05:00:00,59,112,38,0.862,45,20
152001,2014-05-02 06:00:00,66,129,39,0.767,37,31
152001,2014-05-02 07:00:00,48,105,38,0.759,59,25
152001,2014-05-02 08:00:00,43,98,31,0.676,84,20
152001,2014-05-02 09:00:00,49,77,32,0.408,87,17
152001,2014-05-02 10:00:00,39,112,41,0.419,94,25
152001,2014-05-02 11:00:00,45,120,33,0.179,118,45
152001,2014-05-02 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
152001,2014-05-02 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
152001,2014-05-02 14:00:00,42,83,25,0.065,144,15
152001,2014-05-02 15:00:00,NULL,NULL,NULL,NULL,NULL,NULL
152001,2014-05-02 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
152001,2014-05-02 17:00:00,32,67,26,0.555,126,52
152001,2014-05-02 18:00:00,31,62,29,1.298,135,22
152001,2014-05-02 19:00:00,22,54,24,1.519,128,9
