sid,time,pm25,pm10,no2,co,o3,so2
018001,2014-05-01 00:00:00,126,228,89,0.629,57,12
018001,2014-05-01 01:00:00,132,242,112,0.631,32,12
018001,2014-05-01 02:00:00,141,212,91,0.814,41,13
018001,2014-05-01 03:00:00,155,241,74,0.888,53,14
018001,2014-05-01 04:00:00,173,230,86,0.919,33,13
018001,2014-05-01 05:00:00,177,248,92,1.025,14,13
018001,2014-05-01 06:00:00,181,239,84,1.079,13,12
018001,2014-05-01 07:00:00,171,246,79,1.079,13,12
018001,2014-05-01 08:00:00,215,283,74,1.217,16,12
018001,2014-05-01 09:00:00,213,275,78,1.221,22,13
018001,2014-05-01 10:00:00,242,304,69,1.262,35,16
018001,2014-05-01 11:00:00,246,357,102,1.243,34,18
018001,2014-05-01 12:00:00,218,316,67,1.17,91,19
018001,2014-05-01 13:00:00,220,303,52,1.522,138,19
018001,2014-05-01 14:00:00,207,262,38,1.403,156,21
018001,2014-05-01 15:00:00,162,228,39,0.873,160,20
018001,2014-05-01 16:00:00,141,210,34,0.621,160,18
018001,2014-05-01 17:00:00,143,179,36,0.707,157,17
018001,2014-05-01 18:00:00,125,200,40,0.733,153,17
018001,2014-05-01 19:00:00,143,229,46,0.831,133,17
018001,2014-05-01 20:00:00,106,744,55,0.697,84,16
018001,2014-05-01 21:00:00,47,233,50,0.129,60,13
018001,2014-05-01 22:00:00,51,153,47,0.102,52,11
018001,2014-05-01 23:00:00,44,194,56,0.136,40,10
018001,2014-05-02 00:00:00,44,269,69,0.225,27,9
018001,2014-05-02 01:00:00,41,93,44,0.163,51,7
018001,2014-05-02 02:00:00,37,116,28,0.136,61,6
018001,2014-05-02 03:00:00,44,264,19,0.177,70,5
018001,2014-05-02 04:00:00,41,164,22,0.222,68,3
018001,2014-05-02 05:00:00,43,109,37,0.219,50,3
018001,2014-05-02 06:00:00,38,70,47,0.23,43,4
018001,2014-05-02 07:00:00,37,67,47,0.227,44,2
018001,2014-05-02 08:00:00,35,96,49,0.309,54,5
018001,2014-05-02 09:00:00,37,130,33,0.128,82,2
018001,2014-05-02 10:00:00,29,240,31,0.139,89,1
018001,2014-05-02 11:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-02 12:00:00,33,82,22,0.132,99,
018001,2014-05-02 13:00:00,25,70,21,0.131,99,
018001,2014-05-02 14:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-02 15:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-02 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-02 17:00:00,12,57,19,0.097,111,4
018001,2014-05-02 18:00:00,22,95,24,0.117,108,7
018001,2014-05-02 19:00:00,26,138,28,0.179,103,10
018001,2014-05-02 20:00:00,42,158,25,0.157,100,11
018001,2014-05-02 21:00:00,50,92,22,0.161,84,9
018001,2014-05-02 22:00:00,35,84,23,0.158,78,8
018001,2014-05-02 23:00:00,41,91,43,0.177,56,9
018001,2014-05-03 00:00:00,37,90,50,0.196,48,12
018001,2014-05-03 01:00:00,36,98,90,0.211,19,17
018001,2014-05-03 02:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-03 03:00:00,41,92,63,0.367,41,47
018001,2014-05-03 04:00:00,46,104,69,0.45,28,67
018001,2014-05-03 05:00:00,60,126,80,0.598,15,61
018001,2014-05-03 06:00:00,89,150,91,0.873,5,73
018001,2014-05-03 07:00:00,99,199,87,0.909,3,68
018001,2014-05-03 08:00:00,46,163,66,0.601,22,44
018001,2014-05-03 09:00:00,39,113,56,0.419,35,25
018001,2014-05-03 10:00:00,36,156,59,0.568,32,34
018001,2014-05-03 11:00:00,45,137,61,0.883,40,63
018001,2014-05-03 12:00:00,57,177,67,1.053,61,75
018001,2014-05-03 13:00:00,50,150,41,0.683,91,49
018001,2014-05-03 14:00:00,48,184,36,0.784,101,47
018001,2014-05-03 15:00:00,56,222,63,1.485,80,79
018001,2014-05-03 16:00:00,48,227,47,0.844,98,56
018001,2014-05-03 17:00:00,49,182,50,0.743,91,53
018001,2014-05-03 18:00:00,49,170,47,0.596,90,45
018001,2014-05-03 19:00:00,38,174,30,0.105,108,6
018001,2014-05-03 20:00:00,38,174,30,0.105,108,6
018001,2014-05-03 21:00:00,38,174,30,0.105,108,6
018001,2014-05-03 22:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-03 23:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-04 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-04 01:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-04 02:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-04 03:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-04 04:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-04 05:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-04 06:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-04 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-04 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-04 09:00:00,25,82,22,0.184,71,1
018001,2014-05-04 10:00:00,17,51,16,0.179,81,
018001,2014-05-04 11:00:00,15,56,16,0.184,83,2
018001,2014-05-04 12:00:00,13,83,16,0.188,87,2
018001,2014-05-04 13:00:00,16,176,17,0.181,87,1
018001,2014-05-04 14:00:00,20,195,13,0.169,91,2
018001,2014-05-04 15:00:00,29,132,13,0.172,90,2
018001,2014-05-04 16:00:00,26,154,13,0.179,90,2
018001,2014-05-04 17:00:00,22,71,12,0.179,91,2
018001,2014-05-04 18:00:00,22,62,7,0.171,92,5
018001,2014-05-04 19:00:00,26,52,7,0.193,95,3
018001,2014-05-04 20:00:00,27,42,11,0.202,88,2
018001,2014-05-04 21:00:00,38,83,18,0.352,75,1
018001,2014-05-04 22:00:00,50,164,67,0.555,26,9
018001,2014-05-04 23:00:00,54,197,84,0.492,10,11
018001,2014-05-05 00:00:00,59,180,79,0.294,20,11
018001,2014-05-05 01:00:00,56,106,54,0.354,35,25
018001,2014-05-05 02:00:00,83,141,56,0.611,30,66
018001,2014-05-05 03:00:00,81,128,68,0.636,19,57
018001,2014-05-05 04:00:00,105,177,87,0.793,2,49
018001,2014-05-05 05:00:00,103,259,90,0.848,1,46
018001,2014-05-05 06:00:00,77,205,91,0.687,1,35
018001,2014-05-05 07:00:00,71,174,84,0.601,2,28
018001,2014-05-05 08:00:00,57,140,74,0.553,12,35
018001,2014-05-05 09:00:00,61,185,71,0.713,22,172
018001,2014-05-05 10:00:00,45,86,40,0.46,56,17
018001,2014-05-05 11:00:00,26,38,15,0.234,90,5
018001,2014-05-05 12:00:00,20,37,10,0.201,99,4
018001,2014-05-05 13:00:00,13,28,14,0.212,100,7
018001,2014-05-05 14:00:00,15,38,18,0.227,108,10
018001,2014-05-05 15:00:00,29,50,16,0.201,116,11
018001,2014-05-05 16:00:00,30,54,13,0.181,126,11
018001,2014-05-05 17:00:00,32,53,13,0.164,128,11
018001,2014-05-05 18:00:00,27,60,16,0.192,127,14
018001,2014-05-05 19:00:00,35,60,22,0.285,122,27
018001,2014-05-05 20:00:00,38,63,29,0.424,104,35
018001,2014-05-05 21:00:00,43,127,47,0.489,73,31
018001,2014-05-05 22:00:00,57,123,40,0.5,66,25
018001,2014-05-05 23:00:00,57,105,32,0.453,65,20
018001,2014-05-06 00:00:00,51,94,32,0.384,60,19
018001,2014-05-06 01:00:00,51,102,29,0.419,55,20
018001,2014-05-06 02:00:00,58,113,30,0.444,51,20
018001,2014-05-06 03:00:00,53,120,37,0.423,43,18
018001,2014-05-06 04:00:00,57,101,35,0.442,40,17
018001,2014-05-06 05:00:00,64,99,39,0.441,33,15
018001,2014-05-06 06:00:00,64,105,39,0.458,31,16
018001,2014-05-06 07:00:00,83,257,88,0.703,4,25
018001,2014-05-06 08:00:00,88,218,91,0.838,3,34
018001,2014-05-06 09:00:00,101,157,67,0.735,24,45
018001,2014-05-06 10:00:00,96,158,49,0.944,54,52
018001,2014-05-06 11:00:00,70,136,44,0.538,67,47
018001,2014-05-06 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-06 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-06 14:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-06 15:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-06 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-06 17:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-06 18:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-06 19:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-06 20:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-06 21:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-06 22:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-06 23:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 01:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 02:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 03:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 04:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 05:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 06:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 09:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 10:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 11:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 14:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 15:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 17:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 18:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 19:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 20:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 21:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 22:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-07 23:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 01:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 02:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 03:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 04:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 05:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 06:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 09:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 10:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 11:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-08 13:00:00,89,151,27,0.639,140,48
018001,2014-05-08 14:00:00,45,104,22,0.466,153,39
018001,2014-05-08 15:00:00,45,101,23,0.382,156,32
018001,2014-05-08 16:00:00,39,83,20,0.339,154,23
018001,2014-05-08 17:00:00,33,71,20,0.301,154,18
018001,2014-05-08 18:00:00,32,72,20,0.285,153,18
018001,2014-05-08 19:00:00,39,91,21,0.288,145,20
018001,2014-05-08 20:00:00,47,122,26,0.295,125,19
018001,2014-05-08 21:00:00,55,132,31,0.332,108,20
018001,2014-05-08 22:00:00,56,174,32,0.489,93,21
018001,2014-05-08 23:00:00,60,145,39,0.463,79,21
018001,2014-05-09 00:00:00,59,100,42,0.403,70,21
018001,2014-05-09 01:00:00,62,126,35,0.403,69,21
018001,2014-05-09 02:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-09 03:00:00,57,92,28,0.329,86,24
018001,2014-05-09 04:00:00,57,82,27,0.37,82,28
018001,2014-05-09 05:00:00,77,108,29,0.801,69,36
018001,2014-05-09 06:00:00,91,129,33,0.948,62,46
018001,2014-05-09 07:00:00,88,127,34,1.099,59,36
018001,2014-05-09 08:00:00,86,111,35,1.123,66,38
018001,2014-05-09 09:00:00,77,121,33,0.942,75,34
018001,2014-05-09 10:00:00,72,123,27,0.791,87,34
018001,2014-05-09 11:00:00,84,147,26,0.698,95,39
018001,2014-05-09 12:00:00,79,138,30,0.678,100,46
018001,2014-05-09 13:00:00,91,140,32,0.718,116,54
018001,2014-05-09 14:00:00,103,154,36,0.773,129,54
018001,2014-05-09 15:00:00,98,157,33,0.736,144,55
018001,2014-05-09 16:00:00,110,192,36,0.845,149,52
018001,2014-05-09 17:00:00,116,201,40,1.195,141,50
018001,2014-05-09 18:00:00,111,252,45,1.233,121,42
018001,2014-05-09 19:00:00,96,206,45,0.861,118,35
018001,2014-05-09 20:00:00,90,147,46,0.797,117,35
018001,2014-05-09 21:00:00,67,172,43,0.677,117,34
018001,2014-05-09 22:00:00,75,181,45,0.74,108,30
018001,2014-05-09 23:00:00,63,179,41,0.622,107,26
018001,2014-05-10 00:00:00,58,180,35,0.418,103,21
018001,2014-05-10 01:00:00,53,148,30,0.395,109,20
018001,2014-05-10 02:00:00,50,97,30,0.37,102,20
018001,2014-05-10 03:00:00,48,93,29,0.301,99,18
018001,2014-05-10 04:00:00,53,93,28,0.356,93,17
018001,2014-05-10 05:00:00,57,81,28,0.51,86,17
018001,2014-05-10 06:00:00,61,93,29,0.62,80,19
018001,2014-05-10 07:00:00,58,111,33,0.715,71,19
018001,2014-05-10 08:00:00,54,129,36,0.794,63,20
018001,2014-05-10 09:00:00,59,113,38,0.846,57,25
018001,2014-05-10 10:00:00,65,106,38,0.932,59,28
018001,2014-05-10 11:00:00,68,113,38,1.028,64,29
018001,2014-05-10 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-10 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-10 14:00:00,65,119,40,0.922,84,39
018001,2014-05-10 15:00:00,59,128,44,0.961,83,40
018001,2014-05-10 16:00:00,64,140,51,1.064,78,40
018001,2014-05-10 17:00:00,83,137,55,1.161,76,36
018001,2014-05-10 18:00:00,84,150,54,1.19,71,21
018001,2014-05-10 19:00:00,75,95,53,1.151,74,17
018001,2014-05-10 20:00:00,92,111,59,1.363,65,17
018001,2014-05-10 21:00:00,86,108,52,1.177,69,16
018001,2014-05-10 22:00:00,111,107,45,0.983,61,13
018001,2014-05-10 23:00:00,69,96,38,0.776,75,9
018001,2014-05-11 00:00:00,75,89,28,0.589,94,9
018001,2014-05-11 01:00:00,76,72,30,0.653,81,7
018001,2014-05-11 02:00:00,49,70,23,0.525,92,4
018001,2014-05-11 03:00:00,53,62,17,0.409,101,2
018001,2014-05-11 04:00:00,53,65,15,0.323,101,2
018001,2014-05-11 05:00:00,49,58,15,0.234,104,3
018001,2014-05-11 06:00:00,42,37,16,0.184,104,2
018001,2014-05-11 07:00:00,37,36,18,0.167,105,1
018001,2014-05-11 08:00:00,35,29,16,0.102,115,
018001,2014-05-11 09:00:00,25,35,36,0.163,85,2
018001,2014-05-11 10:00:00,30,30,41,0.303,80,2
018001,2014-05-11 11:00:00,23,26,26,0.186,97,2
018001,2014-05-11 12:00:00,19,19,16,0.312,111,3
018001,2014-05-11 13:00:00,16,19,14,0.185,115,3
018001,2014-05-11 14:00:00,17,16,12,0.144,117,4
018001,2014-05-11 15:00:00,10,17,12,0.145,116,4
018001,2014-05-11 16:00:00,8,19,20,0.176,117,7
018001,2014-05-11 17:00:00,26,17,18,0.191,116,6
018001,2014-05-11 18:00:00,19,23,19,0.209,115,6
018001,2014-05-11 19:00:00,26,32,24,0.228,102,6
018001,2014-05-11 20:00:00,23,34,29,0.281,90,7
018001,2014-05-11 21:00:00,30,40,31,0.413,76,8
018001,2014-05-11 22:00:00,40,47,40,0.572,59,12
018001,2014-05-11 23:00:00,53,81,46,0.718,51,15
018001,2014-05-12 00:00:00,53,72,58,0.866,33,17
018001,2014-05-12 01:00:00,61,102,64,0.817,16,21
018001,2014-05-12 02:00:00,57,84,51,0.652,26,10
018001,2014-05-12 03:00:00,47,81,54,0.887,29,14
018001,2014-05-12 04:00:00,40,83,72,0.745,13,19
018001,2014-05-12 05:00:00,38,96,69,0.81,10,27
018001,2014-05-12 06:00:00,44,81,46,0.423,26,13
018001,2014-05-12 07:00:00,38,99,49,0.467,20,17
018001,2014-05-12 08:00:00,29,108,42,0.409,37,17
018001,2014-05-12 09:00:00,31,117,52,0.44,37,46
018001,2014-05-12 10:00:00,38,128,41,0.379,56,25
018001,2014-05-12 11:00:00,35,125,40,0.749,69,29
018001,2014-05-12 12:00:00,39,110,43,0.824,69,29
018001,2014-05-12 13:00:00,36,118,34,0.538,101,34
018001,2014-05-12 14:00:00,28,113,29,0.339,122,28
018001,2014-05-12 15:00:00,24,124,35,0.338,124,32
018001,2014-05-12 16:00:00,39,182,36,0.343,148,48
018001,2014-05-12 17:00:00,41,132,31,0.331,154,44
018001,2014-05-12 18:00:00,36,132,43,0.477,121,56
018001,2014-05-12 19:00:00,48,191,51,0.903,132,65
018001,2014-05-12 20:00:00,56,172,63,0.715,117,46
018001,2014-05-12 21:00:00,57,234,60,0.467,100,38
018001,2014-05-12 22:00:00,56,165,46,0.378,89,46
018001,2014-05-12 23:00:00,50,145,45,0.308,85,46
018001,2014-05-13 00:00:00,55,176,59,0.332,67,49
018001,2014-05-13 01:00:00,63,166,58,0.421,56,51
018001,2014-05-13 02:00:00,68,194,65,0.601,38,62
018001,2014-05-13 03:00:00,69,221,82,0.714,16,59
018001,2014-05-13 04:00:00,80,268,98,1.003,3,63
018001,2014-05-13 05:00:00,108,280,90,0.995,2,51
018001,2014-05-13 06:00:00,130,271,90,1.047,1,55
018001,2014-05-13 07:00:00,92,240,93,1.227,4,64
018001,2014-05-13 08:00:00,81,253,83,1.095,13,58
018001,2014-05-13 09:00:00,81,276,83,1.315,23,54
018001,2014-05-13 10:00:00,74,238,76,1.476,43,63
018001,2014-05-13 11:00:00,65,212,64,1.134,62,93
018001,2014-05-13 12:00:00,92,221,73,1.166,65,98
018001,2014-05-13 13:00:00,142,274,82,1.478,102,104
018001,2014-05-13 14:00:00,159,264,80,1.71,136,108
018001,2014-05-13 15:00:00,160,313,75,1.651,163,102
018001,2014-05-13 16:00:00,125,219,54,1.342,205,96
018001,2014-05-13 17:00:00,89,202,48,1.267,183,79
018001,2014-05-13 18:00:00,114,216,47,1.053,149,67
018001,2014-05-13 19:00:00,120,224,52,0.838,125,64
018001,2014-05-13 20:00:00,124,260,49,0.647,112,67
018001,2014-05-13 21:00:00,123,216,50,0.662,101,69
018001,2014-05-13 22:00:00,121,250,70,0.607,73,54
018001,2014-05-13 23:00:00,130,200,50,0.645,75,50
018001,2014-05-14 00:00:00,137,219,77,0.719,29,40
018001,2014-05-14 01:00:00,136,269,112,0.882,11,44
018001,2014-05-14 02:00:00,72,164,64,0.578,42,45
018001,2014-05-14 03:00:00,52,109,36,0.261,64,30
018001,2014-05-14 04:00:00,48,87,58,0.201,43,33
018001,2014-05-14 05:00:00,55,149,95,0.484,8,22
018001,2014-05-14 06:00:00,55,128,50,0.363,46,20
018001,2014-05-14 07:00:00,81,189,53,0.487,36,28
018001,2014-05-14 08:00:00,78,335,77,0.553,16,28
018001,2014-05-14 09:00:00,38,142,38,0.235,69,16
018001,2014-05-14 10:00:00,32,160,17,0.149,101,13
018001,2014-05-14 11:00:00,34,206,18,0.109,102,10
018001,2014-05-14 12:00:00,28,114,22,0.091,96,10
018001,2014-05-14 13:00:00,25,125,23,0.045,99,10
018001,2014-05-14 14:00:00,23,109,21,0.007,105,10
018001,2014-05-14 15:00:00,18,105,21,0.041,105,9
018001,2014-05-14 16:00:00,15,65,25,0.058,98,9
018001,2014-05-14 17:00:00,22,89,39,0.066,87,13
018001,2014-05-14 18:00:00,21,102,48,0.134,82,28
018001,2014-05-14 19:00:00,30,91,40,0.188,82,24
018001,2014-05-14 20:00:00,40,122,47,0.417,70,26
018001,2014-05-14 21:00:00,55,176,79,0.52,32,26
018001,2014-05-14 22:00:00,59,169,74,0.515,28,34
018001,2014-05-14 23:00:00,87,207,75,0.581,21,42
018001,2014-05-15 00:00:00,59,169,73,0.557,18,44
018001,2014-05-15 01:00:00,60,167,69,0.551,18,45
018001,2014-05-15 02:00:00,67,170,80,0.626,7,50
018001,2014-05-15 03:00:00,68,183,83,0.828,2,56
018001,2014-05-15 04:00:00,71,193,85,1.005,2,61
018001,2014-05-15 05:00:00,64,172,86,1.128,2,60
018001,2014-05-15 06:00:00,51,117,81,0.874,5,47
018001,2014-05-15 07:00:00,46,105,64,0.803,16,33
018001,2014-05-15 08:00:00,43,191,66,1.199,20,39
018001,2014-05-15 09:00:00,49,160,48,0.819,44,34
018001,2014-05-15 10:00:00,55,251,43,0.558,56,29
018001,2014-05-15 11:00:00,51,294,48,0.211,59,26
018001,2014-05-15 12:00:00,51,241,34,0.155,81,20
018001,2014-05-15 13:00:00,41,197,25,0.196,104,21
018001,2014-05-15 14:00:00,50,206,21,0.183,121,21
018001,2014-05-15 15:00:00,52,214,21,0.173,127,21
018001,2014-05-15 16:00:00,55,256,24,0.199,127,26
018001,2014-05-15 17:00:00,51,193,32,0.223,121,35
018001,2014-05-15 18:00:00,61,218,37,0.227,119,34
018001,2014-05-15 19:00:00,81,226,43,0.165,101,38
018001,2014-05-15 20:00:00,54,202,52,0.262,91,37
018001,2014-05-15 21:00:00,59,197,41,0.309,112,36
018001,2014-05-15 22:00:00,63,188,36,0.29,108,36
018001,2014-05-15 23:00:00,,,33,0.315,106,37
018001,2014-05-16 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-16 01:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-16 02:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-16 03:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-16 04:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-16 05:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-16 06:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-16 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-16 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-16 09:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-16 10:00:00,NULL,NULL,NULL,NULL,NULL,NULL
018001,2014-05-16 11:00:00,,6,50,0.65,77,27
018001,2014-05-16 12:00:00,57,6,28,0.58,105,26
018001,2014-05-16 13:00:00,50,177,25,0.619,122,17
018001,2014-05-16 14:00:00,52,143,22,0.752,137,20
018001,2014-05-16 15:00:00,48,130,20,0.779,160,23
018001,2014-05-16 16:00:00,42,115,17,0.663,163,28
018001,2014-05-16 17:00:00,47,154,22,1.107,178,37
018001,2014-05-16 18:00:00,54,154,25,1.196,203,56
018001,2014-05-16 19:00:00,58,251,44,1.346,184,76
018001,2014-05-16 20:00:00,81,240,61,1.051,158,54
018001,2014-05-16 21:00:00,85,157,27,0.739,156,40
018001,2014-05-16 22:00:00,65,152,26,0.706,149,38
018001,2014-05-16 23:00:00,62,120,22,0.663,152,36
018001,2014-05-17 00:00:00,84,160,41,0.66,118,35
018001,2014-05-17 01:00:00,85,167,79,0.667,72,37
018001,2014-05-17 02:00:00,NULL,NULL,NULL,NULL,NULL,NULL
