sid,time,pm25,pm10,no2,co,o3,so2
025001,2014-05-01 00:00:00,15,25,37,0.537,25,3
025001,2014-05-01 01:00:00,18,,30,,33,4
025001,2014-05-01 02:00:00,25,,24,4.829,34,5
025001,2014-05-01 03:00:00,26,,21,0.467,31,4
025001,2014-05-01 04:00:00,19,,30,0.453,226,710
025001,2014-05-01 05:00:00,16,,29,0.401,294,5
025001,2014-05-01 06:00:00,16,,27,0.443,36,4
025001,2014-05-01 07:00:00,15,,33,0.459,28,3
025001,2014-05-01 08:00:00,20,,32,0.513,29,5
025001,2014-05-01 09:00:00,22,,33,0.536,26,5
025001,2014-05-01 10:00:00,28,28,33,0.558,23,5
025001,2014-05-01 11:00:00,24,,33,0.582,26,5
025001,2014-05-01 12:00:00,33,,32,0.615,32,7
025001,2014-05-01 13:00:00,20,22,27,0.587,49,5
025001,2014-05-01 14:00:00,18,25,24,0.573,65,5
025001,2014-05-01 15:00:00,17,30,23,0.561,83,6
025001,2014-05-01 16:00:00,15,18,23,0.568,83,5
025001,2014-05-01 17:00:00,16,25,25,0.557,81,5
025001,2014-05-01 18:00:00,20,,26,0.585,76,5
025001,2014-05-01 19:00:00,22,26,34,0.66,65,6
025001,2014-05-01 20:00:00,26,30,32,0.667,54,5
025001,2014-05-01 21:00:00,33,,36,0.681,44,6
025001,2014-05-01 22:00:00,32,,35,0.703,38,9
025001,2014-05-01 23:00:00,29,29,33,0.693,35,10
025001,2014-05-02 00:00:00,34,39,33,0.698,32,9
025001,2014-05-02 01:00:00,32,35,33,0.678,27,9
025001,2014-05-02 02:00:00,32,38,36,0.712,20,9
025001,2014-05-02 03:00:00,32,38,33,0.701,19,10
025001,2014-05-02 04:00:00,30,35,29,0.66,23,11
025001,2014-05-02 05:00:00,29,32,26,0.627,27,8
025001,2014-05-02 06:00:00,28,,26,0.612,24,8
025001,2014-05-02 07:00:00,28,35,27,0.628,24,10
025001,2014-05-02 08:00:00,28,37,30,0.668,24,10
025001,2014-05-02 09:00:00,34,41,29,0.671,28,12
025001,2014-05-02 10:00:00,31,38,28,0.728,43,13
025001,2014-05-02 11:00:00,36,48,28,0.693,71,14
025001,2014-05-02 12:00:00,36,48,28,0.693,71,14
025001,2014-05-02 13:00:00,30,40,23,0.637,106,10
025001,2014-05-02 14:00:00,23,31,17,0.535,120,7
025001,2014-05-02 15:00:00,23,31,17,0.535,120,7
025001,2014-05-02 16:00:00,22,30,18,0.54,122,7
025001,2014-05-02 17:00:00,25,33,21,0.547,122,6
025001,2014-05-02 18:00:00,26,31,23,0.549,114,7
025001,2014-05-02 19:00:00,28,37,29,0.603,99,7
025001,2014-05-02 20:00:00,28,33,26,0.626,64,5
025001,2014-05-02 21:00:00,30,32,34,0.675,42,5
025001,2014-05-02 22:00:00,32,41,52,0.742,25,5
025001,2014-05-02 23:00:00,35,51,59,0.769,26,6
025001,2014-05-03 00:00:00,33,49,44,0.666,49,6
025001,2014-05-03 01:00:00,31,37,33,,44,6
025001,2014-05-03 02:00:00,32,36,24,4.696,29,4
025001,2014-05-03 03:00:00,34,34,22,0.597,27,4
025001,2014-05-03 04:00:00,35,40,30,0.595,224,701
025001,2014-05-03 05:00:00,39,,33,0.641,303,5
025001,2014-05-03 06:00:00,52,,36,0.752,35,10
025001,2014-05-03 07:00:00,56,,39,0.731,43,11
025001,2014-05-03 08:00:00,57,65,39,0.73,49,13
025001,2014-05-03 09:00:00,44,53,30,0.777,72,20
025001,2014-05-03 10:00:00,30,52,25,0.623,96,11
025001,2014-05-03 11:00:00,24,38,23,0.522,131,10
025001,2014-05-03 12:00:00,26,46,25,0.532,163,9
025001,2014-05-03 13:00:00,26,46,25,0.532,163,9
025001,2014-05-03 14:00:00,27,52,27,0.504,189,8
025001,2014-05-03 15:00:00,28,53,25,0.446,207,8
025001,2014-05-03 16:00:00,28,53,25,0.446,207,8
025001,2014-05-03 17:00:00,23,33,27,0.392,155,6
025001,2014-05-03 18:00:00,24,35,25,0.416,146,6
025001,2014-05-03 19:00:00,25,40,28,0.445,129,7
025001,2014-05-03 20:00:00,29,47,31,0.468,115,8
025001,2014-05-03 21:00:00,33,50,33,0.475,99,7
025001,2014-05-03 22:00:00,36,49,52,0.478,68,6
025001,2014-05-03 23:00:00,32,52,43,0.422,73,6
025001,2014-05-04 00:00:00,31,41,33,0.418,81,5
025001,2014-05-04 01:00:00,31,48,25,0.414,89,6
025001,2014-05-04 02:00:00,30,44,25,0.419,88,6
025001,2014-05-04 03:00:00,33,48,24,0.414,85,5
025001,2014-05-04 04:00:00,33,44,23,0.387,88,6
025001,2014-05-04 05:00:00,30,39,23,0.378,85,6
025001,2014-05-04 06:00:00,30,39,23,0.378,85,6
025001,2014-05-04 07:00:00,34,49,27,0.449,74,12
025001,2014-05-04 08:00:00,33,46,28,0.428,78,12
025001,2014-05-04 09:00:00,34,54,31,0.509,79,19
