sid,time,pm25,pm10,no2,co,o3,so2
160001,2014-05-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
160001,2014-05-01 01:00:00,83,191,40,0.983,88,99
160001,2014-05-01 02:00:00,86,174,49,1.182,80,132
160001,2014-05-01 03:00:00,83,182,60,1.378,69,141
160001,2014-05-01 04:00:00,100,191,63,1.419,54,91
160001,2014-05-01 05:00:00,100,197,91,1.525,25,93
160001,2014-05-01 06:00:00,106,223,113,1.67,10,96
160001,2014-05-01 07:00:00,120,274,117,1.867,17,177
160001,2014-05-01 08:00:00,126,296,117,2.058,30,181
160001,2014-05-01 09:00:00,132,295,120,2.28,58,183
160001,2014-05-01 10:00:00,139,327,88,2.278,95,251
160001,2014-05-01 11:00:00,132,304,39,1.29,176,201
160001,2014-05-01 12:00:00,101,224,19,0.863,180,112
160001,2014-05-01 13:00:00,69,166,14,0.802,182,73
160001,2014-05-01 14:00:00,69,150,15,0.84,198,79
160001,2014-05-01 15:00:00,67,154,18,0.936,215,77
160001,2014-05-01 16:00:00,69,166,23,0.98,222,92
160001,2014-05-01 17:00:00,69,167,26,1.023,217,92
160001,2014-05-01 18:00:00,72,166,36,1.144,207,92
160001,2014-05-01 19:00:00,77,177,53,1.197,175,96
160001,2014-05-01 20:00:00,78,192,47,1.479,134,96
160001,2014-05-01 21:00:00,85,237,31,1.421,135,72
160001,2014-05-01 22:00:00,96,210,34,1.329,126,113
160001,2014-05-01 23:00:00,103,233,43,1.506,108,119
160001,2014-05-02 00:00:00,118,237,52,1.671,87,111
160001,2014-05-02 01:00:00,117,250,29,0.925,55,58
160001,2014-05-02 02:00:00,100,384,12,0.677,81,35
160001,2014-05-02 03:00:00,60,125,17,0.709,77,36
160001,2014-05-02 04:00:00,53,118,22,0.819,54,37
160001,2014-05-02 05:00:00,64,120,27,0.723,41,38
160001,2014-05-02 06:00:00,58,120,32,0.7,40,42
160001,2014-05-02 07:00:00,57,102,28,0.687,44,48
160001,2014-05-02 08:00:00,48,102,23,0.699,55,50
160001,2014-05-02 09:00:00,34,81,18,0.687,71,37
160001,2014-05-02 10:00:00,27,105,13,0.58,89,35
160001,2014-05-02 11:00:00,28,129,12,0.575,101,28
160001,2014-05-02 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
160001,2014-05-02 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
160001,2014-05-02 14:00:00,20,137,8,0.46,122,23
160001,2014-05-02 15:00:00,NULL,NULL,NULL,NULL,NULL,NULL
160001,2014-05-02 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
160001,2014-05-02 17:00:00,13,52,9,0.43,126,22
160001,2014-05-02 18:00:00,9,43,11,0.441,123,22
160001,2014-05-02 19:00:00,17,38,20,0.466,114,23
160001,2014-05-02 20:00:00,19,37,29,0.633,101,26
160001,2014-05-02 21:00:00,31,58,22,0.621,98,29
160001,2014-05-02 22:00:00,18,54,31,0.841,73,173
160001,2014-05-02 23:00:00,37,78,48,1.134,55,100
160001,2014-05-03 00:00:00,33,97,68,1.154,34,112
160001,2014-05-03 01:00:00,44,102,42,0.628,44,46
160001,2014-05-03 02:00:00,39,108,52,0.851,36,75
160001,2014-05-03 03:00:00,49,107,92,1.254,14,135
160001,2014-05-03 04:00:00,63,173,105,1.548,7,158
160001,2014-05-03 05:00:00,70,172,105,1.604,8,153
160001,2014-05-03 06:00:00,72,179,103,1.779,11,167
160001,2014-05-03 07:00:00,86,182,124,2.355,16,239
160001,2014-05-03 08:00:00,110,246,128,2.749,26,266
160001,2014-05-03 09:00:00,115,284,99,2.383,61,257
160001,2014-05-03 10:00:00,90,231,67,2.049,89,230
160001,2014-05-03 11:00:00,70,219,42,1.38,103,118
160001,2014-05-03 12:00:00,50,227,28,0.819,116,85
160001,2014-05-03 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
160001,2014-05-03 14:00:00,NULL,NULL,NULL,NULL,NULL,NULL
160001,2014-05-03 15:00:00,41,234,16,0.64,150,53
160001,2014-05-03 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
160001,2014-05-03 17:00:00,48,220,23,0.669,145,62
160001,2014-05-03 18:00:00,69,185,29,0.728,135,59
160001,2014-05-03 19:00:00,49,178,31,0.773,124,49
160001,2014-05-03 20:00:00,57,159,38,0.71,107,55
160001,2014-05-03 21:00:00,35,146,36,0.754,105,69
160001,2014-05-03 22:00:00,46,157,47,0.833,89,75
160001,2014-05-03 23:00:00,52,165,53,0.838,74,79
160001,2014-05-04 00:00:00,52,167,35,0.737,82,71
160001,2014-05-04 01:00:00,39,125,9,0.411,67,26
160001,2014-05-04 02:00:00,34,210,9,0.42,72,23
160001,2014-05-04 03:00:00,40,177,10,0.429,76,23
160001,2014-05-04 04:00:00,22,146,14,0.441,70,24
