sid,time,pm25,pm10,no2,co,o3,so2
026001,2014-05-01 00:00:00,29,46,57,1.265,16,33
026001,2014-05-01 01:00:00,33,40,46,1.336,14,21
026001,2014-05-01 02:00:00,36,,42,1.366,15,17
026001,2014-05-01 03:00:00,39,,53,1.413,6,36
026001,2014-05-01 04:00:00,40,56,47,1.338,10,30
026001,2014-05-01 05:00:00,37,39,41,1.305,15,32
026001,2014-05-01 06:00:00,36,51,40,1.286,18,27
026001,2014-05-01 07:00:00,33,,26,1.253,27,19
026001,2014-05-01 08:00:00,36,,33,1.311,18,26
026001,2014-05-01 09:00:00,37,,35,1.358,18,32
026001,2014-05-01 10:00:00,38,41,39,1.382,20,43
026001,2014-05-01 11:00:00,41,60,41,1.413,24,50
026001,2014-05-01 12:00:00,39,60,42,1.42,27,47
026001,2014-05-01 13:00:00,38,56,36,1.369,37,38
026001,2014-05-01 14:00:00,41,61,37,1.363,44,45
026001,2014-05-01 15:00:00,44,70,34,1.351,51,43
026001,2014-05-01 16:00:00,46,61,42,1.38,44,42
026001,2014-05-01 17:00:00,48,55,44,1.393,43,42
026001,2014-05-01 18:00:00,51,59,54,1.426,36,44
026001,2014-05-01 19:00:00,57,65,62,1.483,29,46
026001,2014-05-01 20:00:00,52,74,54,1.539,22,31
026001,2014-05-01 21:00:00,50,61,49,1.581,18,25
026001,2014-05-01 22:00:00,46,57,44,1.585,13,20
026001,2014-05-01 23:00:00,48,58,43,1.598,12,22
026001,2014-05-02 00:00:00,48,57,47,1.651,8,23
026001,2014-05-02 01:00:00,47,61,48,1.68,5,23
026001,2014-05-02 02:00:00,53,73,52,1.68,4,32
026001,2014-05-02 03:00:00,54,74,51,1.644,4,32
026001,2014-05-02 04:00:00,60,76,59,1.659,4,48
026001,2014-05-02 05:00:00,59,81,54,1.698,4,42
026001,2014-05-02 06:00:00,56,74,53,1.717,4,41
026001,2014-05-02 07:00:00,61,71,51,1.764,5,46
026001,2014-05-02 08:00:00,59,71,52,1.765,5,59
026001,2014-05-02 09:00:00,48,59,45,1.725,7,35
026001,2014-05-02 10:00:00,52,57,46,1.797,8,41
026001,2014-05-02 11:00:00,66,67,47,1.795,16,64
026001,2014-05-02 12:00:00,66,67,47,1.795,16,64
026001,2014-05-02 13:00:00,66,82,54,1.752,32,63
026001,2014-05-02 14:00:00,64,81,60,1.652,66,43
026001,2014-05-02 15:00:00,64,81,60,1.652,66,43
026001,2014-05-02 16:00:00,62,73,51,1.572,91,32
026001,2014-05-02 17:00:00,52,62,39,1.477,137,23
026001,2014-05-02 18:00:00,51,55,39,1.49,141,24
026001,2014-05-02 19:00:00,47,63,39,1.55,119,21
026001,2014-05-02 20:00:00,41,56,30,1.548,80,14
026001,2014-05-02 21:00:00,42,54,23,1.517,80,13
026001,2014-05-02 22:00:00,45,57,21,1.53,73,11
026001,2014-05-02 23:00:00,55,56,31,1.605,62,22
026001,2014-05-03 00:00:00,54,67,39,1.607,52,22
026001,2014-05-03 01:00:00,65,79,51,1.726,32,33
026001,2014-05-03 02:00:00,64,93,38,1.65,36,27
026001,2014-05-03 03:00:00,68,81,40,1.719,24,23
026001,2014-05-03 04:00:00,59,69,27,1.596,30,19
026001,2014-05-03 05:00:00,67,73,48,1.834,14,24
026001,2014-05-03 06:00:00,62,82,55,1.779,12,33
026001,2014-05-03 07:00:00,42,49,31,1.465,19,24
026001,2014-05-03 08:00:00,46,,30,1.579,20,21
026001,2014-05-03 09:00:00,62,69,54,1.726,34,37
026001,2014-05-03 10:00:00,55,66,57,1.557,76,38
026001,2014-05-03 11:00:00,52,65,43,1.483,120,26
026001,2014-05-03 12:00:00,40,44,17,1.335,163,18
026001,2014-05-03 13:00:00,40,44,17,1.335,163,18
026001,2014-05-03 14:00:00,22,44,7,1.182,183,14
026001,2014-05-03 15:00:00,17,39,6,1.105,203,17
026001,2014-05-03 16:00:00,17,39,6,1.105,203,17
026001,2014-05-03 17:00:00,11,29,5,1.048,167,12
026001,2014-05-03 18:00:00,11,27,4,1.052,165,10
026001,2014-05-03 19:00:00,13,28,11,1.11,152,11
026001,2014-05-03 20:00:00,15,25,20,1.157,116,17
