sid,time,pm25,pm10,no2,co,o3,so2
027001,2014-05-01 00:00:00,20,33,17,0.911,46,6
027001,2014-05-01 01:00:00,22,,20,0.893,41,7
027001,2014-05-01 02:00:00,21,21,17,0.852,43,6
027001,2014-05-01 03:00:00,25,,20,0.862,36,10
027001,2014-05-01 04:00:00,24,28,17,0.834,38,9
027001,2014-05-01 05:00:00,24,,16,0.845,36,8
027001,2014-05-01 06:00:00,23,,11,0.829,39,7
027001,2014-05-01 07:00:00,25,29,15,0.877,33,9
027001,2014-05-01 08:00:00,25,30,21,0.97,27,8
027001,2014-05-01 09:00:00,24,27,22,1.062,25,12
027001,2014-05-01 10:00:00,24,31,23,1.071,23,16
027001,2014-05-01 11:00:00,23,28,19,1.073,29,12
027001,2014-05-01 12:00:00,26,27,17,1.026,36,14
027001,2014-05-01 13:00:00,28,30,15,0.997,43,14
027001,2014-05-01 14:00:00,28,36,16,1.009,45,14
027001,2014-05-01 15:00:00,28,33,17,1.06,50,15
027001,2014-05-01 16:00:00,26,29,15,1.031,68,13
027001,2014-05-01 17:00:00,22,26,18,1.086,64,10
027001,2014-05-01 18:00:00,24,31,23,1.222,48,10
027001,2014-05-01 19:00:00,22,37,25,1.314,42,9
027001,2014-05-01 20:00:00,22,29,18,1.162,46,9
027001,2014-05-01 21:00:00,24,30,25,1.305,38,11
027001,2014-05-01 22:00:00,31,33,29,1.235,35,22
027001,2014-05-01 23:00:00,32,39,35,1.288,18,14
027001,2014-05-02 00:00:00,34,41,41,1.35,12,13
027001,2014-05-02 01:00:00,35,48,46,0.361,5,21
027001,2014-05-02 02:00:00,32,45,38,1.334,3,15
027001,2014-05-02 03:00:00,29,34,25,1.146,9,9
027001,2014-05-02 04:00:00,31,43,36,1.222,,63
027001,2014-05-02 05:00:00,31,41,35,1.218,,20
027001,2014-05-02 06:00:00,29,43,33,1.203,3,20
027001,2014-05-02 07:00:00,30,53,32,1.242,5,25
027001,2014-05-02 08:00:00,31,52,21,1.256,17,20
027001,2014-05-02 09:00:00,36,50,25,1.369,20,31
027001,2014-05-02 10:00:00,36,63,21,1.306,42,28
027001,2014-05-02 11:00:00,32,49,17,1.188,69,19
027001,2014-05-02 12:00:00,32,49,17,1.188,69,19
027001,2014-05-02 13:00:00,34,43,11,1.098,72,14
027001,2014-05-02 14:00:00,32,38,8,1.049,96,10
027001,2014-05-02 15:00:00,32,38,8,1.049,96,10
027001,2014-05-02 16:00:00,28,32,8,1.034,102,9
027001,2014-05-02 17:00:00,28,34,14,1.074,116,11
027001,2014-05-02 18:00:00,27,45,18,1.177,106,11
027001,2014-05-02 19:00:00,28,42,18,1.119,74,6
027001,2014-05-02 20:00:00,36,49,19,1.17,56,6
027001,2014-05-02 21:00:00,25,32,15,1.096,49,6
027001,2014-05-02 22:00:00,26,33,22,1.172,34,9
027001,2014-05-02 23:00:00,27,45,34,1.193,19,21
027001,2014-05-03 00:00:00,33,47,47,1.319,2,35
027001,2014-05-03 01:00:00,40,67,39,1.449,1,32
027001,2014-05-03 02:00:00,35,62,35,1.235,3,14
027001,2014-05-03 03:00:00,40,51,33,1.121,5,14
027001,2014-05-03 04:00:00,46,111,31,1.06,6,13
027001,2014-05-03 05:00:00,39,78,30,1.028,10,10
027001,2014-05-03 06:00:00,41,81,34,1.099,1,13
027001,2014-05-03 07:00:00,44,80,31,1.288,4,20
027001,2014-05-03 08:00:00,51,90,38,1.368,11,63
027001,2014-05-03 09:00:00,59,86,40,1.318,24,102
027001,2014-05-03 10:00:00,50,76,30,1.302,63,50
027001,2014-05-03 11:00:00,41,60,19,1.24,103,29
027001,2014-05-03 12:00:00,40,56,15,1.109,130,22
027001,2014-05-03 13:00:00,40,56,15,1.109,130,22
027001,2014-05-03 14:00:00,40,52,11,1.068,146,17
027001,2014-05-03 15:00:00,33,36,7,0.971,144,9
027001,2014-05-03 16:00:00,33,36,7,0.971,144,9
027001,2014-05-03 17:00:00,33,44,10,0.936,134,9
027001,2014-05-03 18:00:00,32,49,21,0.983,111,8
027001,2014-05-03 19:00:00,35,56,28,1.108,88,15
027001,2014-05-03 20:00:00,43,77,40,1.236,78,37
027001,2014-05-03 21:00:00,36,75,29,1.093,97,14
027001,2014-05-03 22:00:00,39,60,30,1.129,90,23
027001,2014-05-03 23:00:00,37,65,20,1.032,97,14
027001,2014-05-04 00:00:00,38,55,20,0.973,88,13
027001,2014-05-04 01:00:00,44,61,28,0.974,69,14
027001,2014-05-04 02:00:00,56,73,31,0.989,53,18
027001,2014-05-04 03:00:00,64,82,26,0.992,53,34
027001,2014-05-04 04:00:00,39,64,18,0.881,71,16
027001,2014-05-04 05:00:00,40,47,23,0.92,59,21
027001,2014-05-04 06:00:00,43,54,25,0.942,46,38
027001,2014-05-04 07:00:00,64,93,36,1.082,39,38
027001,2014-05-04 08:00:00,48,86,27,1.088,58,38
027001,2014-05-04 09:00:00,40,62,27,1.005,66,34
027001,2014-05-04 10:00:00,58,91,30,0.962,77,23
027001,2014-05-04 11:00:00,41,95,23,0.926,85,18
027001,2014-05-04 12:00:00,35,63,15,0.901,89,15
027001,2014-05-04 13:00:00,34,53,15,0.904,88,11
027001,2014-05-04 14:00:00,32,61,11,0.921,78,7
027001,2014-05-04 15:00:00,38,38,13,1.028,77,12
027001,2014-05-04 16:00:00,38,,12,0.987,80,6
027001,2014-05-04 17:00:00,38,39,12,0.946,80,7
027001,2014-05-04 18:00:00,37,39,13,0.972,80,5
027001,2014-05-04 19:00:00,33,39,22,1.155,67,5
027001,2014-05-04 20:00:00,34,,24,1.295,59,5
027001,2014-05-04 21:00:00,34,38,29,1.288,45,5
027001,2014-05-04 22:00:00,26,27,21,1.228,61,6
027001,2014-05-04 23:00:00,13,17,16,1.172,78,6
027001,2014-05-05 00:00:00,13,,18,1.164,76,6
027001,2014-05-05 01:00:00,13,,37,1.198,66,7
027001,2014-05-05 02:00:00,13,,46,1.012,38,83
027001,2014-05-05 03:00:00,13,,13,0.987,163,73
027001,2014-05-05 04:00:00,12,,11,0.953,42,6
027001,2014-05-05 05:00:00,13,,13,0.959,75,7
027001,2014-05-05 06:00:00,12,13,16,0.974,74,10
027001,2014-05-05 07:00:00,13,17,17,0.986,76,10
027001,2014-05-05 08:00:00,16,20,15,1.009,80,10
027001,2014-05-05 09:00:00,16,28,21,1.141,71,10
027001,2014-05-05 10:00:00,13,21,16,0.999,76,8
027001,2014-05-05 11:00:00,11,22,18,1.011,73,8
027001,2014-05-05 12:00:00,13,24,15,0.687,72,9
027001,2014-05-05 13:00:00,14,37,16,0.709,73,9
027001,2014-05-05 14:00:00,14,37,16,0.709,73,9
027001,2014-05-05 15:00:00,16,21,16,0.675,69,7
027001,2014-05-05 16:00:00,19,31,22,0.708,60,6
027001,2014-05-05 17:00:00,21,23,21,0.695,61,6
027001,2014-05-05 18:00:00,22,27,20,0.756,60,5
027001,2014-05-05 19:00:00,24,27,29,0.889,48,7
027001,2014-05-05 20:00:00,21,26,19,0.716,57,5
027001,2014-05-05 21:00:00,18,18,15,0.636,62,5
027001,2014-05-05 22:00:00,18,18,21,0.686,54,5
027001,2014-05-05 23:00:00,17,,13,0.591,64,5
027001,2014-05-06 00:00:00,18,20,12,0.573,61,5
027001,2014-05-06 01:00:00,19,19,11,0.568,59,6
027001,2014-05-06 02:00:00,21,24,15,0.589,51,7
027001,2014-05-06 03:00:00,20,,10,0.56,55,6
027001,2014-05-06 04:00:00,21,22,14,0.578,49,7
027001,2014-05-06 05:00:00,20,,13,0.574,49,7
027001,2014-05-06 06:00:00,19,19,16,0.595,42,7
027001,2014-05-06 07:00:00,17,25,14,0.612,46,6
027001,2014-05-06 08:00:00,18,23,24,0.781,36,10
027001,2014-05-06 09:00:00,22,36,37,0.943,25,28
027001,2014-05-06 10:00:00,22,46,33,0.915,30,23
027001,2014-05-06 11:00:00,21,50,24,0.792,39,17
027001,2014-05-06 12:00:00,22,35,21,0.787,41,13
027001,2014-05-06 13:00:00,23,31,19,0.774,57,12
027001,2014-05-06 14:00:00,19,26,11,0.665,78,9
027001,2014-05-06 15:00:00,24,37,15,0.673,64,12
027001,2014-05-06 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
027001,2014-05-06 17:00:00,31,39,25,0.782,53,11
027001,2014-05-06 18:00:00,33,55,35,0.992,35,10
027001,2014-05-06 19:00:00,30,46,33,0.966,31,8
027001,2014-05-06 20:00:00,29,43,29,0.994,34,7
027001,2014-05-06 21:00:00,34,47,38,1.036,8,16
027001,2014-05-06 22:00:00,31,40,35,1.017,16,9
027001,2014-05-06 23:00:00,26,36,20,0.776,30,9
027001,2014-05-07 00:00:00,28,,32,0.866,16,8
027001,2014-05-07 01:00:00,29,35,23,0.755,21,8
027001,2014-05-07 02:00:00,29,35,35,0.799,10,10
027001,2014-05-07 03:00:00,32,39,23,0.72,18,14
027001,2014-05-07 04:00:00,31,45,18,0.693,24,9
027001,2014-05-07 05:00:00,35,42,15,0.709,25,9
027001,2014-05-07 06:00:00,33,33,21,0.708,19,12
027001,2014-05-07 07:00:00,34,,28,0.795,13,16
027001,2014-05-07 08:00:00,30,33,34,1.033,13,10
027001,2014-05-07 09:00:00,24,25,27,0.984,20,9
027001,2014-05-07 10:00:00,21,26,22,0.825,29,12
027001,2014-05-07 11:00:00,16,21,11,0.73,44,7
027001,2014-05-07 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
027001,2014-05-07 13:00:00,18,,13,0.788,42,9
027001,2014-05-07 14:00:00,17,21,17,0.777,38,9
027001,2014-05-07 15:00:00,16,16,26,0.795,31,9
027001,2014-05-07 16:00:00,14,,24,0.813,31,7
027001,2014-05-07 17:00:00,16,,19,0.806,38,8
027001,2014-05-07 18:00:00,19,22,30,0.939,28,10
027001,2014-05-07 19:00:00,18,24,38,1.277,19,8
027001,2014-05-07 20:00:00,20,22,35,1.199,17,6
027001,2014-05-07 21:00:00,22,30,29,1.042,21,8
027001,2014-05-07 22:00:00,18,21,31,1.035,20,12
027001,2014-05-07 23:00:00,20,20,27,1.009,16,10
027001,2014-05-08 00:00:00,21,,23,0.986,18,14
027001,2014-05-08 01:00:00,29,31,29,1.018,9,16
027001,2014-05-08 02:00:00,32,37,44,1.198,1,14
027001,2014-05-08 03:00:00,26,40,43,1.243,,12
027001,2014-05-08 04:00:00,26,50,38,0.945,,13
027001,2014-05-08 05:00:00,29,39,32,0.999,1,10
027001,2014-05-08 06:00:00,37,,24,0.909,3,25
027001,2014-05-08 07:00:00,38,45,24,1.097,4,41
027001,2014-05-08 08:00:00,25,52,20,1.31,9,16
027001,2014-05-08 09:00:00,21,25,18,1.283,15,16
027001,2014-05-08 10:00:00,21,,19,1.407,25,18
027001,2014-05-08 11:00:00,28,40,23,1.7,21,14
027001,2014-05-08 12:00:00,37,44,41,1.483,25,20
027001,2014-05-08 13:00:00,38,46,38,1.316,49,15
027001,2014-05-08 14:00:00,42,46,33,1.306,72,11
027001,2014-05-08 15:00:00,41,,28,1.274,84,8
027001,2014-05-08 16:00:00,41,48,29,1.342,79,5
027001,2014-05-08 17:00:00,32,,25,1.064,66,5
027001,2014-05-08 18:00:00,32,,43,1.266,30,5
027001,2014-05-08 19:00:00,38,40,55,1.578,17,5
027001,2014-05-08 20:00:00,35,39,62,1.546,5,10
027001,2014-05-08 21:00:00,44,50,61,1.623,3,6
027001,2014-05-08 22:00:00,14,18,17,0.827,44,5
027001,2014-05-08 23:00:00,11,,13,0.737,57,4
027001,2014-05-09 00:00:00,17,,17,0.679,54,9
027001,2014-05-09 01:00:00,19,,19,0.132,41,10
027001,2014-05-09 02:00:00,21,,20,0.767,28,11
