sid,time,pm25,pm10,no2,co,o3,so2
028001,2014-05-01 00:00:00,39,60,30,0.758,34,11
028001,2014-05-01 01:00:00,25,27,20,0.683,36,10
028001,2014-05-01 02:00:00,23,,20,0.693,34,11
028001,2014-05-01 03:00:00,24,24,25,0.706,30,9
028001,2014-05-01 04:00:00,25,43,34,0.715,21,11
028001,2014-05-01 05:00:00,27,30,17,0.689,67,12
028001,2014-05-01 06:00:00,28,37,27,0.705,60,9
028001,2014-05-01 07:00:00,29,40,31,0.727,23,9
028001,2014-05-01 08:00:00,27,44,27,0.702,19,9
028001,2014-05-01 09:00:00,23,23,27,0.703,21,8
028001,2014-05-01 10:00:00,20,,22,0.685,29,9
028001,2014-05-01 11:00:00,18,24,21,0.687,35,7
028001,2014-05-01 12:00:00,19,30,20,0.708,37,8
028001,2014-05-01 13:00:00,19,35,19,0.751,40,7
028001,2014-05-01 14:00:00,18,25,21,0.752,59,9
028001,2014-05-01 15:00:00,18,34,25,0.741,76,12
028001,2014-05-01 16:00:00,17,21,26,0.787,81,14
028001,2014-05-01 17:00:00,18,36,32,0.916,72,11
028001,2014-05-01 18:00:00,17,37,29,0.829,57,11
028001,2014-05-01 19:00:00,17,40,26,0.83,61,13
028001,2014-05-01 20:00:00,18,36,31,0.84,55,9
028001,2014-05-01 21:00:00,17,44,30,0.823,57,10
028001,2014-05-01 22:00:00,15,28,21,0.768,71,8
028001,2014-05-01 23:00:00,14,22,18,0.74,73,12
028001,2014-05-02 00:00:00,14,34,23,0.695,66,9
028001,2014-05-02 01:00:00,15,39,20,0.769,58,6
028001,2014-05-02 02:00:00,17,32,19,0.785,56,6
028001,2014-05-02 03:00:00,18,39,20,0.737,55,8
028001,2014-05-02 04:00:00,20,38,16,0.725,61,8
028001,2014-05-02 05:00:00,20,32,17,0.729,58,10
028001,2014-05-02 06:00:00,21,39,17,0.762,49,10
028001,2014-05-02 07:00:00,23,38,20,0.797,46,9
028001,2014-05-02 08:00:00,22,42,32,0.806,36,7
028001,2014-05-02 09:00:00,17,28,25,0.714,82,12
028001,2014-05-02 10:00:00,17,18,20,0.703,78,15
028001,2014-05-02 11:00:00,15,29,10,0.673,98,9
028001,2014-05-02 12:00:00,15,29,10,0.673,98,9
028001,2014-05-02 13:00:00,15,23,11,0.679,103,10
028001,2014-05-02 14:00:00,15,27,15,0.681,119,6
028001,2014-05-02 15:00:00,15,27,15,0.681,119,6
028001,2014-05-02 16:00:00,15,29,17,0.708,143,10
028001,2014-05-02 17:00:00,,54,,,,
028001,2014-05-02 18:00:00,,64,,,,
028001,2014-05-02 19:00:00,22,63,,,,
028001,2014-05-02 20:00:00,22,50,,0.732,,
028001,2014-05-02 21:00:00,22,38,,0.705,122,
028001,2014-05-02 22:00:00,21,35,,0.707,120,
028001,2014-05-02 23:00:00,21,57,,0.679,109,
028001,2014-05-03 00:00:00,23,76,,0.677,102,
028001,2014-05-03 01:00:00,24,63,,0.709,95,
028001,2014-05-03 02:00:00,24,63,,0.709,95,
028001,2014-05-03 03:00:00,NULL,NULL,NULL,NULL,NULL,NULL
028001,2014-05-03 04:00:00,NULL,NULL,NULL,NULL,NULL,NULL
028001,2014-05-03 05:00:00,NULL,NULL,NULL,NULL,NULL,NULL
028001,2014-05-03 06:00:00,NULL,NULL,NULL,NULL,NULL,NULL
028001,2014-05-03 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL
028001,2014-05-03 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL
028001,2014-05-03 09:00:00,NULL,NULL,NULL,NULL,NULL,NULL
028001,2014-05-03 10:00:00,NULL,NULL,NULL,NULL,NULL,NULL
028001,2014-05-03 11:00:00,NULL,NULL,NULL,NULL,NULL,NULL
028001,2014-05-03 12:00:00,23,56,,0.563,,
028001,2014-05-03 13:00:00,23,56,,0.563,,
028001,2014-05-03 14:00:00,25,55,10,0.646,148,8
028001,2014-05-03 15:00:00,28,85,10,0.685,164,14
028001,2014-05-03 16:00:00,28,85,10,0.685,164,14
028001,2014-05-03 17:00:00,29,89,11,0.634,140,13
028001,2014-05-03 18:00:00,29,92,9,0.625,129,13
028001,2014-05-03 19:00:00,33,81,13,0.674,118,12
028001,2014-05-03 20:00:00,33,67,9,0.654,114,12
028001,2014-05-03 21:00:00,32,71,11,0.642,106,12
028001,2014-05-03 22:00:00,30,81,9,0.648,115,11
028001,2014-05-03 23:00:00,30,72,11,0.63,114,12
028001,2014-05-04 00:00:00,29,57,9,0.585,118,12
028001,2014-05-04 01:00:00,28,62,8,0.558,123,14
028001,2014-05-04 02:00:00,27,59,8,0.539,125,13
028001,2014-05-04 03:00:00,26,52,8,0.536,126,15
028001,2014-05-04 04:00:00,27,54,8,0.537,122,17
028001,2014-05-04 05:00:00,28,55,12,0.542,113,17
028001,2014-05-04 06:00:00,27,52,8,0.532,119,16
028001,2014-05-04 07:00:00,27,49,11,0.563,113,19
028001,2014-05-04 08:00:00,27,46,17,0.569,112,19
028001,2014-05-04 09:00:00,28,61,20,0.595,104,21
028001,2014-05-04 10:00:00,29,53,16,0.588,106,21
028001,2014-05-04 11:00:00,30,54,16,0.599,105,19
028001,2014-05-04 12:00:00,33,72,19,0.612,101,18
028001,2014-05-04 13:00:00,34,51,17,0.636,99,18
028001,2014-05-04 14:00:00,35,46,14,0.627,109,17
028001,2014-05-04 15:00:00,34,44,16,0.629,104,19
028001,2014-05-04 16:00:00,35,51,23,0.62,92,18
028001,2014-05-04 17:00:00,35,48,25,0.633,88,17
028001,2014-05-04 18:00:00,34,48,26,0.648,87,16
028001,2014-05-04 19:00:00,36,44,24,0.662,82,14
028001,2014-05-04 20:00:00,34,71,21,0.614,80,12
028001,2014-05-04 21:00:00,31,48,25,0.635,70,12
028001,2014-05-04 22:00:00,31,39,21,0.62,73,12
028001,2014-05-04 23:00:00,33,72,33,0.643,51,8
028001,2014-05-05 00:00:00,35,66,37,0.669,33,6
028001,2014-05-05 01:00:00,38,63,39,0.698,23,6
028001,2014-05-05 02:00:00,29,70,17,0.709,62,6
028001,2014-05-05 03:00:00,20,25,10,0.755,84,7
028001,2014-05-05 04:00:00,18,,10,0.747,85,6
028001,2014-05-05 05:00:00,17,,10,0.734,79,7
028001,2014-05-05 06:00:00,16,,11,0.712,77,6
028001,2014-05-05 07:00:00,15,,11,0.687,86,6
028001,2014-05-05 08:00:00,14,,14,0.672,83,4
028001,2014-05-05 09:00:00,13,14,14,0.687,80,5
028001,2014-05-05 10:00:00,13,15,14,0.701,79,6
028001,2014-05-05 11:00:00,13,19,14,0.71,75,5
028001,2014-05-05 12:00:00,13,27,17,0.72,71,5
028001,2014-05-05 13:00:00,14,31,15,0.7,74,5
028001,2014-05-05 14:00:00,14,31,15,0.7,74,5
028001,2014-05-05 15:00:00,15,31,16,0.672,64,5
028001,2014-05-05 16:00:00,15,24,22,0.682,54,7
028001,2014-05-05 17:00:00,14,16,26,0.676,48,6
028001,2014-05-05 18:00:00,14,19,23,0.647,55,6
028001,2014-05-05 19:00:00,13,15,24,0.642,51,5
028001,2014-05-05 20:00:00,12,,28,0.653,44,6
028001,2014-05-05 21:00:00,12,,21,0.622,53,5
028001,2014-05-05 22:00:00,12,12,19,0.629,50,6
028001,2014-05-05 23:00:00,13,17,22,0.627,44,5
028001,2014-05-06 00:00:00,14,27,16,0.602,49,5
028001,2014-05-06 01:00:00,14,21,15,0.594,48,5
028001,2014-05-06 02:00:00,13,19,14,0.598,50,5
028001,2014-05-06 03:00:00,14,14,13,0.59,48,5
028001,2014-05-06 04:00:00,14,17,16,0.596,42,6
028001,2014-05-06 05:00:00,13,21,13,0.598,46,6
028001,2014-05-06 06:00:00,13,,17,0.607,41,6
028001,2014-05-06 07:00:00,13,,21,0.629,34,5
028001,2014-05-06 08:00:00,14,18,34,0.677,27,4
028001,2014-05-06 09:00:00,15,,41,0.787,28,4
028001,2014-05-06 10:00:00,15,36,45,0.752,25,6
028001,2014-05-06 11:00:00,15,32,46,0.775,23,7
028001,2014-05-06 12:00:00,15,24,33,0.686,72,8
028001,2014-05-06 13:00:00,15,29,18,0.641,100,9
028001,2014-05-06 14:00:00,16,28,9,0.591,113,7
028001,2014-05-06 15:00:00,17,28,13,0.605,107,8
028001,2014-05-06 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
028001,2014-05-06 17:00:00,20,44,36,0.763,80,8
028001,2014-05-06 18:00:00,21,40,41,0.723,77,9
028001,2014-05-06 19:00:00,23,42,58,0.78,56,8
028001,2014-05-06 20:00:00,26,45,82,0.923,20,9
028001,2014-05-06 21:00:00,22,37,29,0.699,59,9
028001,2014-05-06 22:00:00,20,,22,0.692,61,9
028001,2014-05-06 23:00:00,18,21,11,0.652,81,9
028001,2014-05-07 00:00:00,17,25,15,0.661,74,8
028001,2014-05-07 01:00:00,17,23,17,0.656,71,11
028001,2014-05-07 02:00:00,17,25,14,0.654,78,10
028001,2014-05-07 03:00:00,18,26,13,0.658,84,10
028001,2014-05-07 04:00:00,18,28,15,0.607,99,11
028001,2014-05-07 05:00:00,20,37,15,0.597,101,11
028001,2014-05-07 06:00:00,20,37,19,0.606,91,12
028001,2014-05-07 07:00:00,21,35,18,0.619,88,9
028001,2014-05-07 08:00:00,22,26,35,0.652,64,7
028001,2014-05-07 09:00:00,24,37,45,0.698,54,8
028001,2014-05-07 10:00:00,21,28,46,0.639,70,11
028001,2014-05-07 11:00:00,22,30,51,0.717,57,11
028001,2014-05-07 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
028001,2014-05-07 13:00:00,24,50,54,0.735,46,13
028001,2014-05-07 14:00:00,22,33,46,0.708,58,14
028001,2014-05-07 15:00:00,21,25,40,0.787,41,11
028001,2014-05-07 16:00:00,18,24,38,0.819,40,13
028001,2014-05-07 17:00:00,18,24,38,0.802,55,14
028001,2014-05-07 18:00:00,19,28,39,0.708,78,15
028001,2014-05-07 19:00:00,17,25,30,0.718,64,13
028001,2014-05-07 20:00:00,16,16,24,0.669,63,13
028001,2014-05-07 21:00:00,16,,34,0.712,49,14
028001,2014-05-07 22:00:00,15,16,32,0.649,51,13
028001,2014-05-07 23:00:00,16,24,28,0.657,49,14
028001,2014-05-08 00:00:00,16,16,26,0.616,51,15
028001,2014-05-08 01:00:00,15,31,44,0.631,33,15
028001,2014-05-08 02:00:00,16,32,45,0.657,26,15
028001,2014-05-08 03:00:00,17,41,52,0.661,16,17
028001,2014-05-08 04:00:00,19,42,49,0.703,12,16
028001,2014-05-08 05:00:00,24,46,49,0.867,4,17
028001,2014-05-08 06:00:00,28,52,47,0.95,4,16
028001,2014-05-08 07:00:00,32,54,42,1.093,8,18
028001,2014-05-08 08:00:00,28,40,41,0.915,26,15
028001,2014-05-08 09:00:00,19,21,23,0.635,57,9
028001,2014-05-08 10:00:00,17,23,18,0.609,68,9
028001,2014-05-08 11:00:00,16,19,19,0.606,65,8
028001,2014-05-08 12:00:00,16,26,18,0.601,70,8
028001,2014-05-08 13:00:00,15,26,13,0.592,73,8
028001,2014-05-08 14:00:00,14,20,11,0.592,77,9
028001,2014-05-08 15:00:00,14,29,18,0.605,77,8
028001,2014-05-08 16:00:00,14,31,19,0.613,67,10
028001,2014-05-08 17:00:00,13,32,22,0.636,63,9
028001,2014-05-08 18:00:00,13,13,19,0.632,69,10
028001,2014-05-08 19:00:00,14,23,15,0.586,75,9
028001,2014-05-08 20:00:00,14,16,10,0.545,85,9
028001,2014-05-08 21:00:00,13,19,16,0.546,79,7
028001,2014-05-08 22:00:00,13,,17,0.529,75,8
028001,2014-05-08 23:00:00,13,,13,0.527,79,8
028001,2014-05-09 00:00:00,12,,8,0.457,90,7
028001,2014-05-09 01:00:00,12,,14,0.43,88,7
028001,2014-05-09 02:00:00,12,14,12,0.423,90,10
028001,2014-05-09 03:00:00,12,12,9,0.42,91,10
028001,2014-05-09 04:00:00,12,13,11,0.433,89,9
028001,2014-05-09 05:00:00,12,,10,0.427,85,9
