sid,time,pm25,pm10,no2,co,o3,so2
029001,2014-05-01 00:00:00,35,58,37,1.249,6,14
029001,2014-05-01 01:00:00,33,,34,1.253,7,16
029001,2014-05-01 02:00:00,30,,34,1.257,5,14
029001,2014-05-01 03:00:00,27,34,33,1.23,6,13
029001,2014-05-01 04:00:00,28,40,31,1.228,6,13
029001,2014-05-01 05:00:00,40,44,30,1.19,6,14
029001,2014-05-01 06:00:00,50,51,30,1.237,6,16
029001,2014-05-01 07:00:00,45,59,27,1.147,6,14
029001,2014-05-01 08:00:00,30,49,23,1.081,7,13
029001,2014-05-01 09:00:00,26,33,21,1.018,9,11
029001,2014-05-01 10:00:00,27,33,22,1.035,11,10
029001,2014-05-01 11:00:00,30,36,24,1.091,10,11
029001,2014-05-01 12:00:00,35,42,25,1.132,11,13
029001,2014-05-01 13:00:00,33,41,25,1.187,15,12
029001,2014-05-01 14:00:00,35,43,29,1.18,17,13
029001,2014-05-01 15:00:00,43,44,34,1.247,17,13
029001,2014-05-01 16:00:00,50,61,36,1.278,18,13
029001,2014-05-01 17:00:00,52,69,40,1.281,17,12
029001,2014-05-01 18:00:00,52,74,45,1.368,13,12
029001,2014-05-01 19:00:00,54,72,48,1.384,11,12
029001,2014-05-01 20:00:00,45,73,48,1.418,9,12
029001,2014-05-01 21:00:00,47,70,46,1.566,8,10
029001,2014-05-01 22:00:00,48,88,43,1.8,8,11
029001,2014-05-01 23:00:00,46,66,38,1.954,9,13
029001,2014-05-02 00:00:00,46,81,32,2.133,9,14
029001,2014-05-02 01:00:00,47,78,33,1.754,9,15
029001,2014-05-02 02:00:00,49,76,33,1.673,9,18
029001,2014-05-02 03:00:00,47,71,32,1.577,8,19
029001,2014-05-02 04:00:00,46,67,32,1.508,9,18
029001,2014-05-02 05:00:00,41,62,28,1.496,7,15
029001,2014-05-02 06:00:00,37,62,27,1.441,7,15
029001,2014-05-02 07:00:00,32,55,23,1.332,7,15
029001,2014-05-02 08:00:00,31,55,21,1.373,8,14
029001,2014-05-02 09:00:00,34,57,21,1.473,10,16
029001,2014-05-02 10:00:00,37,74,25,1.429,13,27
029001,2014-05-02 11:00:00,33,53,27,1.302,21,30
029001,2014-05-02 12:00:00,33,53,27,1.302,21,30
029001,2014-05-02 13:00:00,32,37,29,1.136,23,27
029001,2014-05-02 14:00:00,28,49,25,1.217,35,20
029001,2014-05-02 15:00:00,28,49,25,1.217,35,20
029001,2014-05-02 16:00:00,36,45,25,1.22,44,19
029001,2014-05-02 17:00:00,47,72,25,1.173,81,19
029001,2014-05-02 18:00:00,50,82,28,1.241,80,24
029001,2014-05-02 19:00:00,52,82,32,1.371,71,32
029001,2014-05-02 20:00:00,57,106,38,1.904,44,30
029001,2014-05-02 21:00:00,65,120,52,2.543,25,26
029001,2014-05-02 22:00:00,31,95,32,1.371,30,25
029001,2014-05-02 23:00:00,26,35,28,1.24,26,22
029001,2014-05-03 00:00:00,32,37,26,1.217,25,22
029001,2014-05-03 01:00:00,37,50,25,1.169,21,21
029001,2014-05-03 02:00:00,39,52,26,1.201,15,21
029001,2014-05-03 03:00:00,38,48,26,1.304,12,20
029001,2014-05-03 04:00:00,37,58,28,1.356,8,18
