sid,time,pm25,pm10,no2,co,o3,so2
030002,2014-05-01 00:00:00,73,84,17,1.032,78,20
030002,2014-05-01 01:00:00,68,91,11,0.989,89,21
030002,2014-05-01 02:00:00,59,64,9,0.925,81,19
030002,2014-05-01 03:00:00,57,,8,0.879,77,19
030002,2014-05-01 04:00:00,46,,6,0.726,74,21
030002,2014-05-01 05:00:00,49,,6,0.766,66,16
030002,2014-05-01 06:00:00,48,,8,0.809,58,18
030002,2014-05-01 07:00:00,42,,7,0.849,57,16
030002,2014-05-01 08:00:00,35,39,10,0.922,55,16
030002,2014-05-01 09:00:00,31,37,16,1.092,50,16
030002,2014-05-01 10:00:00,30,38,18,1.105,43,15
030002,2014-05-01 11:00:00,27,37,15,1.088,52,11
030002,2014-05-01 12:00:00,18,30,14,1.069,60,14
030002,2014-05-01 13:00:00,28,32,20,1.284,53,21
030002,2014-05-01 14:00:00,25,43,13,1.214,62,19
030002,2014-05-01 15:00:00,24,28,9,0.993,79,20
030002,2014-05-01 16:00:00,21,28,6,0.998,90,16
030002,2014-05-01 17:00:00,21,23,7,1.087,80,19
030002,2014-05-01 18:00:00,21,,9,1.07,84,32
030002,2014-05-01 19:00:00,21,24,11,1.191,80,34
030002,2014-05-01 20:00:00,21,24,11,1.191,80,34
030002,2014-05-01 21:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-01 22:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-01 23:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-02 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-02 01:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-02 02:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-02 03:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-02 04:00:00,44,58,,1.108,21,30
030002,2014-05-02 05:00:00,44,58,13,1.131,25,26
030002,2014-05-02 06:00:00,50,66,19,1.307,12,35
030002,2014-05-02 07:00:00,47,79,19,1.27,19,53
030002,2014-05-02 08:00:00,43,75,14,1.317,27,55
030002,2014-05-02 09:00:00,45,93,15,1.371,39,53
030002,2014-05-02 10:00:00,49,75,12,1.269,57,49
030002,2014-05-02 11:00:00,34,62,8,1.018,80,34
030002,2014-05-02 12:00:00,34,62,8,1.018,80,34
030002,2014-05-02 13:00:00,32,60,9,0.98,100,33
030002,2014-05-02 14:00:00,22,110,5,0.843,140,22
030002,2014-05-02 15:00:00,22,110,5,0.843,140,22
030002,2014-05-02 16:00:00,25,34,5,0.893,145,22
030002,2014-05-02 17:00:00,29,51,4,0.891,150,23
030002,2014-05-02 18:00:00,29,51,4,0.891,150,23
030002,2014-05-02 19:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-02 20:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-02 21:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-02 22:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-02 23:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-03 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-03 01:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-03 02:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-03 03:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-03 04:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-03 05:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-03 06:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-03 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-03 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL
030002,2014-05-03 09:00:00,97,140,24,1.953,72,62
030002,2014-05-03 10:00:00,66,133,11,1.339,129,58
030002,2014-05-03 11:00:00,47,100,6,0.937,155,36
030002,2014-05-03 12:00:00,47,88,6,0.997,176,33
030002,2014-05-03 13:00:00,47,88,6,0.997,176,33
030002,2014-05-03 14:00:00,32,73,4,0.761,159,23
030002,2014-05-03 15:00:00,34,52,2,0.715,151,17
030002,2014-05-03 16:00:00,34,52,2,0.715,151,17
030002,2014-05-03 17:00:00,37,54,4,0.815,142,18
030002,2014-05-03 18:00:00,32,63,4,0.788,135,17
030002,2014-05-03 19:00:00,32,47,9,0.988,118,24
030002,2014-05-03 20:00:00,37,63,7,0.932,113,17
030002,2014-05-03 21:00:00,39,61,7,0.886,115,25
030002,2014-05-03 22:00:00,42,63,7,0.811,114,25
030002,2014-05-03 23:00:00,38,61,4,0.705,118,20
030002,2014-05-04 00:00:00,33,60,1,0.605,126,15
030002,2014-05-04 01:00:00,33,57,3,0.604,122,20
030002,2014-05-04 02:00:00,34,59,2,0.586,113,20
030002,2014-05-04 03:00:00,34,55,3,0.574,112,20
030002,2014-05-04 04:00:00,39,63,3,0.723,102,26
030002,2014-05-04 05:00:00,41,66,3,0.762,104,25
030002,2014-05-04 06:00:00,40,57,4,0.64,101,30
030002,2014-05-04 07:00:00,49,73,7,0.729,90,27
030002,2014-05-04 08:00:00,40,62,3,0.744,114,20
030002,2014-05-04 09:00:00,42,58,7,0.839,108,21
030002,2014-05-04 10:00:00,42,75,7,0.827,114,26
030002,2014-05-04 11:00:00,44,77,6,0.847,114,22
030002,2014-05-04 12:00:00,46,85,5,0.783,116,22
030002,2014-05-04 13:00:00,49,91,5,0.812,116,21
030002,2014-05-04 14:00:00,53,82,7,0.934,117,23
030002,2014-05-04 15:00:00,59,93,8,0.904,116,17
030002,2014-05-04 16:00:00,66,84,11,1.001,113,16
030002,2014-05-04 17:00:00,71,91,11,1.048,111,17
030002,2014-05-04 18:00:00,68,75,8,1.014,112,14
030002,2014-05-04 19:00:00,73,88,12,1.206,96,15
030002,2014-05-04 20:00:00,94,117,27,1.537,58,22
030002,2014-05-04 21:00:00,94,127,21,1.382,56,25
030002,2014-05-04 22:00:00,90,120,16,1.37,54,25
030002,2014-05-04 23:00:00,80,120,15,1.263,56,29
030002,2014-05-05 00:00:00,77,137,15,1.249,49,27
030002,2014-05-05 01:00:00,60,98,11,1.057,51,17
030002,2014-05-05 02:00:00,29,60,6,0.855,58,14
