sid,time,pm25,pm10,no2,co,o3,so2
031001,2014-05-01 00:00:00,32,39,7,0.833,31,30
031001,2014-05-01 01:00:00,40,50,9,0.902,24,35
031001,2014-05-01 02:00:00,38,54,12,0.906,14,45
031001,2014-05-01 03:00:00,42,62,18,1.023,7,59
031001,2014-05-01 04:00:00,44,76,17,0.999,16,44
031001,2014-05-01 05:00:00,51,70,7,0.909,28,28
031001,2014-05-01 06:00:00,49,61,13,0.949,6,62
031001,2014-05-01 07:00:00,44,59,13,0.952,6,55
031001,2014-05-01 08:00:00,38,57,10,0.99,14,52
031001,2014-05-01 09:00:00,45,69,15,1.017,20,65
031001,2014-05-01 10:00:00,61,90,24,1.036,17,68
031001,2014-05-01 11:00:00,58,88,21,0.993,49,52
031001,2014-05-01 12:00:00,54,90,29,1.119,52,45
031001,2014-05-01 13:00:00,67,107,13,0.963,49,33
031001,2014-05-01 14:00:00,52,86,4,0.826,39,22
031001,2014-05-01 15:00:00,42,46,3,0.834,54,32
031001,2014-05-01 16:00:00,39,40,4,0.755,52,23
031001,2014-05-01 17:00:00,25,27,6,0.769,69,26
031001,2014-05-01 18:00:00,26,31,3,0.746,66,19
031001,2014-05-01 19:00:00,24,34,13,0.84,51,25
031001,2014-05-01 20:00:00,42,,28,0.952,55,24
031001,2014-05-01 21:00:00,44,46,32,1.088,49,51
031001,2014-05-01 22:00:00,54,60,36,0.96,63,32
031001,2014-05-01 23:00:00,56,67,42,0.975,33,59
031001,2014-05-02 00:00:00,56,64,27,0.961,36,51
031001,2014-05-02 01:00:00,53,57,11,0.898,61,38
031001,2014-05-02 02:00:00,51,59,7,0.864,60,31
031001,2014-05-02 03:00:00,53,61,6,0.847,63,31
031001,2014-05-02 04:00:00,58,61,5,0.841,56,27
031001,2014-05-02 05:00:00,51,61,7,0.826,55,33
031001,2014-05-02 06:00:00,56,69,8,0.882,53,37
031001,2014-05-02 07:00:00,64,70,9,0.914,50,39
031001,2014-05-02 08:00:00,63,,6,0.912,54,22
031001,2014-05-02 09:00:00,58,,5,0.828,65,29
031001,2014-05-02 10:00:00,40,42,7,0.767,77,35
031001,2014-05-02 11:00:00,33,33,13,0.748,74,47
031001,2014-05-02 12:00:00,33,33,13,0.748,74,47
031001,2014-05-02 13:00:00,33,35,7,0.722,84,25
031001,2014-05-02 14:00:00,23,31,8,0.661,95,52
031001,2014-05-02 15:00:00,23,31,8,0.661,95,52
031001,2014-05-02 16:00:00,26,27,13,0.634,93,42
031001,2014-05-02 17:00:00,28,35,31,0.604,71,40
031001,2014-05-02 18:00:00,26,36,30,0.668,78,50
031001,2014-05-02 19:00:00,36,40,35,0.753,67,41
031001,2014-05-02 20:00:00,40,51,42,0.801,57,43
031001,2014-05-02 21:00:00,56,61,15,0.788,84,127
031001,2014-05-02 22:00:00,60,64,19,0.831,71,126
031001,2014-05-02 23:00:00,59,66,58,0.863,24,46
031001,2014-05-03 00:00:00,65,73,30,0.893,52,71
031001,2014-05-03 01:00:00,67,75,14,0.942,61,65
031001,2014-05-03 02:00:00,65,72,21,0.912,62,154
031001,2014-05-03 03:00:00,66,71,17,0.999,47,52
031001,2014-05-03 04:00:00,74,88,20,1.106,18,70
031001,2014-05-03 05:00:00,78,99,21,1.036,9,77
031001,2014-05-03 06:00:00,72,81,22,0.961,3,63
031001,2014-05-03 07:00:00,54,80,29,1.175,6,56
031001,2014-05-03 08:00:00,71,88,12,0.87,75,43
031001,2014-05-03 09:00:00,46,75,7,0.91,92,31
031001,2014-05-03 10:00:00,53,61,6,0.756,103,63
031001,2014-05-03 11:00:00,45,49,8,0.738,107,54
031001,2014-05-03 12:00:00,34,41,16,0.625,87,40
031001,2014-05-03 13:00:00,34,41,16,0.625,87,40
031001,2014-05-03 14:00:00,26,38,17,0.607,95,40
031001,2014-05-03 15:00:00,17,37,14,0.612,115,20
031001,2014-05-03 16:00:00,17,37,14,0.612,115,20
031001,2014-05-03 17:00:00,23,86,12,0.675,133,32
031001,2014-05-03 18:00:00,25,111,7,0.662,116,27
031001,2014-05-03 19:00:00,23,47,11,0.649,91,19
031001,2014-05-03 20:00:00,21,49,15,0.657,87,28
031001,2014-05-03 21:00:00,27,43,10,0.647,92,14
031001,2014-05-03 22:00:00,24,34,14,0.631,81,16
031001,2014-05-03 23:00:00,25,27,12,0.613,78,17
031001,2014-05-04 00:00:00,29,31,25,0.598,56,27
031001,2014-05-04 01:00:00,28,35,47,0.595,34,48
031001,2014-05-04 02:00:00,30,37,40,0.572,44,49
031001,2014-05-04 03:00:00,23,31,51,0.573,24,48
031001,2014-05-04 04:00:00,28,,34,0.564,44,38
031001,2014-05-04 05:00:00,28,31,36,0.574,31,30
031001,2014-05-04 06:00:00,22,28,8,0.575,63,29
031001,2014-05-04 07:00:00,19,,12,0.631,53,33
031001,2014-05-04 08:00:00,26,,8,0.726,60,21
031001,2014-05-04 09:00:00,24,27,9,0.784,64,17
031001,2014-05-04 10:00:00,27,36,8,0.636,66,16
031001,2014-05-04 11:00:00,25,30,7,0.566,71,19
031001,2014-05-04 12:00:00,26,39,4,0.609,71,14
031001,2014-05-04 13:00:00,12,46,3,0.575,63,17
031001,2014-05-04 14:00:00,17,20,3,0.566,65,16
031001,2014-05-04 15:00:00,14,16,2,0.598,74,15
031001,2014-05-04 16:00:00,15,19,3,0.57,56,15
031001,2014-05-04 17:00:00,17,22,2,0.474,57,14
031001,2014-05-04 18:00:00,12,17,4,0.518,63,16
031001,2014-05-04 19:00:00,14,16,3,0.501,57,13
031001,2014-05-04 20:00:00,12,19,7,0.528,47,15
031001,2014-05-04 21:00:00,17,30,11,0.622,42,18
031001,2014-05-04 22:00:00,33,40,10,0.607,41,13
031001,2014-05-04 23:00:00,24,34,4,0.584,65,17
031001,2014-05-05 00:00:00,15,,1,0.54,73,20
031001,2014-05-05 01:00:00,9,,2,0.609,62,27
031001,2014-05-05 02:00:00,10,,2,0.638,58,28
031001,2014-05-05 03:00:00,11,,3,0.685,54,32
031001,2014-05-05 04:00:00,8,10,2,0.691,57,25
031001,2014-05-05 05:00:00,9,14,2,0.701,55,25
031001,2014-05-05 06:00:00,8,14,3,0.736,53,35
031001,2014-05-05 07:00:00,10,17,4,0.787,51,40
031001,2014-05-05 08:00:00,15,17,3,0.767,53,23
031001,2014-05-05 09:00:00,9,17,6,0.79,54,31
031001,2014-05-05 10:00:00,8,22,7,0.788,61,30
031001,2014-05-05 11:00:00,13,24,4,0.756,77,22
031001,2014-05-05 12:00:00,16,19,3,0.767,84,24
031001,2014-05-05 13:00:00,10,20,3,0.779,89,25
031001,2014-05-05 14:00:00,NULL,NULL,NULL,NULL,NULL,NULL
031001,2014-05-05 15:00:00,11,17,8,0.757,68,17
031001,2014-05-05 16:00:00,8,22,6,0.731,68,17
031001,2014-05-05 17:00:00,10,25,5,0.727,71,19
031001,2014-05-05 18:00:00,12,24,8,0.747,67,28
031001,2014-05-05 19:00:00,20,26,10,0.748,61,23
031001,2014-05-05 20:00:00,12,28,10,0.783,58,25
031001,2014-05-05 21:00:00,16,29,11,0.811,49,40
031001,2014-05-05 22:00:00,17,31,9,0.816,46,40
031001,2014-05-05 23:00:00,19,31,10,0.833,42,45
031001,2014-05-06 00:00:00,20,26,7,0.794,46,30
031001,2014-05-06 01:00:00,19,19,7,0.764,43,26
031001,2014-05-06 02:00:00,13,15,6,0.753,43,33
031001,2014-05-06 03:00:00,15,16,6,0.731,39,29
031001,2014-05-06 04:00:00,14,,6,0.739,36,28
031001,2014-05-06 05:00:00,23,,6,0.756,34,34
031001,2014-05-06 06:00:00,19,20,6,0.745,32,40
031001,2014-05-06 07:00:00,20,,8,0.783,29,34
031001,2014-05-06 08:00:00,28,,7,0.783,33,37
031001,2014-05-06 09:00:00,29,,9,0.791,31,31
031001,2014-05-06 10:00:00,28,28,24,1.06,17,28
031001,2014-05-06 11:00:00,33,37,12,0.875,30,28
031001,2014-05-06 12:00:00,31,,6,0.797,50,29
031001,2014-05-06 13:00:00,21,24,4,0.777,52,38
031001,2014-05-06 14:00:00,17,20,5,0.784,55,33
031001,2014-05-06 15:00:00,23,,6,0.82,51,31
031001,2014-05-06 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
031001,2014-05-06 17:00:00,27,,7,0.796,48,23
031001,2014-05-06 18:00:00,26,,8,0.824,49,27
031001,2014-05-06 19:00:00,28,,14,0.909,50,23
031001,2014-05-06 20:00:00,28,,11,0.865,58,18
031001,2014-05-06 21:00:00,22,,7,0.822,65,14
031001,2014-05-06 22:00:00,17,,28,0.895,37,20
031001,2014-05-06 23:00:00,26,,36,0.954,22,25
031001,2014-05-07 00:00:00,25,,33,1.002,24,29
031001,2014-05-07 01:00:00,24,24,28,1.022,34,36
031001,2014-05-07 02:00:00,22,25,6,0.832,59,16
031001,2014-05-07 03:00:00,23,23,9,0.837,55,19
031001,2014-05-07 04:00:00,25,26,11,0.859,49,25
031001,2014-05-07 05:00:00,33,35,9,0.986,38,55
031001,2014-05-07 06:00:00,41,46,10,0.975,25,48
031001,2014-05-07 07:00:00,42,,8,0.883,25,34
031001,2014-05-07 08:00:00,41,,10,0.974,23,45
031001,2014-05-07 09:00:00,33,42,10,0.978,25,43
031001,2014-05-07 10:00:00,40,42,15,1.038,29,52
031001,2014-05-07 11:00:00,46,,12,0.988,40,48
031001,2014-05-07 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
031001,2014-05-07 13:00:00,38,38,11,0.955,55,49
031001,2014-05-07 14:00:00,38,41,13,0.976,60,44
031001,2014-05-07 15:00:00,41,50,11,0.995,53,40
031001,2014-05-07 16:00:00,40,44,14,0.924,64,20
031001,2014-05-07 17:00:00,31,34,10,0.84,70,17
031001,2014-05-07 18:00:00,24,34,10,0.846,63,15
031001,2014-05-07 19:00:00,21,28,9,0.878,60,15
031001,2014-05-07 20:00:00,28,28,12,0.979,37,24
031001,2014-05-07 21:00:00,32,35,9,0.863,52,16
031001,2014-05-07 22:00:00,23,29,11,0.941,50,14
031001,2014-05-07 23:00:00,28,,12,0.935,48,16
031001,2014-05-08 00:00:00,28,,16,0.925,38,24
031001,2014-05-08 01:00:00,33,,29,0.999,24,25
031001,2014-05-08 02:00:00,45,,28,1.007,22,44
031001,2014-05-08 03:00:00,35,35,18,1.006,31,38
031001,2014-05-08 04:00:00,33,,9,0.955,43,25
031001,2014-05-08 05:00:00,30,,8,0.924,37,20
031001,2014-05-08 06:00:00,26,,14,0.986,20,44
031001,2014-05-08 07:00:00,38,39,20,1.272,8,89
031001,2014-05-08 08:00:00,45,54,25,1.342,20,29
031001,2014-05-08 09:00:00,34,42,18,1.355,32,27
031001,2014-05-08 10:00:00,29,35,23,1.208,31,23
031001,2014-05-08 11:00:00,34,39,18,1.093,48,22
031001,2014-05-08 12:00:00,36,37,12,1.018,59,16
031001,2014-05-08 13:00:00,36,38,13,0.893,60,26
031001,2014-05-08 14:00:00,37,45,7,0.74,74,23
031001,2014-05-08 15:00:00,26,34,7,0.745,71,17
031001,2014-05-08 16:00:00,21,25,9,0.695,70,16
031001,2014-05-08 17:00:00,19,29,7,0.712,67,14
031001,2014-05-08 18:00:00,29,,7,0.746,68,13
031001,2014-05-08 19:00:00,29,,5,0.682,64,12
031001,2014-05-08 20:00:00,14,17,4,0.627,52,12
031001,2014-05-08 21:00:00,13,,14,0.741,32,28
031001,2014-05-08 22:00:00,22,,15,0.787,32,18
031001,2014-05-08 23:00:00,18,25,12,0.72,36,17
031001,2014-05-09 00:00:00,14,24,13,0.669,28,17
031001,2014-05-09 01:00:00,10,18,20,0.887,20,15
031001,2014-05-09 02:00:00,8,19,4,0.66,47,15
031001,2014-05-09 03:00:00,10,12,2,0.629,45,14
031001,2014-05-09 04:00:00,9,11,3,0.641,39,15
031001,2014-05-09 05:00:00,11,11,8,0.717,24,16
031001,2014-05-09 06:00:00,12,20,19,0.802,5,23
031001,2014-05-09 07:00:00,23,30,20,0.953,2,18
031001,2014-05-09 08:00:00,25,36,17,1.185,12,19
031001,2014-05-09 09:00:00,35,41,21,0.85,35,29
031001,2014-05-09 10:00:00,28,,21,1.077,63,28
031001,2014-05-09 11:00:00,30,38,13,0.934,82,33
031001,2014-05-09 12:00:00,26,45,8,0.847,110,20
