sid,time,pm25,pm10,no2,co,o3,so2
032001,2014-05-01 00:00:00,15,19,46,0.94,9,7
032001,2014-05-01 01:00:00,17,20,21,0.864,28,10
032001,2014-05-01 02:00:00,18,,25,0.854,21,8
032001,2014-05-01 03:00:00,18,22,25,0.868,19,8
032001,2014-05-01 04:00:00,16,22,28,0.883,4,8
032001,2014-05-01 05:00:00,16,27,17,0.773,21,282
032001,2014-05-01 06:00:00,15,20,10,0.778,20,10
032001,2014-05-01 07:00:00,19,24,23,5.171,25,16
032001,2014-05-01 08:00:00,21,35,28,0.97,24,16
032001,2014-05-01 09:00:00,18,26,22,0.933,32,15
032001,2014-05-01 10:00:00,16,26,16,0.931,37,8
032001,2014-05-01 11:00:00,12,18,19,0.888,36,7
032001,2014-05-01 12:00:00,10,10,13,0.774,47,7
032001,2014-05-01 13:00:00,9,12,9,0.75,70,7
032001,2014-05-01 14:00:00,12,22,16,0.793,66,9
032001,2014-05-01 15:00:00,13,19,13,0.772,76,9
032001,2014-05-01 16:00:00,11,19,11,0.762,78,8
032001,2014-05-01 17:00:00,10,30,12,0.764,70,10
032001,2014-05-01 18:00:00,10,25,14,0.768,68,8
032001,2014-05-01 19:00:00,11,22,9,0.773,67,9
032001,2014-05-01 20:00:00,11,25,13,0.807,59,9
032001,2014-05-01 21:00:00,12,33,17,0.85,37,12
032001,2014-05-01 22:00:00,11,34,20,0.9,30,13
032001,2014-05-01 23:00:00,13,41,26,0.932,20,11
032001,2014-05-02 00:00:00,18,50,24,1.012,6,8
032001,2014-05-02 01:00:00,14,40,21,0.935,5,7
032001,2014-05-02 02:00:00,11,70,17,0.86,14,7
032001,2014-05-02 03:00:00,12,61,13,0.8,29,12
032001,2014-05-02 04:00:00,15,24,6,0.747,47,18
032001,2014-05-02 05:00:00,17,19,6,0.727,48,12
032001,2014-05-02 06:00:00,13,31,8,0.739,44,13
032001,2014-05-02 07:00:00,14,28,10,0.789,43,14
032001,2014-05-02 08:00:00,14,34,10,0.802,53,19
032001,2014-05-02 09:00:00,14,40,14,0.769,65,20
032001,2014-05-02 10:00:00,14,39,11,0.772,75,13
032001,2014-05-02 11:00:00,13,28,15,0.797,82,12
032001,2014-05-02 12:00:00,13,28,15,0.797,82,12
032001,2014-05-02 13:00:00,11,24,12,0.77,103,11
032001,2014-05-02 14:00:00,12,25,8,0.734,138,8
032001,2014-05-02 15:00:00,12,25,8,0.734,138,8
032001,2014-05-02 16:00:00,13,32,10,0.79,142,8
032001,2014-05-02 17:00:00,15,62,11,0.73,144,8
032001,2014-05-02 18:00:00,16,57,12,0.754,136,9
032001,2014-05-02 19:00:00,22,56,17,0.885,107,10
032001,2014-05-02 20:00:00,27,63,32,0.932,74,8
032001,2014-05-02 21:00:00,24,52,33,0.896,53,8
