sid,time,pm25,pm10,no2,co,o3,so2
014001,2014-05-01 00:00:00,92,88,93,0.988,16,54
014001,2014-05-01 01:00:00,87,87,86,2.037,13,69
014001,2014-05-01 02:00:00,95,109,82,3.038,15,98
014001,2014-05-01 03:00:00,94,97,83,3.442,10,104
014001,2014-05-01 04:00:00,112,,81,3.009,13,100
014001,2014-05-01 05:00:00,103,,82,2.663,10,86
014001,2014-05-01 06:00:00,111,119,87,3.054,9,120
014001,2014-05-01 07:00:00,131,,89,4.381,6,146
014001,2014-05-01 08:00:00,139,,95,4.524,7,208
014001,2014-05-01 09:00:00,133,322,98,4.24,7,175
014001,2014-05-01 10:00:00,135,,92,3.821,40,167
014001,2014-05-01 11:00:00,161,,106,2.804,14,136
014001,2014-05-01 12:00:00,109,,106,2.19,21,104
014001,2014-05-01 13:00:00,100,,98,1.039,24,61
014001,2014-05-01 14:00:00,90,,93,0.905,37,48
014001,2014-05-01 15:00:00,88,,85,0.804,46,45
014001,2014-05-01 16:00:00,88,92,87,0.952,42,46
014001,2014-05-01 17:00:00,103,,88,0.993,52,48
014001,2014-05-01 18:00:00,103,103,87,1.502,60,58
014001,2014-05-01 19:00:00,127,,94,1.057,32,63
014001,2014-05-01 20:00:00,107,,98,0.947,29,73
014001,2014-05-01 21:00:00,99,,99,1.055,26,81
014001,2014-05-01 22:00:00,99,,100,0.836,20,49
014001,2014-05-01 23:00:00,75,,92,0.679,24,32
014001,2014-05-02 00:00:00,71,,87,0.671,21,24
014001,2014-05-02 01:00:00,71,,89,0.766,17,23
014001,2014-05-02 02:00:00,68,,92,0.632,18,30
014001,2014-05-02 03:00:00,64,,89,0.391,19,22
014001,2014-05-02 04:00:00,46,,79,0.356,25,16
014001,2014-05-02 05:00:00,41,,75,0.308,20,17
014001,2014-05-02 06:00:00,37,,83,0.263,8,20
014001,2014-05-02 07:00:00,30,,82,0.288,10,25
014001,2014-05-02 08:00:00,24,,74,0.281,14,16
014001,2014-05-02 09:00:00,21,,71,0.318,10,16
014001,2014-05-02 10:00:00,22,,69,0.265,12,18
014001,2014-05-02 11:00:00,16,,63,0.262,16,15
014001,2014-05-02 12:00:00,21,1,62,0.262,16,21
014001,2014-05-02 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
014001,2014-05-02 14:00:00,15,,61,0.224,22,11
014001,2014-05-02 15:00:00,NULL,NULL,NULL,NULL,NULL,NULL
014001,2014-05-02 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
014001,2014-05-02 17:00:00,14,,71,0.316,12,16
014001,2014-05-02 18:00:00,19,43,72,0.439,13,18
014001,2014-05-02 19:00:00,26,34,76,0.451,14,17
014001,2014-05-02 20:00:00,25,,75,0.538,14,11
014001,2014-05-02 21:00:00,26,,75,0.399,14,12
014001,2014-05-02 22:00:00,23,,76,0.476,14,11
014001,2014-05-02 23:00:00,22,,79,0.532,10,11
014001,2014-05-03 00:00:00,24,,82,0.586,7,9
014001,2014-05-03 01:00:00,30,,78,0.546,10,8
014001,2014-05-03 02:00:00,27,,84,0.591,4,9
014001,2014-05-03 03:00:00,29,,84,0.562,3,10
014001,2014-05-03 04:00:00,30,,78,0.575,3,14
014001,2014-05-03 05:00:00,30,,77,0.738,3,19
014001,2014-05-03 06:00:00,37,,70,1.021,3,28
014001,2014-05-03 07:00:00,45,,67,1.847,3,50
014001,2014-05-03 08:00:00,54,,76,2.449,4,93
014001,2014-05-03 09:00:00,59,62,85,3.224,5,146
014001,2014-05-03 10:00:00,66,,90,2.009,5,94
014001,2014-05-03 11:00:00,62,,89,0.792,7,49
014001,2014-05-03 12:00:00,52,,84,0.525,10,44
014001,2014-05-03 13:00:00,50,33,82,0.524,10,44
014001,2014-05-03 14:00:00,45,28,83,0.448,13,35
014001,2014-05-03 15:00:00,36,,76,0.368,22,23
014001,2014-05-03 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
014001,2014-05-03 17:00:00,36,,79,0.603,28,25
014001,2014-05-03 18:00:00,43,,80,0.456,25,23
014001,2014-05-03 19:00:00,38,,63,0.373,34,18
014001,2014-05-03 20:00:00,34,,75,0.486,21,20
014001,2014-05-03 21:00:00,34,,83,0.651,13,26
014001,2014-05-03 22:00:00,37,,88,1.153,7,45
014001,2014-05-03 23:00:00,43,,88,0.419,8,19
014001,2014-05-04 00:00:00,44,,82,0.278,9,13
014001,2014-05-04 01:00:00,42,,77,0.255,10,11
014001,2014-05-04 02:00:00,36,,71,0.199,13,7
014001,2014-05-04 03:00:00,37,,68,0.232,14,9
014001,2014-05-04 04:00:00,29,,66,0.213,16,7
014001,2014-05-04 05:00:00,25,,64,0.21,17,7
014001,2014-05-04 06:00:00,26,,62,0.353,16,10
014001,2014-05-04 07:00:00,24,,62,0.376,15,18
014001,2014-05-04 08:00:00,23,,68,0.44,12,21
014001,2014-05-04 09:00:00,26,,64,0.357,21,17
014001,2014-05-04 10:00:00,26,,64,0.365,19,19
014001,2014-05-04 11:00:00,24,29,64,0.289,22,21
014001,2014-05-04 12:00:00,24,28,64,0.307,23,17
014001,2014-05-04 13:00:00,23,25,68,0.278,24,17
014001,2014-05-04 14:00:00,19,33,63,0.215,26,12
014001,2014-05-04 15:00:00,25,33,67,0.305,20,13
014001,2014-05-04 16:00:00,16,21,76,0.288,16,12
014001,2014-05-04 17:00:00,14,19,80,0.311,13,14
014001,2014-05-04 18:00:00,20,22,84,0.362,12,16
014001,2014-05-04 19:00:00,14,24,85,0.478,12,19
014001,2014-05-04 20:00:00,19,26,88,0.393,12,21
014001,2014-05-04 21:00:00,21,38,73,0.294,21,14
014001,2014-05-04 22:00:00,27,,70,0.266,17,9
014001,2014-05-04 23:00:00,23,,68,0.251,19,8
014001,2014-05-05 00:00:00,17,,68,0.254,18,8
014001,2014-05-05 01:00:00,17,,68,0.247,17,8
014001,2014-05-05 02:00:00,15,,74,0.367,10,9
014001,2014-05-05 03:00:00,18,,88,0.5,3,12
014001,2014-05-05 04:00:00,27,,84,0.553,3,14
014001,2014-05-05 05:00:00,35,,83,0.51,3,14
014001,2014-05-05 06:00:00,34,,80,0.546,3,27
014001,2014-05-05 07:00:00,31,,76,0.382,9,26
014001,2014-05-05 08:00:00,25,,66,0.361,15,20
014001,2014-05-05 09:00:00,19,,63,0.372,17,24
014001,2014-05-05 10:00:00,19,,61,0.342,20,17
014001,2014-05-05 11:00:00,17,,60,0.336,22,25
014001,2014-05-05 12:00:00,14,16,58,0.284,25,10
014001,2014-05-05 13:00:00,14,17,61,0.257,23,11
014001,2014-05-05 14:00:00,14,20,59,0.257,23,11
014001,2014-05-05 15:00:00,15,20,37,0.276,37,16
014001,2014-05-05 16:00:00,18,20,45,0.324,42,19
014001,2014-05-05 17:00:00,18,18,78,0.31,39,15
014001,2014-05-05 18:00:00,19,21,91,0.428,36,22
014001,2014-05-05 19:00:00,17,31,89,0.592,31,17
014001,2014-05-05 20:00:00,20,37,98,0.704,21,17
014001,2014-05-05 21:00:00,32,,103,0.756,20,16
014001,2014-05-05 22:00:00,33,,103,0.876,19,25
014001,2014-05-05 23:00:00,37,41,100,0.761,16,33
014001,2014-05-06 00:00:00,42,,102,0.854,9,38
014001,2014-05-06 01:00:00,42,,104,1.059,11,39
014001,2014-05-06 02:00:00,40,,100,0.907,17,41
014001,2014-05-06 03:00:00,33,36,97,1.389,15,50
014001,2014-05-06 04:00:00,39,,95,1.285,20,43
014001,2014-05-06 05:00:00,37,,91,1.231,16,34
014001,2014-05-06 06:00:00,33,47,97,2.062,3,39
014001,2014-05-06 07:00:00,41,59,101,1.89,4,43
014001,2014-05-06 08:00:00,47,,105,1.128,10,38
014001,2014-05-06 09:00:00,34,34,106,0.652,20,26
014001,2014-05-06 10:00:00,30,,91,0.388,31,20
014001,2014-05-06 11:00:00,25,,58,0.472,22,24
014001,2014-05-06 12:00:00,27,,78,0.442,26,24
014001,2014-05-06 13:00:00,23,,80,0.472,17,24
014001,2014-05-06 14:00:00,23,,84,0.477,14,28
014001,2014-05-06 15:00:00,24,,86,0.508,15,25
014001,2014-05-06 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
014001,2014-05-06 17:00:00,24,25,88,0.588,14,26
014001,2014-05-06 18:00:00,26,30,94,0.685,13,31
014001,2014-05-06 19:00:00,32,32,98,0.696,12,28
014001,2014-05-06 20:00:00,34,,98,0.643,12,21
014001,2014-05-06 21:00:00,34,,89,0.526,18,18
014001,2014-05-06 22:00:00,33,,79,0.504,21,19
014001,2014-05-06 23:00:00,30,,82,0.54,20,23
014001,2014-05-07 00:00:00,28,37,87,0.749,11,20
014001,2014-05-07 01:00:00,30,,86,0.776,16,14
014001,2014-05-07 02:00:00,28,,84,0.626,15,13
014001,2014-05-07 03:00:00,36,,81,0.573,16,12
014001,2014-05-07 04:00:00,39,,80,0.61,14,11
014001,2014-05-07 05:00:00,39,,78,0.682,13,11
014001,2014-05-07 06:00:00,40,,81,0.692,12,12
014001,2014-05-07 07:00:00,46,,83,0.655,19,14
014001,2014-05-07 08:00:00,46,,89,0.703,22,16
014001,2014-05-07 09:00:00,48,,92,0.622,10,18
014001,2014-05-07 10:00:00,47,,91,0.594,14,21
014001,2014-05-07 11:00:00,44,,71,0.563,15,25
014001,2014-05-07 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
014001,2014-05-07 13:00:00,52,,121,0.627,10,20
014001,2014-05-07 14:00:00,57,,107,0.638,14,20
014001,2014-05-07 15:00:00,54,,32,0.594,54,30
014001,2014-05-07 16:00:00,56,,82,0.524,18,27
014001,2014-05-07 17:00:00,55,,87,0.579,17,24
014001,2014-05-07 18:00:00,54,,90,0.553,21,22
014001,2014-05-07 19:00:00,55,,93,0.774,13,21
014001,2014-05-07 20:00:00,57,,96,0.716,10,16
014001,2014-05-07 21:00:00,50,,89,0.465,12,18
014001,2014-05-07 22:00:00,39,,70,0.21,23,13
014001,2014-05-07 23:00:00,31,,60,0.252,24,13
014001,2014-05-08 00:00:00,24,,70,0.255,17,12
014001,2014-05-08 01:00:00,24,,72,0.282,14,16
014001,2014-05-08 02:00:00,29,,77,0.254,14,21
014001,2014-05-08 03:00:00,29,,93,0.309,10,37
014001,2014-05-08 04:00:00,29,,88,0.361,14,23
014001,2014-05-08 05:00:00,26,,78,0.512,15,21
014001,2014-05-08 06:00:00,25,26,85,0.661,13,31
014001,2014-05-08 07:00:00,32,42,98,0.72,22,43
014001,2014-05-08 08:00:00,37,46,103,0.649,15,40
014001,2014-05-08 09:00:00,34,42,103,0.382,8,38
014001,2014-05-08 10:00:00,29,35,103,0.498,10,34
014001,2014-05-08 11:00:00,23,43,105,0.846,12,38
014001,2014-05-08 12:00:00,32,37,88,0.396,22,19
014001,2014-05-08 13:00:00,29,,64,0.369,39,14
014001,2014-05-08 14:00:00,25,27,60,0.561,37,17
014001,2014-05-08 15:00:00,25,26,62,0.507,36,17
014001,2014-05-08 16:00:00,28,,64,0.544,36,14
014001,2014-05-08 17:00:00,21,27,68,0.618,36,16
014001,2014-05-08 18:00:00,24,25,73,0.575,33,14
014001,2014-05-08 19:00:00,28,,77,0.503,31,11
014001,2014-05-08 20:00:00,25,30,82,0.71,27,17
014001,2014-05-08 21:00:00,29,34,90,0.785,22,21
014001,2014-05-08 22:00:00,37,37,97,0.821,18,26
014001,2014-05-08 23:00:00,38,45,97,1.167,8,18
014001,2014-05-09 00:00:00,41,52,106,0.935,4,20
014001,2014-05-09 01:00:00,50,52,109,1.009,4,31
014001,2014-05-09 02:00:00,48,54,105,0.963,4,28
014001,2014-05-09 03:00:00,46,46,104,0.815,4,25
014001,2014-05-09 04:00:00,48,,104,0.876,4,27
014001,2014-05-09 05:00:00,42,50,104,0.881,4,24
014001,2014-05-09 06:00:00,48,54,102,0.934,4,33
014001,2014-05-09 07:00:00,50,53,103,1.086,5,32
014001,2014-05-09 08:00:00,54,,99,1.218,6,23
014001,2014-05-09 09:00:00,52,,94,1.348,9,22
014001,2014-05-09 10:00:00,51,,89,1.029,13,23
014001,2014-05-09 11:00:00,49,,79,0.716,26,24
014001,2014-05-09 12:00:00,41,,64,0.424,40,21
014001,2014-05-09 13:00:00,31,25,64,0.424,44,22
014001,2014-05-09 14:00:00,24,,56,0.244,45,18
014001,2014-05-09 15:00:00,21,14,55,0.244,49,18
014001,2014-05-09 16:00:00,17,12,54,0.236,47,15
014001,2014-05-09 17:00:00,16,,56,0.261,39,14
014001,2014-05-09 18:00:00,16,,57,0.275,39,13
014001,2014-05-09 19:00:00,16,,64,0.397,31,14
014001,2014-05-09 20:00:00,19,,73,0.437,25,14
014001,2014-05-09 21:00:00,25,,72,0.416,25,15
014001,2014-05-09 22:00:00,25,,74,0.428,21,17
014001,2014-05-09 23:00:00,21,,77,0.473,18,19
014001,2014-05-10 00:00:00,19,,77,0.445,18,21
014001,2014-05-10 01:00:00,23,18,79,0.445,18,21
014001,2014-05-10 02:00:00,26,,75,0.473,17,19
014001,2014-05-10 03:00:00,21,,76,0.51,14,21
014001,2014-05-10 04:00:00,22,,87,0.505,9,18
014001,2014-05-10 05:00:00,19,,91,0.514,10,17
014001,2014-05-10 06:00:00,17,22,89,0.782,9,20
014001,2014-05-10 07:00:00,22,26,93,0.832,9,26
014001,2014-05-10 08:00:00,24,33,99,0.762,10,29
014001,2014-05-10 09:00:00,28,32,95,0.486,15,34
