sid,time,pm25,pm10,no2,co,o3,so2
033001,2014-05-01 00:00:00,20,40,16,1.335,10,20
033001,2014-05-01 01:00:00,24,65,41,0.301,7,16
033001,2014-05-01 02:00:00,22,50,16,0.49,5,18
033001,2014-05-01 03:00:00,23,47,14,0.359,2,19
033001,2014-05-01 04:00:00,24,56,12,0.476,7,18
033001,2014-05-01 05:00:00,27,44,8,0.248,,16
033001,2014-05-01 06:00:00,30,55,16,0.721,15,24
033001,2014-05-01 07:00:00,27,46,15,0.748,13,23
033001,2014-05-01 08:00:00,27,40,19,0.792,11,22
033001,2014-05-01 09:00:00,30,60,29,0.916,8,23
033001,2014-05-01 10:00:00,35,68,31,1.151,9,23
033001,2014-05-01 11:00:00,38,62,28,0.918,9,24
033001,2014-05-01 12:00:00,41,82,33,0.881,10,26
033001,2014-05-01 13:00:00,41,84,31,0.681,11,24
033001,2014-05-01 14:00:00,34,72,24,0.53,16,24
033001,2014-05-01 15:00:00,37,42,28,0.512,18,23
033001,2014-05-01 16:00:00,41,65,37,0.488,19,22
033001,2014-05-01 17:00:00,44,72,51,0.514,16,20
033001,2014-05-01 18:00:00,52,68,65,0.729,12,20
033001,2014-05-01 19:00:00,51,81,58,0.545,10,22
033001,2014-05-01 20:00:00,46,69,58,0.594,7,21
033001,2014-05-01 21:00:00,48,81,60,0.579,4,22
033001,2014-05-01 22:00:00,55,95,60,1.026,5,23
033001,2014-05-01 23:00:00,77,127,57,1.978,5,21
033001,2014-05-02 00:00:00,69,119,46,1.468,6,34
033001,2014-05-02 01:00:00,61,81,43,1.241,6,22
033001,2014-05-02 02:00:00,69,81,42,1.864,6,21
033001,2014-05-02 03:00:00,65,118,40,2.069,5,20
033001,2014-05-02 04:00:00,51,154,32,1.302,5,19
033001,2014-05-02 05:00:00,49,57,31,0.965,4,19
033001,2014-05-02 06:00:00,45,72,25,0.937,4,22
033001,2014-05-02 07:00:00,47,77,26,0.865,4,20
033001,2014-05-02 08:00:00,41,54,28,0.77,4,19
033001,2014-05-02 09:00:00,38,50,32,0.98,4,20
