sid,time,pm25,pm10,no2,co,o3,so2
036001,2014-05-01 00:00:00,36,56,18,2.812,29,15
036001,2014-05-01 01:00:00,31,50,18,2.761,30,21
036001,2014-05-01 02:00:00,46,57,17,2.762,29,23
036001,2014-05-01 03:00:00,47,59,16,2.764,28,27
036001,2014-05-01 04:00:00,49,59,13,2.731,29,25
036001,2014-05-01 05:00:00,47,58,14,2.706,31,36
036001,2014-05-01 06:00:00,47,65,12,2.714,26,34
036001,2014-05-01 07:00:00,59,70,13,2.776,26,52
036001,2014-05-01 08:00:00,49,69,14,2.779,37,60
036001,2014-05-01 09:00:00,50,60,12,2.748,46,41
036001,2014-05-01 10:00:00,43,59,11,2.742,54,31
036001,2014-05-01 11:00:00,40,56,11,2.75,64,25
036001,2014-05-01 12:00:00,49,63,15,2.812,80,33
036001,2014-05-01 13:00:00,44,71,15,2.809,107,39
036001,2014-05-01 14:00:00,45,56,10,2.727,123,28
036001,2014-05-01 15:00:00,30,44,10,2.722,131,19
036001,2014-05-01 16:00:00,36,36,10,2.728,128,17
036001,2014-05-01 17:00:00,28,36,10,2.749,127,17
036001,2014-05-01 18:00:00,31,48,14,2.939,130,29
036001,2014-05-01 19:00:00,45,83,23,3.543,125,63
036001,2014-05-01 20:00:00,61,84,30,3.474,86,37
036001,2014-05-01 21:00:00,59,101,45,3.442,54,29
036001,2014-05-01 22:00:00,66,119,54,3.498,37,27
036001,2014-05-01 23:00:00,67,108,48,3.499,33,24
036001,2014-05-02 00:00:00,71,104,48,3.489,29,25
036001,2014-05-02 01:00:00,78,102,39,3.397,23,22
036001,2014-05-02 02:00:00,59,80,27,3.166,28,20
036001,2014-05-02 03:00:00,50,73,24,3.067,32,26
036001,2014-05-02 04:00:00,49,65,20,2.882,45,42
036001,2014-05-02 05:00:00,43,59,17,2.862,37,30
036001,2014-05-02 06:00:00,42,58,16,2.884,35,30
036001,2014-05-02 07:00:00,52,62,14,2.861,41,29
036001,2014-05-02 08:00:00,42,68,16,2.899,51,37
036001,2014-05-02 09:00:00,43,60,13,2.828,68,36
036001,2014-05-02 10:00:00,35,50,10,2.803,78,31
036001,2014-05-02 11:00:00,41,47,8,2.784,92,23
036001,2014-05-02 12:00:00,41,47,8,2.784,92,23
036001,2014-05-02 13:00:00,19,30,6,2.761,104,17
036001,2014-05-02 14:00:00,16,24,7,2.756,120,16
036001,2014-05-02 15:00:00,16,24,7,2.756,120,16
036001,2014-05-02 16:00:00,22,32,7,2.742,123,16
036001,2014-05-02 17:00:00,23,30,7,2.718,128,16
036001,2014-05-02 18:00:00,26,37,8,2.732,121,16
036001,2014-05-02 19:00:00,18,44,11,2.782,109,15
036001,2014-05-02 20:00:00,35,54,16,2.888,98,16
036001,2014-05-02 21:00:00,35,57,24,2.955,81,28
036001,2014-05-02 22:00:00,35,58,21,3.068,80,39
036001,2014-05-02 23:00:00,38,61,14,2.885,89,30
036001,2014-05-03 00:00:00,26,43,13,2.843,90,44
036001,2014-05-03 01:00:00,33,53,13,2.879,86,28
036001,2014-05-03 02:00:00,40,55,14,2.855,84,32
036001,2014-05-03 03:00:00,41,57,16,2.855,76,48
036001,2014-05-03 04:00:00,50,62,17,2.909,62,44
036001,2014-05-03 05:00:00,42,58,16,2.868,65,44
036001,2014-05-03 06:00:00,52,61,17,2.849,62,52
036001,2014-05-03 07:00:00,48,62,18,2.864,54,72
036001,2014-05-03 08:00:00,55,76,20,2.914,64,75
036001,2014-05-03 09:00:00,47,73,17,2.812,87,90
036001,2014-05-03 10:00:00,47,74,16,2.801,101,74
036001,2014-05-03 11:00:00,50,70,10,2.677,135,32
036001,2014-05-03 12:00:00,41,65,9,2.659,148,24
036001,2014-05-03 13:00:00,41,65,9,2.659,148,24
036001,2014-05-03 14:00:00,48,54,9,2.682,155,23
036001,2014-05-03 15:00:00,40,61,10,2.739,161,26
036001,2014-05-03 16:00:00,40,61,10,2.739,161,26
036001,2014-05-03 17:00:00,43,71,10,2.781,155,26
036001,2014-05-03 18:00:00,46,66,13,2.797,140,24
036001,2014-05-03 19:00:00,39,80,19,2.786,120,28
036001,2014-05-03 20:00:00,66,107,33,3.044,88,26
036001,2014-05-03 21:00:00,74,124,42,2.984,73,33
036001,2014-05-03 22:00:00,63,102,33,2.92,78,42
036001,2014-05-03 23:00:00,57,88,38,3.035,57,39
036001,2014-05-04 00:00:00,73,112,48,3.196,35,31
036001,2014-05-04 01:00:00,81,112,49,3.179,30,29
036001,2014-05-04 02:00:00,73,118,44,3.157,27,26
036001,2014-05-04 03:00:00,63,110,38,3.125,38,24
036001,2014-05-04 04:00:00,69,110,41,3.106,32,21
036001,2014-05-04 05:00:00,65,88,39,3.126,29,22
036001,2014-05-04 06:00:00,70,91,37,3.13,26,37
036001,2014-05-04 07:00:00,59,87,37,3.144,27,45
036001,2014-05-04 08:00:00,67,102,41,3.177,28,32
036001,2014-05-04 09:00:00,61,82,37,3.148,52,31
036001,2014-05-04 10:00:00,52,66,39,3.161,48,30
036001,2014-05-04 11:00:00,42,56,31,3.041,59,24
036001,2014-05-04 12:00:00,47,55,24,2.969,75,21
036001,2014-05-04 13:00:00,37,50,21,2.924,86,24
036001,2014-05-04 14:00:00,34,46,19,2.892,89,23
036001,2014-05-04 15:00:00,37,50,25,2.92,68,18
036001,2014-05-04 16:00:00,36,36,26,2.952,61,16
036001,2014-05-04 17:00:00,24,36,23,2.962,63,15
036001,2014-05-04 18:00:00,19,21,20,3.004,61,16
036001,2014-05-04 19:00:00,7,18,21,3.031,57,17
036001,2014-05-04 20:00:00,8,17,17,2.99,61,16
036001,2014-05-04 21:00:00,7,9,20,2.978,57,17
036001,2014-05-04 22:00:00,8,8,18,2.989,60,17
036001,2014-05-04 23:00:00,3,10,15,2.964,73,20
036001,2014-05-05 00:00:00,11,13,12,2.863,93,20
036001,2014-05-05 01:00:00,6,11,11,2.847,91,18
036001,2014-05-05 02:00:00,12,13,12,2.863,86,23
036001,2014-05-05 03:00:00,11,21,11,2.844,82,22
036001,2014-05-05 04:00:00,10,13,11,2.824,77,21
036001,2014-05-05 05:00:00,13,18,8,2.787,78,19
036001,2014-05-05 06:00:00,10,13,8,2.759,69,18
036001,2014-05-05 07:00:00,10,,7,2.712,86,17
036001,2014-05-05 08:00:00,6,13,6,2.676,97,17
036001,2014-05-05 09:00:00,7,11,7,2.718,88,23
036001,2014-05-05 10:00:00,18,18,7,2.694,93,23
036001,2014-05-05 11:00:00,11,18,6,2.699,96,20
036001,2014-05-05 12:00:00,10,14,7,2.645,100,20
036001,2014-05-05 13:00:00,15,21,6,2.636,101,19
036001,2014-05-05 14:00:00,15,21,6,2.636,101,19
036001,2014-05-05 15:00:00,15,23,8,2.648,88,16
036001,2014-05-05 16:00:00,19,23,10,2.687,80,14
036001,2014-05-05 17:00:00,22,27,11,2.698,74,15
036001,2014-05-05 18:00:00,21,28,12,2.703,70,14
036001,2014-05-05 19:00:00,23,30,13,2.739,66,15
036001,2014-05-05 20:00:00,28,30,14,2.783,61,14
036001,2014-05-05 21:00:00,26,37,17,2.907,50,14
036001,2014-05-05 22:00:00,29,35,13,2.766,62,16
036001,2014-05-05 23:00:00,31,37,15,2.717,59,15
