sid,time,pm25,pm10,no2,co,o3,so2
012001,2014-05-01 00:00:00,121,206,29,0.612,119,40
012001,2014-05-01 01:00:00,139,308,29,0.637,106,34
012001,2014-05-01 02:00:00,147,229,28,0.652,102,39
012001,2014-05-01 03:00:00,143,225,27,0.63,101,35
012001,2014-05-01 04:00:00,162,218,26,0.631,94,35
012001,2014-05-01 05:00:00,161,227,31,0.794,76,29
012001,2014-05-01 06:00:00,155,228,36,0.996,63,30
012001,2014-05-01 07:00:00,180,262,41,0.983,49,33
012001,2014-05-01 08:00:00,192,253,45,2.04,43,45
012001,2014-05-01 09:00:00,178,271,52,1.808,50,66
012001,2014-05-01 10:00:00,182,292,48,2.021,63,89
012001,2014-05-01 11:00:00,184,262,41,1.641,82,119
012001,2014-05-01 12:00:00,150,237,32,2.218,109,119
012001,2014-05-01 13:00:00,145,223,27,2.555,130,189
012001,2014-05-01 14:00:00,111,187,19,1.29,153,98
012001,2014-05-01 15:00:00,118,199,16,0.52,166,43
012001,2014-05-01 16:00:00,106,186,18,0.542,187,35
012001,2014-05-01 17:00:00,120,206,25,0.684,174,45
012001,2014-05-01 18:00:00,126,188,28,0.583,158,35
012001,2014-05-01 19:00:00,132,219,33,0.66,133,40
012001,2014-05-01 20:00:00,124,636,33,0.438,86,39
012001,2014-05-01 21:00:00,116,1000,21,0.1,84,14
012001,2014-05-01 22:00:00,52,324,18,0.08,86,17
012001,2014-05-01 23:00:00,44,170,17,0.07,80,13
012001,2014-05-02 00:00:00,39,112,19,0.068,69,11
012001,2014-05-02 01:00:00,34,98,22,0.07,64,12
012001,2014-05-02 02:00:00,40,76,24,0.08,63,14
012001,2014-05-02 03:00:00,33,79,26,0.074,56,15
012001,2014-05-02 04:00:00,38,95,20,0.077,62,14
012001,2014-05-02 05:00:00,39,124,14,0.072,73,9
012001,2014-05-02 06:00:00,NULL,NULL,NULL,NULL,NULL,NULL
012001,2014-05-02 07:00:00,30,242,17,0.099,78,7
012001,2014-05-02 08:00:00,32,156,19,0.113,82,7
012001,2014-05-02 09:00:00,27,137,21,0.119,92,7
012001,2014-05-02 10:00:00,22,157,20,0.064,95,6
012001,2014-05-02 11:00:00,NULL,NULL,NULL,NULL,NULL,NULL
012001,2014-05-02 12:00:00,29,81,16,0.074,107,6
012001,2014-05-02 13:00:00,25,76,16,0.071,109,6
012001,2014-05-02 14:00:00,NULL,NULL,NULL,NULL,NULL,NULL
