sid,time,pm25,pm10,no2,co,o3,so2
037001,2014-05-01 00:00:00,67,93,44,1.287,25,15
037001,2014-05-01 01:00:00,52,61,39,1.084,28,12
037001,2014-05-01 02:00:00,44,53,36,1.054,30,10
037001,2014-05-01 03:00:00,36,42,32,1.05,33,9
037001,2014-05-01 04:00:00,32,38,29,0.975,38,10
037001,2014-05-01 05:00:00,30,30,25,0.933,44,11
037001,2014-05-01 06:00:00,30,32,23,0.936,44,12
037001,2014-05-01 07:00:00,31,31,25,0.971,44,10
037001,2014-05-01 08:00:00,32,,26,1.059,44,9
037001,2014-05-01 09:00:00,37,37,25,1.102,48,10
037001,2014-05-01 10:00:00,36,38,32,1.162,47,15
037001,2014-05-01 11:00:00,35,47,35,1.205,45,17
037001,2014-05-01 12:00:00,34,45,32,1.248,50,15
037001,2014-05-01 13:00:00,34,48,30,1.28,80,13
037001,2014-05-01 14:00:00,38,49,27,1.194,114,12
037001,2014-05-01 15:00:00,44,57,27,1.221,139,11
037001,2014-05-01 16:00:00,51,72,30,1.188,128,17
037001,2014-05-01 17:00:00,54,74,30,1.236,119,16
037001,2014-05-01 18:00:00,60,73,34,1.261,102,17
037001,2014-05-01 19:00:00,65,82,40,1.386,84,20
037001,2014-05-01 20:00:00,63,78,39,1.273,69,30
037001,2014-05-01 21:00:00,71,89,49,1.313,45,51
037001,2014-05-01 22:00:00,77,94,42,1.325,44,39
037001,2014-05-01 23:00:00,85,88,43,1.326,41,40
037001,2014-05-02 00:00:00,90,98,48,1.292,34,39
037001,2014-05-02 01:00:00,90,100,53,1.265,25,38
037001,2014-05-02 02:00:00,88,107,56,1.255,19,36
037001,2014-05-02 03:00:00,100,105,53,1.257,22,32
037001,2014-05-02 04:00:00,95,,46,1.17,26,31
037001,2014-05-02 05:00:00,85,,42,1.112,27,33
037001,2014-05-02 06:00:00,80,,44,1.094,24,38
037001,2014-05-02 07:00:00,74,,42,1.15,25,32
037001,2014-05-02 08:00:00,65,,40,1.371,27,27
037001,2014-05-02 09:00:00,58,,42,1.439,36,29
037001,2014-05-02 10:00:00,53,60,42,1.332,51,30
037001,2014-05-02 11:00:00,43,50,33,1.181,70,21
