sid,time,pm25,pm10,no2,co,o3,so2
038001,2014-05-01 00:00:00,16,27,5,2.47,15,7
038001,2014-05-01 01:00:00,28,31,22,2.564,1,7
038001,2014-05-01 02:00:00,28,35,23,2.539,2,7
038001,2014-05-01 03:00:00,24,24,16,2.472,5,7
038001,2014-05-01 04:00:00,27,,16,2.468,6,7
038001,2014-05-01 05:00:00,29,,23,2.56,,8
038001,2014-05-01 06:00:00,28,,19,2.591,,8
038001,2014-05-01 07:00:00,22,,19,2.621,1,8
038001,2014-05-01 08:00:00,18,30,20,2.573,3,8
038001,2014-05-01 09:00:00,23,26,23,2.632,4,10
038001,2014-05-01 10:00:00,24,31,18,2.488,7,10
038001,2014-05-01 11:00:00,25,31,15,2.414,9,8
038001,2014-05-01 12:00:00,31,,19,2.433,7,8
038001,2014-05-01 13:00:00,53,,16,2.562,9,9
038001,2014-05-01 14:00:00,42,51,15,2.536,7,9
038001,2014-05-01 15:00:00,28,45,12,2.494,10,8
038001,2014-05-01 16:00:00,22,43,11,2.454,14,8
038001,2014-05-01 17:00:00,21,38,17,2.4,12,8
038001,2014-05-01 18:00:00,24,39,18,2.417,7,8
038001,2014-05-01 19:00:00,21,32,8,2.444,10,7
038001,2014-05-01 20:00:00,18,21,4,2.424,10,8
038001,2014-05-01 21:00:00,21,34,7,2.514,6,8
038001,2014-05-01 22:00:00,29,40,12,2.808,1,8
038001,2014-05-01 23:00:00,28,42,6,2.579,10,8
038001,2014-05-02 00:00:00,33,,4,2.563,10,8
038001,2014-05-02 01:00:00,47,,4,2.544,7,8
038001,2014-05-02 02:00:00,56,,8,2.583,4,8
038001,2014-05-02 03:00:00,53,,14,2.63,3,8
038001,2014-05-02 04:00:00,48,,16,2.699,,9
038001,2014-05-02 05:00:00,36,40,14,2.722,,9
038001,2014-05-02 06:00:00,30,43,10,2.696,,9
038001,2014-05-02 07:00:00,26,44,10,2.691,1,10
038001,2014-05-02 08:00:00,26,51,10,2.648,,12
038001,2014-05-02 09:00:00,40,55,12,2.688,,11
038001,2014-05-02 10:00:00,38,47,14,2.676,,10
038001,2014-05-02 11:00:00,39,41,13,2.629,,10
038001,2014-05-02 12:00:00,39,41,13,2.629,0,10
038001,2014-05-02 13:00:00,42,46,14,2.631,1,9
038001,2014-05-02 14:00:00,33,47,8,2.556,7,8
038001,2014-05-02 15:00:00,33,47,8,2.556,7,8
038001,2014-05-02 16:00:00,24,37,7,2.472,12,8
038001,2014-05-02 17:00:00,20,43,12,2.472,18,7
038001,2014-05-02 18:00:00,23,34,11,2.451,21,7
038001,2014-05-02 19:00:00,26,40,3,2.469,24,7
038001,2014-05-02 20:00:00,27,37,4,2.572,19,7
038001,2014-05-02 21:00:00,31,53,10,2.71,13,8
038001,2014-05-02 22:00:00,36,50,9,2.836,9,8
038001,2014-05-02 23:00:00,35,56,23,3.116,2,8
038001,2014-05-03 00:00:00,29,54,12,2.736,4,8
038001,2014-05-03 01:00:00,38,55,21,2.911,,8
038001,2014-05-03 02:00:00,31,52,18,2.96,,9
038001,2014-05-03 03:00:00,25,48,15,2.871,,9
038001,2014-05-03 04:00:00,23,45,12,2.896,,9
038001,2014-05-03 05:00:00,27,50,14,2.832,,10
038001,2014-05-03 06:00:00,27,47,10,2.859,,10
038001,2014-05-03 07:00:00,23,51,12,2.815,,10
038001,2014-05-03 08:00:00,30,51,13,2.816,,10
038001,2014-05-03 09:00:00,40,62,20,2.892,1,10
038001,2014-05-03 10:00:00,62,66,24,2.743,9,8
038001,2014-05-03 11:00:00,50,62,18,2.66,33,8
038001,2014-05-03 12:00:00,49,65,14,2.554,47,8
038001,2014-05-03 13:00:00,49,65,14,2.554,47,8
038001,2014-05-03 14:00:00,44,60,10,2.516,76,8
038001,2014-05-03 15:00:00,41,58,6,2.478,92,7
038001,2014-05-03 16:00:00,41,58,6,2.478,92,7
038001,2014-05-03 17:00:00,38,62,9,2.46,95,7
038001,2014-05-03 18:00:00,21,52,7,2.376,110,8
038001,2014-05-03 19:00:00,21,43,13,2.457,77,8
038001,2014-05-03 20:00:00,20,44,15,2.548,47,8
038001,2014-05-03 21:00:00,11,30,15,2.397,51,8
038001,2014-05-03 22:00:00,10,22,5,2.34,42,7
038001,2014-05-03 23:00:00,12,25,6,2.298,46,7
038001,2014-05-04 00:00:00,14,25,9,2.338,29,7
038001,2014-05-04 01:00:00,13,32,6,2.291,30,7
038001,2014-05-04 02:00:00,15,27,5,2.283,28,7
038001,2014-05-04 03:00:00,17,25,5,2.268,31,7
038001,2014-05-04 04:00:00,19,27,4,2.27,28,7
038001,2014-05-04 05:00:00,20,29,4,2.279,16,7
038001,2014-05-04 06:00:00,23,26,3,2.269,17,7
038001,2014-05-04 07:00:00,21,37,2,2.292,15,7
038001,2014-05-04 08:00:00,27,30,6,2.385,8,7
038001,2014-05-04 09:00:00,28,30,13,2.459,4,7
038001,2014-05-04 10:00:00,33,40,15,2.419,4,8
038001,2014-05-04 11:00:00,34,39,11,2.378,9,8
038001,2014-05-04 12:00:00,37,,11,2.398,7,8
038001,2014-05-04 13:00:00,27,36,9,2.395,8,8
038001,2014-05-04 14:00:00,14,23,8,2.418,18,7
038001,2014-05-04 15:00:00,8,28,6,2.376,30,7
038001,2014-05-04 16:00:00,11,31,6,2.35,26,7
038001,2014-05-04 17:00:00,24,36,5,2.346,23,7
038001,2014-05-04 18:00:00,32,36,10,2.392,14,8
038001,2014-05-04 19:00:00,26,46,6,2.398,23,7
038001,2014-05-04 20:00:00,14,23,5,2.402,16,7
038001,2014-05-04 21:00:00,23,33,11,2.504,14,7
038001,2014-05-04 22:00:00,18,29,7,2.494,22,7
038001,2014-05-04 23:00:00,,6,2,2.337,33,7
038001,2014-05-05 00:00:00,,2,2,2.373,37,7
038001,2014-05-05 01:00:00,,6,2,2.355,36,7
038001,2014-05-05 02:00:00,,4,2,2.348,37,7
038001,2014-05-05 03:00:00,,3,2,2.345,36,7
038001,2014-05-05 04:00:00,,2,2,2.327,40,7
038001,2014-05-05 05:00:00,,4,2,2.314,38,7
038001,2014-05-05 06:00:00,,2,2,2.305,32,7
038001,2014-05-05 07:00:00,,4,2,2.297,40,7
038001,2014-05-05 08:00:00,,4,2,2.312,37,7
038001,2014-05-05 09:00:00,,4,1,2.298,35,7
038001,2014-05-05 10:00:00,,3,2,2.264,39,7
038001,2014-05-05 11:00:00,,7,10,2.286,22,7
038001,2014-05-05 12:00:00,,10,2,2.248,36,7
038001,2014-05-05 13:00:00,,9,2,2.231,36,7
038001,2014-05-05 14:00:00,,9,2,2.231,36,7
038001,2014-05-05 15:00:00,,8,2,2.211,39,7
038001,2014-05-05 16:00:00,,6,2,2.214,33,7
038001,2014-05-05 17:00:00,,12,10,2.257,22,7
