sid,time,pm25,pm10,no2,co,o3,so2
040001,2014-05-01 00:00:00,51,59,81,1.975,2,27
040001,2014-05-01 01:00:00,54,,50,5.889,32,24
040001,2014-05-01 02:00:00,56,,46,1.448,,333
040001,2014-05-01 03:00:00,44,,47,1.385,19,373
040001,2014-05-01 04:00:00,59,,43,1.342,20,26
040001,2014-05-01 05:00:00,59,,36,1.322,24,23
040001,2014-05-01 06:00:00,47,,31,1.339,28,18
040001,2014-05-01 07:00:00,36,,28,1.435,33,14
040001,2014-05-01 08:00:00,31,39,34,1.661,28,15
040001,2014-05-01 09:00:00,38,54,49,2.286,20,26
040001,2014-05-01 10:00:00,33,65,43,1.767,28,25
040001,2014-05-01 11:00:00,31,45,35,1.832,38,22
040001,2014-05-01 12:00:00,32,40,34,1.616,46,18
040001,2014-05-01 13:00:00,36,48,31,1.669,52,15
040001,2014-05-01 14:00:00,33,53,32,1.51,51,16
040001,2014-05-01 15:00:00,33,52,34,1.633,52,16
040001,2014-05-01 16:00:00,32,52,36,1.591,56,24
040001,2014-05-01 17:00:00,33,75,42,1.719,52,20
040001,2014-05-01 18:00:00,31,52,45,1.816,57,21
040001,2014-05-01 19:00:00,42,75,61,2.152,39,27
040001,2014-05-01 20:00:00,49,89,65,2.197,33,32
040001,2014-05-01 21:00:00,54,84,75,2.382,17,32
040001,2014-05-01 22:00:00,60,88,80,2.518,9,34
040001,2014-05-01 23:00:00,56,79,78,2.468,9,39
040001,2014-05-02 00:00:00,54,86,73,2.277,9,42
040001,2014-05-02 01:00:00,55,82,65,2.06,9,35
040001,2014-05-02 02:00:00,54,84,66,2.184,2,27
040001,2014-05-02 03:00:00,52,88,64,2.12,2,26
040001,2014-05-02 04:00:00,49,81,57,1.819,2,22
040001,2014-05-02 05:00:00,54,76,57,1.703,3,33
040001,2014-05-02 06:00:00,61,102,56,1.617,3,40
040001,2014-05-02 07:00:00,57,120,54,1.748,4,46
040001,2014-05-02 08:00:00,50,115,52,1.904,6,44
040001,2014-05-02 09:00:00,45,97,52,2.116,7,38
040001,2014-05-02 10:00:00,42,80,52,2.072,9,31
040001,2014-05-02 11:00:00,35,64,42,1.944,22,23
040001,2014-05-02 12:00:00,35,64,42,1.944,22,23
040001,2014-05-02 13:00:00,35,45,35,1.879,33,19
040001,2014-05-02 14:00:00,36,50,33,1.703,61,16
040001,2014-05-02 15:00:00,36,50,33,1.703,61,16
040001,2014-05-02 16:00:00,35,52,35,1.717,77,16
040001,2014-05-02 17:00:00,37,57,45,1.606,79,21
040001,2014-05-02 18:00:00,44,77,62,1.967,71,36
040001,2014-05-02 19:00:00,50,93,68,2.642,59,28
040001,2014-05-02 20:00:00,62,109,83,2.855,33,23
040001,2014-05-02 21:00:00,70,119,104,3.491,10,25
040001,2014-05-02 22:00:00,65,104,97,3.856,11,26
040001,2014-05-02 23:00:00,60,101,98,3.834,5,29
040001,2014-05-03 00:00:00,63,96,90,3.435,4,27
040001,2014-05-03 01:00:00,66,116,81,5.699,14,23
040001,2014-05-03 02:00:00,62,127,72,2.768,,157
040001,2014-05-03 03:00:00,61,112,65,2.251,2,469
040001,2014-05-03 04:00:00,65,109,61,2.123,2,21
040001,2014-05-03 05:00:00,64,98,66,1.903,2,22
040001,2014-05-03 06:00:00,72,104,65,1.908,3,24
040001,2014-05-03 07:00:00,72,128,67,2.658,4,28
040001,2014-05-03 08:00:00,80,170,71,2.6,6,41
040001,2014-05-03 09:00:00,89,174,85,2.766,8,51
040001,2014-05-03 10:00:00,108,195,97,2.915,18,86
040001,2014-05-03 11:00:00,119,228,103,2.334,30,97
040001,2014-05-03 12:00:00,114,201,92,2.247,56,82
040001,2014-05-03 13:00:00,114,201,92,2.247,56,82
040001,2014-05-03 14:00:00,103,173,76,1.994,94,60
040001,2014-05-03 15:00:00,63,67,38,1.886,205,27
040001,2014-05-03 16:00:00,63,67,38,1.886,205,27
040001,2014-05-03 17:00:00,43,,40,1.885,209,23
040001,2014-05-03 18:00:00,39,,41,2.094,186,20
040001,2014-05-03 19:00:00,38,38,69,2.165,133,38
040001,2014-05-03 20:00:00,43,72,86,1.967,93,88
040001,2014-05-03 21:00:00,51,78,79,2.359,70,84
040001,2014-05-03 22:00:00,47,85,69,2.105,62,35
040001,2014-05-03 23:00:00,38,61,49,1.782,62,25
040001,2014-05-04 00:00:00,39,49,52,1.594,52,32
040001,2014-05-04 01:00:00,45,64,56,1.496,43,88
040001,2014-05-04 02:00:00,46,67,46,1.428,44,131
040001,2014-05-04 03:00:00,49,65,48,1.393,35,50
040001,2014-05-04 04:00:00,54,73,54,1.363,29,35
040001,2014-05-04 05:00:00,50,70,35,1.321,39,28
040001,2014-05-04 06:00:00,47,58,34,1.354,33,25
040001,2014-05-04 07:00:00,52,53,44,1.683,24,28
040001,2014-05-04 08:00:00,41,80,44,2.241,35,29
040001,2014-05-04 09:00:00,32,50,41,2.018,52,23
040001,2014-05-04 10:00:00,38,50,47,1.941,42,24
040001,2014-05-04 11:00:00,41,59,46,1.773,47,25
040001,2014-05-04 12:00:00,40,55,38,1.787,65,22
040001,2014-05-04 13:00:00,39,51,39,1.843,74,20
040001,2014-05-04 14:00:00,43,67,42,1.59,66,23
040001,2014-05-04 15:00:00,47,71,45,1.739,63,19
040001,2014-05-04 16:00:00,55,73,61,1.769,71,30
040001,2014-05-04 17:00:00,69,104,70,2.242,74,29
040001,2014-05-04 18:00:00,77,131,87,2.313,51,30
040001,2014-05-04 19:00:00,109,154,103,2.555,22,30
040001,2014-05-04 20:00:00,103,180,113,2.144,8,27
040001,2014-05-04 21:00:00,102,157,110,2.077,5,27
040001,2014-05-04 22:00:00,102,157,110,2.077,5,27
040001,2014-05-04 23:00:00,48,98,87,2.026,6,22
040001,2014-05-05 00:00:00,22,43,48,1.643,27,15
040001,2014-05-05 01:00:00,13,,34,3.162,50,11
040001,2014-05-05 02:00:00,12,,54,1.363,48,151
040001,2014-05-05 03:00:00,12,,16,1.363,142,9
040001,2014-05-05 04:00:00,12,,14,1.364,61,8
040001,2014-05-05 05:00:00,13,,15,1.334,65,7
040001,2014-05-05 06:00:00,14,,16,1.316,68,7
040001,2014-05-05 07:00:00,14,,18,1.48,64,8
040001,2014-05-05 08:00:00,13,,25,1.732,67,8
040001,2014-05-05 09:00:00,13,13,31,1.757,66,9
040001,2014-05-05 10:00:00,12,15,32,1.614,67,10
040001,2014-05-05 11:00:00,14,23,32,1.56,66,12
040001,2014-05-05 12:00:00,15,22,30,1.543,69,11
040001,2014-05-05 13:00:00,16,24,29,1.618,71,9
040001,2014-05-05 14:00:00,16,24,29,1.618,71,9
040001,2014-05-05 15:00:00,15,26,38,1.739,58,11
