sid,time,pm25,pm10,no2,co,o3,so2
042001,2014-05-01 00:00:00,64,74,74,1.335,29,20
042001,2014-05-01 01:00:00,44,,62,1.113,27,14
042001,2014-05-01 02:00:00,43,,65,1.188,27,18
042001,2014-05-01 03:00:00,43,,63,1.197,27,16
042001,2014-05-01 04:00:00,45,,61,1.223,24,12
042001,2014-05-01 05:00:00,44,46,58,1.086,30,9
042001,2014-05-01 06:00:00,39,44,51,1.18,24,11
042001,2014-05-01 07:00:00,36,,48,1.088,25,12
042001,2014-05-01 08:00:00,33,,36,1.039,28,14
042001,2014-05-01 09:00:00,34,,41,0.977,29,15
042001,2014-05-01 10:00:00,39,41,36,0.996,33,16
042001,2014-05-01 11:00:00,42,50,37,1.224,36,14
042001,2014-05-01 12:00:00,41,45,33,1.168,41,12
042001,2014-05-01 13:00:00,37,41,28,1.008,55,8
042001,2014-05-01 14:00:00,38,59,28,1.368,59,10
042001,2014-05-01 15:00:00,39,62,31,1.287,69,10
042001,2014-05-01 16:00:00,42,51,39,1.086,64,9
042001,2014-05-01 17:00:00,44,71,41,1.071,63,8
042001,2014-05-01 18:00:00,44,72,41,1.122,63,7
042001,2014-05-01 19:00:00,44,83,42,1.284,57,8
042001,2014-05-01 20:00:00,42,81,41,1.218,54,8
042001,2014-05-01 21:00:00,44,81,42,1.233,50,10
042001,2014-05-01 22:00:00,45,86,38,1.238,47,11
042001,2014-05-01 23:00:00,47,83,42,1.237,41,11
042001,2014-05-02 00:00:00,49,63,36,1.322,42,13
042001,2014-05-02 01:00:00,39,55,34,1.39,46,9
042001,2014-05-02 02:00:00,23,,15,1.139,72,3
042001,2014-05-02 03:00:00,24,,15,1.067,68,3
042001,2014-05-02 04:00:00,23,,14,1.191,66,3
042001,2014-05-02 05:00:00,23,,16,1.07,68,3
042001,2014-05-02 06:00:00,21,,16,1.072,68,3
042001,2014-05-02 07:00:00,20,20,18,0.927,65,5
042001,2014-05-02 08:00:00,19,27,20,1.074,61,5
042001,2014-05-02 09:00:00,19,21,32,1.106,52,9
042001,2014-05-02 10:00:00,19,30,36,0.913,52,11
042001,2014-05-02 11:00:00,20,24,29,1.044,60,8
042001,2014-05-02 12:00:00,20,24,29,1.044,60,8
042001,2014-05-02 13:00:00,21,35,31,1.136,67,9
042001,2014-05-02 14:00:00,19,33,22,0.921,99,7
042001,2014-05-02 15:00:00,19,33,22,0.921,99,7
042001,2014-05-02 16:00:00,18,30,18,1.16,112,8
042001,2014-05-02 17:00:00,19,46,22,0.864,126,13
042001,2014-05-02 18:00:00,18,58,31,1.186,102,7
042001,2014-05-02 19:00:00,18,27,27,1.235,89,8
042001,2014-05-02 20:00:00,19,71,39,1.216,72,9
042001,2014-05-02 21:00:00,20,60,48,1.099,61,9
042001,2014-05-02 22:00:00,22,63,46,1.119,59,8
042001,2014-05-02 23:00:00,23,52,49,1.114,59,8
042001,2014-05-03 00:00:00,23,35,43,1.147,54,8
042001,2014-05-03 01:00:00,25,65,44,1.23,47,8
042001,2014-05-03 02:00:00,27,38,39,1.324,50,7
042001,2014-05-03 03:00:00,24,,26,1.212,69,10
042001,2014-05-03 04:00:00,21,31,23,1.16,73,11
042001,2014-05-03 05:00:00,21,49,30,1.267,63,20
042001,2014-05-03 06:00:00,27,73,41,1.079,41,13
042001,2014-05-03 07:00:00,26,43,41,1.116,45,13
042001,2014-05-03 08:00:00,22,,46,0.995,55,16
042001,2014-05-03 09:00:00,19,42,46,1.114,66,17
042001,2014-05-03 10:00:00,18,32,33,1.151,85,9
042001,2014-05-03 11:00:00,18,38,27,0.766,99,9
042001,2014-05-03 12:00:00,17,46,26,0.672,99,9
042001,2014-05-03 13:00:00,17,46,26,0.672,99,9
042001,2014-05-03 14:00:00,17,59,19,0.842,108,5
042001,2014-05-03 15:00:00,22,117,15,0.946,124,7
042001,2014-05-03 16:00:00,22,117,15,0.946,124,7
042001,2014-05-03 17:00:00,23,112,18,1.049,106,5
042001,2014-05-03 18:00:00,24,140,25,0.894,97,5
042001,2014-05-03 19:00:00,24,88,24,1.233,102,4
042001,2014-05-03 20:00:00,27,110,29,1.203,98,6
042001,2014-05-03 21:00:00,27,124,16,0.974,98,3
042001,2014-05-03 22:00:00,29,115,11,1.132,98,3
042001,2014-05-03 23:00:00,31,80,10,1.126,90,3
042001,2014-05-04 00:00:00,30,50,8,1.071,89,3
042001,2014-05-04 01:00:00,30,45,10,1.132,89,3
042001,2014-05-04 02:00:00,30,42,9,1.083,92,2
042001,2014-05-04 03:00:00,30,52,9,1.15,92,3
042001,2014-05-04 04:00:00,29,,10,1.041,93,3
042001,2014-05-04 05:00:00,28,52,10,1.047,86,3
042001,2014-05-04 06:00:00,27,36,12,1.024,88,4
042001,2014-05-04 07:00:00,26,35,15,1.064,88,4
042001,2014-05-04 08:00:00,26,38,25,0.931,78,6
042001,2014-05-04 09:00:00,25,50,32,1.028,73,5
042001,2014-05-04 10:00:00,23,,35,0.974,74,7
042001,2014-05-04 11:00:00,22,24,36,0.997,72,5
042001,2014-05-04 12:00:00,21,39,27,1.094,83,3
042001,2014-05-04 13:00:00,19,53,26,1.06,86,4
042001,2014-05-04 14:00:00,16,152,21,1.027,91,3
042001,2014-05-04 15:00:00,16,36,23,1.023,89,2
042001,2014-05-04 16:00:00,15,47,27,1.101,83,3
042001,2014-05-04 17:00:00,14,52,26,1.09,74,3
042001,2014-05-04 18:00:00,12,55,27,0.906,60,2
042001,2014-05-04 19:00:00,13,41,38,1.229,44,6
042001,2014-05-04 20:00:00,12,41,29,1.125,36,2
042001,2014-05-04 21:00:00,13,13,23,1.104,36,2
042001,2014-05-04 22:00:00,13,14,21,1.094,36,2
042001,2014-05-04 23:00:00,17,23,49,1.073,26,4
042001,2014-05-05 00:00:00,20,24,45,1.145,31,4
042001,2014-05-05 01:00:00,22,,48,1.212,31,4
042001,2014-05-05 02:00:00,17,54,24,1.224,62,4
042001,2014-05-05 03:00:00,14,,13,1.175,74,4
042001,2014-05-05 04:00:00,15,,19,1.173,57,8
042001,2014-05-05 05:00:00,16,,17,0.799,61,9
042001,2014-05-05 06:00:00,17,,16,1.023,67,11
042001,2014-05-05 07:00:00,17,18,17,0.975,63,11
042001,2014-05-05 08:00:00,16,,21,0.944,61,11
042001,2014-05-05 09:00:00,15,,27,1.052,61,13
042001,2014-05-05 10:00:00,14,19,33,0.935,64,14
042001,2014-05-05 11:00:00,14,33,25,1.106,82,11
042001,2014-05-05 12:00:00,15,31,27,1.052,86,13
042001,2014-05-05 13:00:00,17,26,30,1.2,90,15
042001,2014-05-05 14:00:00,17,26,30,1.2,90,15
042001,2014-05-05 15:00:00,19,32,39,1.115,83,14
042001,2014-05-05 16:00:00,20,50,39,1.109,78,16
042001,2014-05-05 17:00:00,19,50,41,0.82,67,14
042001,2014-05-05 18:00:00,20,46,47,0.805,54,12
042001,2014-05-05 19:00:00,21,40,51,1.095,46,9
042001,2014-05-05 20:00:00,19,19,40,1.096,49,7
042001,2014-05-05 21:00:00,19,23,38,0.999,45,9
042001,2014-05-05 22:00:00,18,23,36,1.015,43,12
042001,2014-05-05 23:00:00,18,,31,0.947,45,7
042001,2014-05-06 00:00:00,19,,35,0.979,40,7
042001,2014-05-06 01:00:00,19,23,33,0.979,36,8
042001,2014-05-06 02:00:00,17,,32,0.902,37,10
042001,2014-05-06 03:00:00,16,,27,1.135,39,6
042001,2014-05-06 04:00:00,18,,24,1.197,39,6
042001,2014-05-06 05:00:00,21,,22,1.127,45,6
042001,2014-05-06 06:00:00,19,,23,1.024,44,5
042001,2014-05-06 07:00:00,16,,26,1.114,43,4
042001,2014-05-06 08:00:00,15,17,28,1.066,40,4
042001,2014-05-06 09:00:00,14,30,35,0.968,37,4
042001,2014-05-06 10:00:00,15,22,33,0.855,39,4
042001,2014-05-06 11:00:00,16,28,27,0.93,47,5
042001,2014-05-06 12:00:00,16,17,31,1.103,47,9
042001,2014-05-06 13:00:00,16,31,34,1.078,50,19
042001,2014-05-06 14:00:00,17,26,35,1.081,51,17
042001,2014-05-06 15:00:00,18,31,46,1.124,49,12
042001,2014-05-06 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
042001,2014-05-06 17:00:00,20,36,52,1.032,52,7
042001,2014-05-06 18:00:00,21,,56,1.022,49,7
042001,2014-05-06 19:00:00,25,36,58,1.056,48,8
042001,2014-05-06 20:00:00,27,36,55,1.112,49,5
042001,2014-05-06 21:00:00,30,60,46,1.038,46,7
042001,2014-05-06 22:00:00,33,55,44,1.191,45,8
042001,2014-05-06 23:00:00,33,39,39,1.091,45,11
042001,2014-05-07 00:00:00,33,,32,0.921,50,12
042001,2014-05-07 01:00:00,34,36,35,0.828,44,13
042001,2014-05-07 02:00:00,35,37,30,0.891,45,6
042001,2014-05-07 03:00:00,37,37,32,1.038,44,8
042001,2014-05-07 04:00:00,34,,27,0.942,43,6
042001,2014-05-07 05:00:00,31,36,21,1.012,52,5
042001,2014-05-07 06:00:00,28,32,18,1.166,60,3
042001,2014-05-07 07:00:00,23,36,25,0.919,63,4
042001,2014-05-07 08:00:00,18,34,29,1.037,65,3
042001,2014-05-07 09:00:00,17,42,37,1.005,59,10
042001,2014-05-07 10:00:00,17,19,38,1.05,50,7
042001,2014-05-07 11:00:00,18,,41,1.079,42,5
042001,2014-05-07 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
042001,2014-05-07 13:00:00,15,38,,1.185,56,5
042001,2014-05-07 14:00:00,14,15,44,1.175,51,5
042001,2014-05-07 15:00:00,17,62,46,0.937,53,5
042001,2014-05-07 16:00:00,18,22,46,1.11,54,6
042001,2014-05-07 17:00:00,22,36,44,1.189,54,9
042001,2014-05-07 18:00:00,30,65,55,1.219,55,7
042001,2014-05-07 19:00:00,33,59,60,1.235,58,5
042001,2014-05-07 20:00:00,34,58,54,0.966,51,11
042001,2014-05-07 21:00:00,39,79,73,1.11,35,17
042001,2014-05-07 22:00:00,39,67,88,1.251,23,18
042001,2014-05-07 23:00:00,40,66,84,1.131,23,12
042001,2014-05-08 00:00:00,41,70,79,1.304,25,24
042001,2014-05-08 01:00:00,42,72,69,1.287,33,13
042001,2014-05-08 02:00:00,43,59,55,0.911,36,32
042001,2014-05-08 03:00:00,42,,56,0.928,25,9
042001,2014-05-08 04:00:00,36,,56,1.199,24,5
042001,2014-05-08 05:00:00,35,,59,1.181,22,6
042001,2014-05-08 06:00:00,32,38,69,1.094,25,6
042001,2014-05-08 07:00:00,31,51,67,1.19,27,6
042001,2014-05-08 08:00:00,28,74,59,1.322,34,4
042001,2014-05-08 09:00:00,25,36,53,1.239,31,5
042001,2014-05-08 10:00:00,27,70,51,1.262,38,9
042001,2014-05-08 11:00:00,29,58,56,1.177,39,11
042001,2014-05-08 12:00:00,29,76,57,1.165,40,11
042001,2014-05-08 13:00:00,28,79,60,1.443,46,10
042001,2014-05-08 14:00:00,27,88,64,1.013,41,8
042001,2014-05-08 15:00:00,24,56,56,1.222,44,5
042001,2014-05-08 16:00:00,19,27,44,1.06,53,3
042001,2014-05-08 17:00:00,15,53,26,1.32,68,3
