did,time,weather,temperature,pressure,humidity,wind_speed,wind_direction
00401,2014-05-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
00401,2014-05-01 01:00:00,,18.9,988.9,99,3.5,14
00401,2014-05-01 02:00:00,,19,988.9,99,2.3,14
00401,2014-05-01 03:00:00,,19.1,988.2,99,2.8,14
00401,2014-05-01 04:00:00,,19.2,988.1,98,2.2,14
00401,2014-05-01 05:00:00,,19.1,988.1,98,3,14
00401,2014-05-01 06:00:00,,18.8,989,98,2.5,4
00401,2014-05-01 07:00:00,,18.5,989.7,98,2.5,4
00401,2014-05-01 08:00:00,,18.5,989.9,99,3.2,14
00401,2014-05-01 09:00:00,,19,990.6,98,2.3,14
00401,2014-05-01 10:00:00,,20.8,990.9,93,1.5,14
00401,2014-05-01 11:00:00,,21.9,990.9,90,1.5,4
00401,2014-05-01 12:00:00,,22.5,990.6,85,2.4,14
00401,2014-05-01 13:00:00,,22.7,990,82,2.7,14
00401,2014-05-01 14:00:00,,23.6,989.5,80,1.6,14
00401,2014-05-01 15:00:00,,23.3,988.9,82,1.4,14
00401,2014-05-01 16:00:00,,23.1,988.7,82,2.2,14
00401,2014-05-01 17:00:00,,22.7,988.5,83,2.9,14
00401,2014-05-01 18:00:00,,22.4,988.8,85,2.7,14
00401,2014-05-01 19:00:00,,22.1,989.2,86,3.3,14
00401,2014-05-01 20:00:00,,21.9,990.1,89,2.7,14
00401,2014-05-01 21:00:00,,21.7,990.9,90,2.7,14
00401,2014-05-01 22:00:00,,21.8,991.9,90,1.7,1
00401,2014-05-01 23:00:00,NULL,NULL,NULL,NULL,NULL,NULL
00401,2014-05-02 00:00:00,,21.6,992,91,1.7,1
00401,2014-05-02 01:00:00,,21.5,991.7,90,2.8,13
00401,2014-05-02 02:00:00,,21.3,991,91,2,1
00401,2014-05-02 03:00:00,,21.3,990.9,89,1.1,1
00401,2014-05-02 04:00:00,,20.9,990.8,91,2.3,14
00401,2014-05-02 05:00:00,,20.5,990.9,94,1.2,14
00401,2014-05-02 06:00:00,,20.7,991.3,93,2.3,14
00401,2014-05-02 07:00:00,,21,992.1,93,1.3,4
00401,2014-05-02 08:00:00,,22.7,993,89,1.4,14
00401,2014-05-02 09:00:00,,22.6,993,86,3.7,14
00401,2014-05-02 10:00:00,,22.5,993.2,85,3.5,14
00401,2014-05-02 11:00:00,,24.2,993.1,76,3.5,14
00401,2014-05-02 12:00:00,,24.8,993,75,3,14
00401,2014-05-02 13:00:00,,27.8,992.4,67,1.8,1
00401,2014-05-02 14:00:00,,27,991.8,71,1.2,4
00401,2014-05-02 15:00:00,,27.2,991.1,71,1.1,2
00401,2014-05-02 16:00:00,,25.7,990.4,76,0.8,23
00401,2014-05-02 17:00:00,,25.6,990.3,77,0.5,23
00401,2014-05-02 18:00:00,,24.5,990.6,79,1.2,23
00401,2014-05-02 19:00:00,,23.7,991.4,82,1.4,23
00401,2014-05-02 20:00:00,,23.4,992,84,2.7,3
00401,2014-05-02 21:00:00,,23.4,992.8,82,1.7,13
00401,2014-05-02 22:00:00,,23.1,993.6,82,1.9,13
00401,2014-05-02 23:00:00,,22.5,993.5,85,1.9,1
00401,2014-05-03 00:00:00,,22.3,993.2,85,1.6,1
00401,2014-05-03 01:00:00,,22.1,992.8,85,2.8,14
00401,2014-05-03 02:00:00,,22,992.2,84,3.3,14
00401,2014-05-03 03:00:00,,22.2,991.7,82,3.6,14
00401,2014-05-03 04:00:00,,22.4,991.4,79,3,14
00401,2014-05-03 05:00:00,,21.8,991.3,87,2.6,14
00401,2014-05-03 06:00:00,,22.2,991.5,81,4.6,14
00401,2014-05-03 07:00:00,,22.3,992,83,4,14
00401,2014-05-03 08:00:00,,23,992.7,82,2.1,14
00401,2014-05-03 09:00:00,,25.9,992.7,70,1.8,14
00401,2014-05-03 10:00:00,,27.6,992.7,52,3.1,1
00401,2014-05-03 11:00:00,,28.1,992.2,45,3.4,1
00401,2014-05-03 12:00:00,,29,991.6,46,3.8,1
00401,2014-05-03 13:00:00,,30.1,991.1,50,2.1,1
00401,2014-05-03 14:00:00,,28.7,990.6,51,2.6,13
00401,2014-05-03 15:00:00,,28.8,989.9,51,3.2,13
00401,2014-05-03 16:00:00,,27.3,989.4,55,4.3,1
00401,2014-05-03 17:00:00,,26.2,989.6,58,3.9,1
00401,2014-05-03 18:00:00,,25.2,990,64,3.5,13
00401,2014-05-03 19:00:00,,24,990.3,72,3.3,1
00401,2014-05-03 20:00:00,NULL,NULL,NULL,NULL,NULL,NULL
00401,2014-05-03 21:00:00,,22.8,990.9,79,4.9,1
00401,2014-05-03 22:00:00,,22.9,991.4,77,4.6,1
00401,2014-05-03 23:00:00,,22.7,991.6,81,4.6,1
00401,2014-05-04 00:00:00,,22.3,990.9,83,3.6,1
00401,2014-05-04 01:00:00,NULL,NULL,NULL,NULL,NULL,NULL
00401,2014-05-04 02:00:00,,21.7,990,84,3.2,1
00401,2014-05-04 03:00:00,,21.7,989.2,81,4.3,1
00401,2014-05-04 04:00:00,,21.7,988.9,81,4.4,1
00401,2014-05-04 05:00:00,,21.6,989.1,82,4.2,1
00401,2014-05-04 06:00:00,,21.4,989,84,2.1,14
00401,2014-05-04 07:00:00,,21.4,989,85,4.5,1
00401,2014-05-04 08:00:00,,22.1,989.1,85,3.4,14
00401,2014-05-04 09:00:00,,22.5,989.4,86,4.4,1
00401,2014-05-04 10:00:00,,21.2,989.8,96,2.2,1
00401,2014-05-04 11:00:00,,21.2,989.3,98,4.2,14
00401,2014-05-04 12:00:00,,21.4,989,97,3.9,1
00401,2014-05-04 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
00401,2014-05-04 14:00:00,,23.7,987.3,90,2.1,1
00401,2014-05-04 15:00:00,,22.9,987.1,90,2.3,1
00401,2014-05-04 16:00:00,,23,987.1,96,0.8,14
00401,2014-05-04 17:00:00,,22.4,986.9,97,2.1,1
00401,2014-05-04 18:00:00,NULL,NULL,NULL,NULL,NULL,NULL
00401,2014-05-04 19:00:00,,21.8,987.4,98,2.6,1
00401,2014-05-04 20:00:00,,21.9,988.2,97,2.2,1
00401,2014-05-04 21:00:00,NULL,NULL,NULL,NULL,NULL,NULL
00401,2014-05-04 22:00:00,,22.3,989.8,96,3.2,14
00401,2014-05-04 23:00:00,,22.2,990.3,96,3.1,14
