sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
017001,8,15,0,33,5,3,16,4,15,25
017002,14,10,0,44,2,3,19,5,21,16
017003,12,17,0,63,7,5,25,5,28,36
017004,7,8,0,54,20,6,25,4,24,30
017005,6,0,0,45,6,4,16,3,19,14
017006,14,8,0,34,4,2,21,4,24,10
017007,4,0,0,1,0,0,6,0,3,2
017008,12,7,0,44,6,3,21,5,24,13
017009,0,0,0,2,0,1,1,0,0,11
017010,1,1,0,6,0,8,5,0,2,4
017011,3,1,0,12,1,9,15,1,9,13
017012,0,0,0,2,0,3,4,1,2,9
017013,1,1,0,1,0,0,4,0,2,8
017014,1,0,0,0,0,0,0,0,1,2
017015,1,0,0,10,0,0,3,1,3,5
017017,0,1,0,0,0,0,0,0,3,2
017018,0,1,0,1,0,4,0,0,0,3
017019,0,0,0,2,0,0,2,0,3,6
017020,0,0,0,2,0,0,0,2,0,5
017021,1,0,0,1,0,1,0,0,1,2
017022,1,0,0,1,0,0,2,1,5,5
017023,0,0,0,0,0,0,0,0,0,1
017024,0,1,0,3,0,0,0,0,2,2
017025,0,0,0,0,0,0,1,0,1,7
017026,0,0,0,1,0,0,1,0,1,1
017027,0,0,0,2,0,0,0,1,0,5
017028,0,0,0,0,0,0,0,0,0,1
