sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
001001,4,3,0,29,0,40,27,7,8,16
001002,8,1,0,34,0,38,16,2,2,11
001003,6,0,0,42,4,1,30,9,14,18
001004,8,2,0,38,2,24,14,9,21,37
001005,6,9,0,35,1,2,10,5,10,22
001006,6,17,0,99,5,16,12,7,19,15
001007,6,3,0,49,2,12,22,0,13,7
001008,2,2,0,56,2,1,8,3,14,11
001009,2,0,0,60,1,5,23,2,19,17
001010,25,1,0,48,3,6,25,3,10,30
001011,3,3,0,41,0,3,7,5,26,24
001012,2,0,0,20,1,3,11,0,7,0
001013,4,0,0,54,10,2,16,1,19,15
001014,8,0,0,29,5,23,13,11,17,3
001015,8,3,0,57,1,4,35,3,30,9
001016,1,0,0,49,0,3,22,7,22,16
001017,4,4,0,54,0,14,62,7,15,19
001018,1,2,0,57,8,4,36,2,14,12
001019,4,2,0,75,0,2,15,5,25,6
001020,12,1,0,63,5,11,16,3,33,23
001021,5,1,0,51,5,4,8,1,11,15
001022,4,0,0,64,6,1,12,0,22,3
001023,3,0,0,74,4,1,2,1,18,5
001024,3,19,0,71,3,1,14,4,21,9
001025,3,2,0,38,0,13,27,19,9,16
001026,3,0,0,13,1,20,9,1,8,5
001027,4,7,0,50,1,21,18,1,16,8
001028,2,1,0,33,11,4,30,5,18,11
001029,17,1,0,34,0,48,5,4,2,38
001030,29,16,0,38,5,21,27,3,25,30
001031,30,2,0,25,0,39,1,3,2,40
001032,1,0,0,28,0,22,1,4,2,12
001033,4,0,0,15,1,9,11,1,9,6
001034,1,0,0,3,0,8,16,2,4,10
001035,26,2,0,22,7,9,11,3,18,22
001036,5,0,0,11,0,11,21,3,14,12
