sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
021001,1,3,0,46,3,4,13,5,16,14
021002,1,3,0,46,3,4,13,5,15,18
021003,1,3,0,47,4,4,12,5,15,15
021004,1,0,0,2,0,0,2,0,1,9
021005,0,0,0,2,0,0,2,0,0,5
021006,3,1,0,14,0,1,2,13,7,5
021007,0,1,0,2,0,0,1,1,1,10
021008,0,0,0,2,0,0,2,0,0,6
021009,0,0,0,4,0,0,0,0,0,4
021010,0,0,0,0,0,0,0,0,0,2
021011,1,0,0,2,0,0,1,0,0,4
021012,0,0,0,5,0,0,5,1,2,8
021013,0,0,0,4,0,0,4,1,3,6
021014,0,0,0,1,0,1,0,0,2,7
021015,0,0,0,0,0,0,1,0,0,1
021016,0,0,0,1,0,0,2,0,0,7
