sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
020001,7,1,0,55,1,13,6,4,5,41
020002,6,1,0,59,1,20,9,4,10,48
020003,5,0,0,45,1,16,6,1,9,34
020004,5,3,0,50,1,19,14,2,9,42
020005,2,1,0,53,1,16,6,4,5,39
020006,0,0,0,0,0,0,0,0,0,1
020007,1,0,0,0,0,0,0,0,0,4
020008,0,0,0,0,0,3,1,0,2,3
020009,0,0,0,8,0,1,0,0,0,3
020010,0,0,0,0,0,0,0,0,0,14
020011,0,0,0,0,0,0,0,0,0,1
020012,0,0,0,2,0,0,0,0,1,2
020013,0,0,0,0,0,0,1,0,0,0
020014,0,0,0,0,0,0,1,0,0,4
