sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
009016,12,1,0,77,4,23,24,2,26,27
009017,2,0,0,39,1,3,26,6,28,12
009018,6,1,0,110,1,4,22,3,39,12
009019,1,1,0,25,0,5,23,1,17,17
009020,5,1,0,78,8,1,11,0,22,7
009021,4,8,0,57,15,12,39,9,22,16
009022,5,6,0,63,6,11,53,0,14,39
009023,0,1,0,55,5,4,13,4,28,12
009024,3,2,0,106,14,5,9,3,15,14
009025,1,2,0,69,17,3,11,5,22,16
009026,0,6,0,6,0,2,17,2,9,11
009027,6,2,0,51,1,0,23,5,25,6
009028,6,4,0,116,1,0,9,3,24,15
009029,2,0,0,51,3,10,15,2,8,32
009030,0,1,0,42,6,3,25,9,14,28
009031,0,0,0,8,1,18,15,1,1,10
009032,5,0,0,47,2,5,15,8,18,0
009033,2,0,0,62,2,6,13,8,10,20
009034,13,0,0,40,0,10,22,0,22,11
009035,5,8,0,57,3,6,6,1,15,8
009036,1,0,0,54,2,7,28,1,12,14
009037,2,3,0,52,0,12,46,3,8,10
009038,9,9,0,42,0,14,54,0,14,7
009039,5,1,0,38,15,7,10,2,9,17
009040,7,0,0,50,4,0,12,4,13,26
009041,1,10,0,48,0,13,25,5,6,25
009042,3,1,0,83,6,13,21,11,39,22
009043,2,1,0,39,2,0,27,1,25,15
009044,2,0,0,126,5,2,13,6,23,19
009045,1,8,0,50,0,16,16,2,5,17
009046,1,1,0,34,1,6,13,1,8,131
009047,2,1,0,41,0,4,24,6,15,23
009058,1,8,0,48,0,13,27,5,6,25
009059,1,39,0,23,0,16,5,2,7,19
009060,2,0,0,60,7,30,37,9,12,40
009061,11,0,0,50,34,9,13,4,20,22
009062,6,13,0,39,0,11,27,5,8,17
009063,0,32,0,22,1,9,1,0,1,6
009064,5,0,0,49,2,10,37,6,22,22
009065,4,55,0,71,2,20,5,8,17,16
009066,3,1,0,36,0,11,29,5,5,16
009067,1,3,0,74,4,12,24,20,16,5
