sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
149001,11,5,0,44,7,3,4,4,36,2
149002,9,16,0,65,7,10,19,9,22,24
149003,4,0,0,113,5,7,11,0,25,16
149004,9,20,0,73,0,3,14,15,29,9
149005,6,19,0,57,0,18,16,3,19,12
149006,4,0,0,42,2,1,25,2,13,28
149007,7,4,0,113,3,5,15,6,27,17
149008,7,5,0,65,1,5,29,9,31,11
149009,2,3,0,70,0,3,11,2,16,25
149010,4,7,0,60,2,2,5,1,16,1
149011,6,22,0,53,0,4,39,13,32,25
149012,5,5,0,41,0,6,26,12,32,24
149013,1,0,0,2,0,8,2,0,0,4
149014,5,3,0,3,0,1,5,2,4,2
149015,6,3,0,47,0,2,32,4,24,14
