sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
022001,5,11,0,49,4,10,17,4,15,12
022002,4,2,0,65,6,5,7,4,12,13
022003,6,14,0,51,3,6,32,3,12,26
022004,2,15,0,41,2,7,18,4,10,10
022005,8,1,0,9,1,3,7,2,9,11
022006,1,0,0,12,0,4,9,4,5,12
022007,0,0,0,2,0,0,0,0,2,3
022008,1,0,0,12,1,4,19,4,6,10
022009,4,3,0,11,0,8,4,3,3,5
022010,0,0,0,4,0,3,8,3,6,1
022011,0,0,0,2,0,0,2,0,0,0
022012,0,0,0,1,0,0,0,0,1,0
