sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
004002,9,0,0,49,4,2,12,2,9,9
004003,5,2,0,51,7,23,15,13,18,16
004007,2,8,0,41,4,13,24,4,8,16
004008,1,0,0,36,3,4,11,0,23,13
004009,0,0,0,54,0,3,27,7,23,21
004011,21,13,0,62,0,16,26,10,19,30
004014,5,1,0,47,2,15,25,2,12,10
004017,4,0,0,68,3,2,12,7,19,15
004018,2,1,0,37,8,30,9,3,3,47
004019,5,0,0,95,7,8,14,4,23,10
004020,3,3,0,57,6,28,27,5,5,61
