sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
011001,5,4,0,60,4,2,15,2,15,14
011002,10,10,0,49,6,3,22,7,16,23
011003,3,2,0,37,6,3,20,7,23,24
011004,2,1,0,35,4,2,28,3,23,20
011005,9,3,0,60,10,3,16,1,38,22
011006,16,12,0,38,2,16,31,9,25,17
011007,1,5,0,16,1,4,29,7,17,23
011008,0,0,0,0,0,5,0,0,0,0
011009,6,9,0,57,3,14,43,8,25,32
011010,5,5,0,5,0,8,14,2,7,13
011011,1,0,0,2,0,1,3,1,1,5
011012,2,0,0,0,0,0,2,0,1,1
011013,0,0,0,0,0,0,0,0,2,3
011014,1,1,0,5,1,1,1,1,4,26
011015,0,0,0,0,0,0,1,0,0,0
011017,3,0,0,2,0,4,0,0,0,0
011018,0,0,0,0,0,0,2,0,0,3
011019,0,0,0,0,0,1,2,0,0,2
011020,0,0,0,0,0,0,1,0,0,3
011021,0,0,0,0,0,3,1,0,1,2
011022,0,0,0,0,0,3,0,0,0,2
011023,2,0,0,3,0,0,0,0,1,5
011024,0,0,0,0,0,0,0,0,0,4
011025,0,0,0,0,0,0,0,0,1,1
