sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
013001,6,1,0,63,10,0,6,7,32,9
013002,5,2,0,49,5,4,6,2,35,6
013003,9,5,0,44,6,10,22,5,43,17
013004,5,7,0,42,11,12,13,1,32,11
013005,7,4,0,37,6,16,27,4,47,21
013006,2,1,0,28,3,18,18,0,24,16
013007,0,0,0,4,0,1,1,0,0,0
013008,8,5,0,54,6,15,28,4,58,21
013009,4,2,0,48,4,4,11,4,24,26
013010,0,0,0,6,3,1,15,1,0,14
013011,0,0,0,0,0,1,0,0,0,1
013012,0,0,0,0,0,0,1,0,0,2
013013,0,0,0,8,0,1,2,1,7,4
013014,0,1,0,6,2,2,2,0,3,7
013015,0,2,0,9,0,0,1,1,7,1
013016,0,0,0,1,0,0,2,0,1,5
013017,0,0,0,0,0,0,0,0,1,2
013018,0,0,0,4,0,0,0,1,1,2
