sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
006001,1,12,0,27,1,9,31,9,29,15
006002,2,30,0,51,1,3,55,3,16,19
006003,11,21,0,45,9,3,24,4,12,8
006004,1,0,0,105,5,7,14,7,39,9
006005,1,0,0,80,5,4,3,0,19,3
006006,1,1,0,84,3,5,15,3,40,12
006007,2,4,0,58,0,7,41,7,22,10
006008,2,7,0,35,1,0,20,10,27,34
006010,3,1,0,101,3,4,15,3,34,8
006011,3,16,0,45,3,8,19,20,8,24
006012,2,19,0,37,1,2,31,0,17,9
006013,0,0,0,39,5,3,20,1,22,18
006014,8,15,0,47,6,7,27,4,22,15
006015,5,0,0,12,1,11,5,0,4,16
006016,0,0,0,19,0,2,11,0,4,10
006017,0,1,0,5,0,4,1,1,1,6
006019,8,2,0,8,2,9,25,1,4,14
006020,6,1,0,11,1,7,28,8,1,12
006021,0,0,0,1,0,1,1,0,0,0
006022,7,3,0,96,13,9,27,7,25,11
006023,6,0,0,57,0,3,14,8,26,8
006024,5,23,0,19,0,2,4,1,4,10
006025,0,1,0,6,0,2,8,2,3,5
006026,3,2,0,12,0,5,19,4,12,5
006027,3,1,0,33,1,0,27,6,23,14
006028,11,22,0,43,10,2,22,3,13,8
006040,3,1,0,31,1,0,29,4,22,18
