sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
010001,0,2,0,25,3,1,46,0,24,13
010003,13,2,0,25,1,3,62,2,55,5
010004,2,3,0,87,7,4,25,5,55,5
010005,7,2,0,38,0,4,35,7,38,10
010006,6,0,0,68,2,5,23,7,47,12
010007,1,1,0,33,2,2,20,22,26,13
010008,4,2,0,62,1,5,43,7,26,8
010009,0,7,0,33,2,5,28,14,16,10
010010,1,1,0,28,0,4,11,11,15,8
010011,3,0,0,75,4,6,56,5,45,5
010012,2,3,0,50,1,7,28,9,72,15
010013,1,0,0,139,7,3,10,6,25,8
010014,1,0,0,25,4,85,6,5,4,17
010015,3,0,0,21,1,2,62,1,54,7
010016,1,0,0,1,0,3,5,0,0,0
