sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
019001,2,1,0,16,2,3,5,5,12,15
019002,2,2,0,24,3,6,8,5,13,23
019003,2,2,0,25,3,7,8,7,11,17
019004,2,2,0,24,7,5,7,6,13,19
019005,2,2,0,24,3,5,9,5,14,23
019006,2,0,0,9,3,0,3,0,6,6
019007,0,0,0,0,0,2,5,0,0,5
019008,0,0,0,0,0,0,0,0,0,1
019009,1,0,0,4,1,1,3,1,1,6
019010,0,0,0,0,0,1,0,0,1,2
019011,0,0,0,5,0,2,1,0,1,7
019012,2,0,0,0,0,0,0,0,0,2
019013,0,0,0,0,0,0,0,1,0,0
019014,5,0,0,5,0,2,2,0,0,4
019016,1,0,0,33,2,5,2,4,9,18
019017,1,1,0,14,1,2,2,1,1,9
019018,0,0,0,0,0,0,1,0,0,4
019019,0,0,0,1,0,1,0,3,0,6
019020,1,0,0,2,1,1,0,0,0,3
