sid,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
151002,1,1,0,10,1,6,12,2,10,10
151003,27,5,0,32,8,4,3,3,5,16
151004,8,9,0,60,7,3,9,3,23,57
151005,5,6,0,39,4,2,14,6,27,20
151006,5,10,0,45,7,5,15,8,43,21
151007,0,0,0,100,0,4,7,0,0,10
151008,0,0,0,106,0,2,1,0,0,14
151009,3,4,0,8,0,5,11,3,7,13
151010,3,5,0,8,0,5,11,3,5,12
151011,7,0,0,8,3,4,3,4,1,17
151012,13,11,0,59,16,5,29,10,24,32
151013,10,12,0,61,4,5,23,9,46,29
