sid,motorway,trunk,others
001001,0,0,22
001002,0,0,337
001003,0,1,108
001004,0,0,23
001005,14,0,56
001006,0,21,219
001007,0,13,245
001008,0,17,329
001009,0,11,191
001010,0,8,294
001011,0,14,258
001012,0,15,267
001013,0,5,292
001014,0,18,415
001015,0,20,352
001016,0,17,110
001017,6,0,48
001018,0,0,153
001019,0,2,33
001020,0,0,472
001021,0,0,676
001022,0,4,218
001023,0,0,119
001024,0,0,95
001025,8,7,114
001026,0,0,64
001027,0,0,91
001028,0,0,70
001029,0,0,161
001030,0,0,26
001031,7,0,86
001032,0,0,3
001033,6,0,1
001034,0,0,33
001035,10,0,19
001036,0,1,30
