sid,motorway,trunk,others
009016,0,39,507
009017,0,21,459
009018,0,4,745
009019,0,21,650
009020,0,50,627
009021,4,9,268
009022,16,13,119
009023,0,26,141
009024,0,0,146
009025,0,0,87
009026,0,0,21
009027,0,39,407
009028,0,8,355
009029,0,4,22
009030,2,0,39
009031,0,0,9
009032,0,0,67
009033,0,9,88
009034,0,0,48
009035,8,11,91
009036,0,0,156
009037,0,0,112
009038,14,0,102
009039,0,0,97
009040,0,7,125
009041,0,0,242
009042,8,9,76
009043,0,0,197
009044,0,14,323
009045,0,0,14
009046,0,0,45
009047,0,0,231
009058,0,0,252
009059,0,0,2
009060,0,0,20
009061,0,5,210
009062,0,0,26
009063,0,0,19
009064,2,19,138
009065,0,0,60
009066,0,0,37
009067,0,0,34
