sid,lat,lon,did,gid
017001,38.871000,115.521000,01701,
017002,38.841999,115.461000,01702,
017003,38.896000,115.522000,01701,
017004,38.911000,115.471000,01703,
017005,38.875999,115.441999,01703,
017006,38.863000,115.492999,01701,
017007,38.954999,115.328999,01704,
017008,38.771000,115.496000,01705,
017009,39.024999,115.662000,01706,
017010,38.942000,115.941999,01707,
017011,39.491999,116.034000,01708,
017012,39.332000,115.880000,01709,
017013,39.347000,115.479000,01716,
017014,38.850000,115.150000,01719,
017015,39.048000,115.867999,01713,
017017,38.747999,114.976000,01711,
017018,38.981999,116.090000,01720,
017019,39.268999,115.813999,01724,
017020,39.359000,114.697999,01714,
017021,38.619999,114.724999,01717,
017022,39.109000,116.029000,01709,
017023,38.850999,114.194000,01710,
017024,38.427999,115.322000,01722,
017025,39.393000,115.712999,01723,
017026,38.692000,115.764000,01712,
017027,38.704999,115.160000,01715,
017028,38.453000,115.462000,01726,
