sid,lat,lon,did,gid
001001,40.090679,116.173553,00101,NULL
001002,40.003950,116.205310,00101,NULL
001003,39.914409,116.184239,00102,NULL
001004,39.815128,116.171150,00103,NULL
001005,39.742767,116.136045,00104,NULL
001006,39.987313,116.287451,00101,NULL
001007,39.982053,116.397400,00105,NULL
001008,39.954047,116.348991,00101,NULL
001009,39.878193,116.351974,00106,NULL
001010,39.876184,116.394009,00103,NULL
001011,39.855958,116.367810,00103,NULL
001012,39.937119,116.460742,00105,NULL
001013,39.929287,116.416883,00107,NULL
001014,39.939554,116.483746,00105,NULL
001015,39.929302,116.351029,00106,NULL
001016,39.863470,116.279082,00103,NULL
001017,39.718147,116.406155,00108,NULL
001018,39.794491,116.506319,00108,NULL
001019,39.885241,116.664162,00109,NULL
001020,39.886491,116.407355,00107,NULL
001021,39.899135,116.395383,00107,NULL
001022,39.920993,116.443448,00105,NULL
001023,40.127000,116.655000,00110,NULL
001024,40.216999,116.230000,00111,NULL
001025,39.936999,116.105999,00112,NULL
001026,40.143000,117.099999,00113,NULL
001027,40.328000,116.628000,00114,NULL
001028,40.369999,116.831999,00115,NULL
001029,40.453000,115.971999,00116,NULL
001030,40.292000,116.220000,00111,NULL
001031,40.365000,115.988000,00116,NULL
001032,40.499000,116.911000,00115,NULL
001033,40.100000,117.120000,00113,NULL
001034,39.712000,116.783000,00109,NULL
001035,39.520000,116.300000,00108,NULL
001036,39.579999,116.000000,00104,NULL
