sid,lat,lon,did,gid
021001,38.323000,116.871000,02102,NULL
021002,38.298999,116.885000,02101,NULL
021003,38.325000,116.858000,02102,NULL
021004,38.588999,116.810000,02103,NULL
021005,38.088999,116.584999,02104,NULL
021006,38.737000,116.119000,02105,NULL
021007,38.377000,117.337000,02106,NULL
021008,38.036000,116.712000,02111,NULL
021009,38.438000,116.113000,02115,NULL
021010,38.143000,117.492999,02108,NULL
021011,38.423000,115.822999,02110,NULL
021012,38.055999,117.125000,02114,NULL
021013,38.064000,117.236999,02109,NULL
021014,37.630000,116.395000,02112,NULL
021015,38.189000,116.117000,02113,NULL
021016,37.872000,116.533000,02107,NULL
