sid,lat,lon,did,gid
020001,40.915999,117.965999,02001,NULL
020002,40.972999,117.818000,02002,NULL
020003,40.984000,117.952000,02001,NULL
020004,41.011000,117.938000,02001,NULL
020005,40.936000,117.962999,02001,NULL
020006,40.774999,118.170000,02003,NULL
020007,40.423000,117.507000,02004,NULL
020008,40.948999,117.343999,02005,NULL
020009,41.215000,116.652000,02006,NULL
020010,41.310000,117.733000,02008,NULL
020011,40.552000,117.669000,02003,NULL
020012,41.956000,117.771000,02010,NULL
020013,40.612000,118.480000,02009,NULL
020014,41.017000,118.699000,02007,NULL
