sid,lat,lon,did,gid
009016,23.141190,113.258374,00903,NULL
009017,23.142227,113.234686,00902,NULL
009018,23.104960,113.261174,00904,NULL
009019,23.133056,113.259722,00901,NULL
009020,23.131667,113.322039,00903,NULL
009021,23.154167,113.276514,00901,NULL
009022,23.091388,113.347888,00904,NULL
009023,23.104721,113.433222,00905,NULL
009024,22.947500,113.351553,00906,NULL
009025,23.391667,113.214733,00907,NULL
009026,23.310832,113.561944,00908,NULL
009027,23.129443,113.301111,00901,NULL
009028,23.116111,113.231388,00902,NULL
009029,22.773667,113.604167,00910,NULL
009030,22.816666,113.492222,00910,NULL
009031,22.613333,113.633125,00910,NULL
009032,22.909027,113.336749,00906,NULL
009033,23.026944,113.302778,00906,NULL
009034,23.143889,113.416111,00903,NULL
009035,23.198611,113.360833,00903,NULL
009036,23.063233,113.525564,00908,NULL
009037,23.203330,113.547225,00908,NULL
009038,23.155598,113.425556,00908,NULL
009039,23.287222,113.821389,00911,NULL
009040,23.122361,113.613889,00911,NULL
009041,23.553781,113.589447,00909,NULL
009042,23.095908,113.478058,00905,NULL
009043,23.239108,113.288500,00912,NULL
009044,23.088166,113.262175,00904,NULL
009045,23.303332,113.443333,00912,NULL
009046,23.368611,113.347778,00912,NULL
009047,23.078527,113.222778,00902,NULL
009058,23.553799,113.589000,00909,NULL
009059,23.650200,113.624600,00909,NULL
009060,22.710799,113.548500,00910,NULL
009061,23.106400,113.332800,00904,NULL
009062,23.420832,113.073055,00907,NULL
009063,23.562600,113.769700,00911,NULL
009064,23.072399,113.322800,00904,NULL
009065,23.193200,113.300700,00912,NULL
009066,22.972000,113.483300,00906,NULL
009067,22.951400,113.300299,00906,NULL
