sid,lat,lon,did,gid
149001,36.662222,117.048610,14906,NULL
149002,36.637777,117.068889,14906,NULL
149003,36.661389,117.021111,14906,NULL
149004,36.611389,116.988056,14907,NULL
149005,36.592778,117.024167,14907,NULL
149006,36.662999,116.944999,14908,NULL
149007,36.640889,116.942778,14908,NULL
149008,36.700277,116.947778,14909,NULL
149009,36.687221,116.988611,14909,NULL
149010,36.685277,117.060278,14910,NULL
149011,36.681389,117.185833,14910,NULL
149012,36.722566,117.124722,14910,NULL
149013,36.478499,117.213055,14910,NULL
149014,36.548611,116.765167,14911,NULL
149015,36.685389,117.124722,14912,NULL
