sid,lat,lon,did,gid
011001,38.030999,114.542000,01101,
011002,38.012000,114.467000,01102,
011003,38.055000,114.563999,01103,
011004,38.051000,114.455000,01104,
011005,38.052000,114.521000,01105,
011006,38.140000,114.502000,01104,
011007,38.039999,114.605000,01101,
011008,37.909999,114.354000,01106,
011009,38.085000,114.346999,01106,
011010,38.158999,114.593000,01107,
011011,37.905999,114.633000,01108,
011012,38.039000,114.861999,01109,
011013,38.039999,115.078999,01110,
011014,38.348999,114.690000,01111,
011015,38.177999,114.991000,01112,
011017,37.771000,114.770000,01114,
011018,37.622999,114.607000,01115,
011019,37.765999,114.517000,01116,
011020,37.671999,114.392000,01117,
011021,38.037999,114.152000,01118,
011022,38.070999,114.069000,01118,
011023,38.265999,114.203999,01119,
011024,38.314999,114.367000,01120,
011025,38.444000,114.560000,01121,
