sid,lat,lon,did,gid
013001,39.643000,118.144000,01301,NULL
013002,39.631000,118.166000,01301,NULL
013003,39.658000,118.184000,01301,NULL
013004,39.640999,118.185000,01301,NULL
013005,39.667999,118.218999,01302,NULL
013006,39.630000,118.200000,01303,NULL
013007,39.740000,118.453999,01304,NULL
013008,39.674000,118.269000,01302,NULL
013009,39.582000,118.090999,01305,NULL
013010,39.838999,118.169000,01306,NULL
013011,40.152000,118.311000,01307,NULL
013012,39.289999,118.456000,01308,NULL
013013,40.204999,117.991000,01309,NULL
013014,40.003000,118.711000,01310,NULL
013015,39.432000,118.919000,01313,NULL
013016,39.747000,118.709999,01311,NULL
013017,39.509999,118.681000,01312,NULL
013018,39.906999,117.745000,01314,NULL
