sid,lat,lon,did,gid
006001,39.226534,117.185582,00601,NULL
006002,39.078575,117.090225,00602,NULL
006003,39.097003,117.151144,00603,NULL
006004,39.110683,117.244978,00604,NULL
006005,39.119988,117.188737,00605,NULL
006006,39.134453,117.268666,00604,NULL
006007,39.138249,117.003922,00602,NULL
006008,39.165838,117.144256,00606,NULL
006010,39.092699,117.201676,00607,NULL
006011,39.172125,117.189702,00608,NULL
006012,38.984566,117.373981,00609,NULL
006013,39.151429,117.374754,00610,NULL
006014,39.087569,117.314156,00610,NULL
006015,40.047066,117.445221,00611,NULL
006016,39.718542,117.307892,00612,NULL
006017,39.521521,117.349777,00612,NULL
006019,39.247742,117.791805,00613,NULL
006020,39.163609,117.765026,00609,NULL
006021,38.845188,116.779604,00614,NULL
006022,39.035119,117.708035,00609,NULL
006023,39.021217,117.650914,00615,NULL
006024,38.841980,117.456722,00609,NULL
006025,38.943255,116.914829,00614,NULL
006026,38.920287,117.156657,00614,NULL
006027,39.375577,117.044563,00615,NULL
006028,39.097000,117.151000,00603,NULL
006040,39.384054,117.042640,00616,NULL
