sid,lat,lon,did,gid
010001,22.279278,114.163152,01001,NULL
010003,22.270313,114.240731,01002,NULL
010004,22.278117,114.185972,01003,NULL
010005,22.310507,114.230626,01004,NULL
010006,22.328105,114.165909,01005,NULL
010007,22.315788,114.177024,01006,NULL
010008,22.363947,114.130075,01007,NULL
010009,22.374165,114.202151,01008,NULL
010010,22.438400,114.169686,01009,NULL
010011,22.366150,114.118080,01010,NULL
010012,22.284331,113.948134,01011,NULL
010013,22.441929,114.031000,01012,NULL
010014,22.475460,114.359399,01009,NULL
010015,22.279990,114.158798,01001,NULL
010016,22.390899,113.972600,01015,NULL
