sid,lat,lon,did,gid
019001,40.872999,114.904000,01914,
019002,40.768999,114.903000,01915,
019003,40.837000,114.898000,01916,
019004,40.811000,114.881000,01916,
019005,40.795000,114.892000,01915,
019006,40.615000,115.105999,01901,
019007,40.508000,115.296000,01902,
019008,40.680000,114.392000,01903,
019009,40.420999,115.524000,01904,
019010,40.918999,115.837999,01905,
019011,41.667999,115.681000,01908,
019012,40.104999,114.128000,01911,
019013,41.835999,114.584999,01907,
019014,39.845999,114.596000,01910,
019016,40.979999,115.289000,01914,
019017,40.677000,114.917000,01901,
019018,40.372999,115.215000,01913,
019019,40.768999,114.744000,01912,
019020,41.164999,114.726000,01906,
